id,date,desc,details
78,2010/01/20,I spent 44 talking to Piper on various topics in the early afternoon.,I spent 44 talking to Piper on various topics in the early afternoon.
79,2010/01/21,I did swimming on 2010/01/21.,I did swimming on 2010/01/21.
80,2010/01/21,I ate tacos for lunch.,I ate tacos for lunch.
81,2010/01/21,"I had dinner with Emily, Carter. I ate indian food.","I had dinner with Emily, Carter. I ate indian food."
82,2010/01/21,I spent 21 minutes on social media today.,I spent 21 minutes on social media today.
83,2010/01/22,"I bought some peaches, strawberries, oranges, orange juice, guava juice, mouthwash online.","I bought some peaches, strawberries, oranges, orange juice, guava juice, mouthwash online."
84,2010/01/22,I had breakfast. I ate pancakes.,I had breakfast. I ate pancakes.
85,2010/01/22,I ate pasta for lunch.,I ate pasta for lunch.
86,2010/01/22,"I talked to Nevaeh, Nora, Piper, Hazel for 17 minutes in the early afternoon.","I talked to Nevaeh, Nora, Piper, Hazel for 17 minutes in the early afternoon."
87,2010/01/22,I spent 33 minutes reading news today.,I spent 33 minutes reading news today.
88,2010/01/22,I watched a tv series for 17 minutes on TV today.,I watched a tv series for 17 minutes on TV today.
89,2010/01/23,I did HIIT on 2010/01/23.,I did HIIT on 2010/01/23.
90,2010/01/23,I had breakfast. I ate oatmeal.,I had breakfast. I ate oatmeal.
91,2010/01/23,I spent 5 minutes on social media today.,I spent 5 minutes on social media today.
92,2010/01/24,"I had breakfast with Emily, Andrew, Kayden. I ate peanut-butter-jam.","I had breakfast with Emily, Andrew, Kayden. I ate peanut-butter-jam."
93,2010/01/24,I ate sandwich for lunch.,I ate sandwich for lunch.
94,2010/01/24,"I talked to Rylee, Nora, Claire for 29 minutes in the early afternoon.","I talked to Rylee, Nora, Claire for 29 minutes in the early afternoon."
95,2010/01/25,I did running on 2010/01/25.,I did running on 2010/01/25.
96,2010/01/25,"I had lunch with Benjamin, Willow, Jackson. I ate a burger.","I had lunch with Benjamin, Willow, Jackson. I ate a burger."
97,2010/01/25,I spent 35 minutes reading a book today.,I spent 35 minutes reading a book today.
98,2010/01/25,I watched a documentary for 43 minutes on TV today.,I watched a documentary for 43 minutes on TV today.
99,2010/01/26,I really enjoyed gardening on 2010/01/26,I really enjoyed gardening on 2010/01/26
100,2010/01/26,I watched news for 10 minutes on TV today.,I watched news for 10 minutes on TV today.
101,2010/01/27,I did running on 2010/01/27.,I did running on 2010/01/27.
102,2010/01/27,I spent 52 minutes reading news today.,I spent 52 minutes reading news today.
103,2010/01/28,"On 2010/01/28, I took Victoria on a date to a restaurant","On 2010/01/28, I took Victoria on a date to a restaurant"
104,2010/01/28,I prepare oatmeal for breakfast.,I prepare oatmeal for breakfast.
105,2010/01/28,I prepare sandwich for lunch.,I prepare sandwich for lunch.
106,2010/01/28,I talked to Lydia for 54 minutes in the late afternoon.,I talked to Lydia for 54 minutes in the late afternoon.
107,2010/01/28,I spent 44 minutes on news today.,I spent 44 minutes on news today.
108,2010/01/29,I did swimming on 2010/01/29.,I did swimming on 2010/01/29.
109,2010/01/29,I ate indian food for dinner.,I ate indian food for dinner.
110,2010/01/29,"I talked to Piper, Nora for 39 minutes in the early evening.","I talked to Piper, Nora for 39 minutes in the early evening."
111,2010/01/29,I spent 52 minutes reading a book today.,I spent 52 minutes reading a book today.
112,2010/01/29,I watched news for 21 minutes on TV today.,I watched news for 21 minutes on TV today.
113,2010/01/30,I had breakfast. I ate cereals.,I had breakfast. I ate cereals.
114,2010/01/30,I ate a burger for lunch.,I ate a burger for lunch.
115,2010/01/30,"I spent 7 talking to Rylee, Olivia, Claire, Avery on various topics during lunch hours.","I spent 7 talking to Rylee, Olivia, Claire, Avery on various topics during lunch hours."
116,2010/01/30,I spent 11 minutes watching a documentary on TV today.,I spent 11 minutes watching a documentary on TV today.
117,2010/01/31,"I bought some bananas, pineapples, guava, guava juice, soda, toothpaste, mouthwash, paper towel online.","I bought some bananas, pineapples, guava, guava juice, soda, toothpaste, mouthwash, paper towel online."
118,2010/01/31,I had lunch. I ate steak.,I had lunch. I ate steak.
119,2010/01/31,I had dinner. I ate fish and chips.,I had dinner. I ate fish and chips.
120,2010/01/31,"I talked to Nevaeh, Piper, Olivia, Kinsley for 12 minutes in the late afternoon.","I talked to Nevaeh, Piper, Olivia, Kinsley for 12 minutes in the late afternoon."
121,2010/01/31,I watched a tv series for 37 minutes on TV today.,I watched a tv series for 37 minutes on TV today.
122,2010/02/01,"I had chinese food for dinner with Kayden, Emily","I had chinese food for dinner with Kayden, Emily"
123,2010/02/01,"I talked to Piper, Nora, Nevaeh for 42 minutes in the early afternoon.","I talked to Piper, Nora, Nevaeh for 42 minutes in the early afternoon."
124,2010/02/01,I spent 33 minutes on social media today.,I spent 33 minutes on social media today.
125,2010/02/02,I did running on 2010/02/02.,I did running on 2010/02/02.
126,2010/02/02,I had lunch. I ate indian food.,I had lunch. I ate indian food.
127,2010/02/02,I ate fish and chips for dinner.,I ate fish and chips for dinner.
128,2010/02/03,"I had breakfast with Avery, Benjamin. I ate toast and cheese.","I had breakfast with Avery, Benjamin. I ate toast and cheese."
129,2010/02/03,I had lunch. I ate steak.,I had lunch. I ate steak.
130,2010/02/03,"I talked to Lydia, Eva for 25 minutes during lunch hours.","I talked to Lydia, Eva for 25 minutes during lunch hours."
131,2010/02/03,I spent 17 minutes on social media today.,I spent 17 minutes on social media today.
132,2010/02/03,I watched a movie for 27 minutes on TV today.,I watched a movie for 27 minutes on TV today.
133,2010/02/04,I spent some time working out on 2010/02/04.,I spent some time working out on 2010/02/04.
134,2010/02/04,"I had lunch with Jackson, Benjamin, Willow. I ate a burger.","I had lunch with Jackson, Benjamin, Willow. I ate a burger."
135,2010/02/04,I ate chinese food for dinner.,I ate chinese food for dinner.
136,2010/02/04,"I talked to Nevaeh, Rylee, Claire, Piper for 22 minutes in the early afternoon.","I talked to Nevaeh, Rylee, Claire, Piper for 22 minutes in the early afternoon."
137,2010/02/04,I spent 25 minutes on a book today.,I spent 25 minutes on a book today.
138,2010/02/04,I spent 20 minutes watching a tv series on TV today.,I spent 20 minutes watching a tv series on TV today.
139,2010/02/05,"On 2010/02/05, I took Daniel on a date to a coffee Shop","On 2010/02/05, I took Daniel on a date to a coffee Shop"
140,2010/02/05,I ate oatmeal for breakfast.,I ate oatmeal for breakfast.
141,2010/02/05,I had fish and chips for lunch with Avery,I had fish and chips for lunch with Avery
142,2010/02/05,I spent 38 talking to Olivia on various topics in the early evening.,I spent 38 talking to Olivia on various topics in the early evening.
143,2010/02/05,I spent 15 minutes reading social media today.,I spent 15 minutes reading social media today.
144,2010/02/05,I watched news for 23 minutes on TV today.,I watched news for 23 minutes on TV today.
145,2010/02/06,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
146,2010/02/06,I ate tacos for lunch.,I ate tacos for lunch.
147,2010/02/06,"I had dinner with Hazel, Claire, Piper, Rylee, Piper, Lydia, Nevaeh. I ate a burger.","I had dinner with Hazel, Claire, Piper, Rylee, Piper, Lydia, Nevaeh. I ate a burger."
148,2010/02/06,"I talked to Eva, Avery for 23 minutes during lunch hours.","I talked to Eva, Avery for 23 minutes during lunch hours."
149,2010/02/06,I spent 28 minutes reading social media today.,I spent 28 minutes reading social media today.
150,2010/02/07,"I prepare eggs, sausages, and bread for breakfast.","I prepare eggs, sausages, and bread for breakfast."
151,2010/02/07,I prepare pasta for lunch.,I prepare pasta for lunch.
152,2010/02/07,"I talked to Avery, Olivia, Hazel, Kinsley for 35 minutes in the early evening.","I talked to Avery, Olivia, Hazel, Kinsley for 35 minutes in the early evening."
153,2010/02/07,I spent 17 minutes watching a tv series on TV today.,I spent 17 minutes watching a tv series on TV today.
154,2010/02/08,I did HIIT on 2010/02/08.,I did HIIT on 2010/02/08.
155,2010/02/08,I prepare a burger for lunch.,I prepare a burger for lunch.
156,2010/02/08,"I spent 17 talking to Lydia, Nevaeh, Piper, Kinsley on various topics during lunch hours.","I spent 17 talking to Lydia, Nevaeh, Piper, Kinsley on various topics during lunch hours."
157,2010/02/08,I spent 34 minutes reading news today.,I spent 34 minutes reading news today.
158,2010/02/09,I ate toast and cheese for breakfast.,I ate toast and cheese for breakfast.
159,2010/02/09,I had lunch. I ate fish and chips.,I had lunch. I ate fish and chips.
160,2010/02/09,"I spent 52 talking to Nevaeh, Eva, Nora, Piper on various topics in the early afternoon.","I spent 52 talking to Nevaeh, Eva, Nora, Piper on various topics in the early afternoon."
161,2010/02/09,I spent 45 minutes on a book today.,I spent 45 minutes on a book today.
162,2010/02/09,I watched a movie for 36 minutes on TV today.,I watched a movie for 36 minutes on TV today.
163,2010/02/10,I ate tacos for dinner.,I ate tacos for dinner.
164,2010/02/10,I spent 5 minutes reading social media today.,I spent 5 minutes reading social media today.
165,2010/02/11,I did running on 2010/02/11.,I did running on 2010/02/11.
166,2010/02/11,"I had breakfast with Jackson, Avery. I ate cereals.","I had breakfast with Jackson, Avery. I ate cereals."
167,2010/02/11,I prepare a burger for dinner.,I prepare a burger for dinner.
168,2010/02/11,I spent 36 minutes reading news today.,I spent 36 minutes reading news today.
169,2010/02/11,I watched news for 13 minutes on TV today.,I watched news for 13 minutes on TV today.
170,2010/02/12,"On 2010/02/12 Carter, Kayden and I went to Philadelphia, US together for 6 days ","On 2010/02/12 Carter, Kayden and I went to Philadelphia, US together for 6 days "
171,2010/02/12,"I prepare eggs, sausages, and bread for breakfast.","I prepare eggs, sausages, and bread for breakfast."
172,2010/02/12,I spent 40 minutes reading social media today.,I spent 40 minutes reading social media today.
173,2010/02/13,"During my trip to Philadelphia, US, I visited Liberty Bell on 2010/02 with Carter, Kayden.","During my trip to Philadelphia, US, I visited Liberty Bell on 2010/02 with Carter, Kayden."
174,2010/02/13,"I ate Chinese food at High Street Philly with Carter, Kayden on  2010/02/13 when I was in Philadelphia, US.","I ate Chinese food at High Street Philly with Carter, Kayden on  2010/02/13 when I was in Philadelphia, US."
175,2010/02/13,"I had dinner with Andrew, Carter, Emily. I ate indian food.","I had dinner with Andrew, Carter, Emily. I ate indian food."
176,2010/02/13,I spent 46 minutes on news today.,I spent 46 minutes on news today.
177,2010/02/13,I spent 48 minutes watching news on TV today.,I spent 48 minutes watching news on TV today.
178,2010/02/14,"During my trip to Philadelphia, US, I visited Philadelphia Museum of Art on 2010/02 with Carter, Kayden.","During my trip to Philadelphia, US, I visited Philadelphia Museum of Art on 2010/02 with Carter, Kayden."
179,2010/02/14,"I had toast and cheese for breakfast with Andrew, Emily, Kayden","I had toast and cheese for breakfast with Andrew, Emily, Kayden"
180,2010/02/14,"I had lunch with Kayden, Carter. I ate chinese food.","I had lunch with Kayden, Carter. I ate chinese food."
181,2010/02/15,"During my trip to Philadelphia, US, I visited Ipanema on 2010/02 with Carter, Kayden.","During my trip to Philadelphia, US, I visited Ipanema on 2010/02 with Carter, Kayden."
182,2010/02/15,"I ate Chinese food at High Street Philly with Carter, Kayden on  2010/02/15 when I was in Philadelphia, US.","I ate Chinese food at High Street Philly with Carter, Kayden on  2010/02/15 when I was in Philadelphia, US."
183,2010/02/15,"I had breakfast with Emily, Carter, Andrew. I ate pancakes.","I had breakfast with Emily, Carter, Andrew. I ate pancakes."
184,2010/02/15,"I had steak for dinner with Nevaeh, Hazel, Kinsley, Lydia, Eva, Layla, Avery, Piper, Rylee, Olivia","I had steak for dinner with Nevaeh, Hazel, Kinsley, Lydia, Eva, Layla, Avery, Piper, Rylee, Olivia"
185,2010/02/15,I talked to Claire for 48 minutes late in the evening.,I talked to Claire for 48 minutes late in the evening.
186,2010/02/15,I spent 34 minutes on a book today.,I spent 34 minutes on a book today.
187,2010/02/15,I watched news for 30 minutes on TV today.,I watched news for 30 minutes on TV today.
188,2010/02/16,"During my trip to Philadelphia, US, I visited Carnaval on 2010/02 with Carter, Kayden.","During my trip to Philadelphia, US, I visited Carnaval on 2010/02 with Carter, Kayden."
189,2010/02/16,"I ate street food at Lunch Street with Carter, Kayden on  2010/02/16 when I was in Philadelphia, US.","I ate street food at Lunch Street with Carter, Kayden on  2010/02/16 when I was in Philadelphia, US."
190,2010/02/16,I went on a date with Aurora on 2010/02/16 at a restaurant,I went on a date with Aurora on 2010/02/16 at a restaurant
191,2010/02/16,"I had toast and cheese for breakfast with Kayden, Andrew, Emily","I had toast and cheese for breakfast with Kayden, Andrew, Emily"
192,2010/02/16,I had lunch. I ate a burger.,I had lunch. I ate a burger.
193,2010/02/16,I had sandwich for dinner with Jackson,I had sandwich for dinner with Jackson
194,2010/02/16,I spent 35 talking to Rylee on various topics in the early evening.,I spent 35 talking to Rylee on various topics in the early evening.
195,2010/02/16,I spent 40 minutes on social media today.,I spent 40 minutes on social media today.
196,2010/02/16,I watched a documentary for 51 minutes on TV today.,I watched a documentary for 51 minutes on TV today.
197,2010/02/17,"During my trip to Philadelphia, US, I visited Independence Hall on 2010/02 with Carter, Kayden.","During my trip to Philadelphia, US, I visited Independence Hall on 2010/02 with Carter, Kayden."
198,2010/02/17,"I ate Japanese food at High Street Philly with Carter, Kayden on  2010/02/17 when I was in Philadelphia, US.","I ate Japanese food at High Street Philly with Carter, Kayden on  2010/02/17 when I was in Philadelphia, US."
199,2010/02/17,I prepare peanut-butter-jam for breakfast.,I prepare peanut-butter-jam for breakfast.
200,2010/02/17,I spent 53 minutes reading social media today.,I spent 53 minutes reading social media today.
201,2010/02/18,"I ate Japanese food at Wood Street Pizza with Carter, Kayden on  2010/02/18 when I was in Philadelphia, US.","I ate Japanese food at Wood Street Pizza with Carter, Kayden on  2010/02/18 when I was in Philadelphia, US."
202,2010/02/18,I prepare steak for lunch.,I prepare steak for lunch.
203,2010/02/18,I had dinner. I ate sandwich.,I had dinner. I ate sandwich.
204,2010/02/18,"I talked to Piper, Hazel for 11 minutes in the early afternoon.","I talked to Piper, Hazel for 11 minutes in the early afternoon."
205,2010/02/18,"I spent 28 talking to Piper, Nora, Layla, Avery on various topics in the late afternoon.","I spent 28 talking to Piper, Nora, Layla, Avery on various topics in the late afternoon."
206,2010/02/18,I spent 24 minutes reading news today.,I spent 24 minutes reading news today.
207,2010/02/19,"On 2010/02/19, I took Theodore on a date to a boba shop","On 2010/02/19, I took Theodore on a date to a boba shop"
208,2010/02/19,I did hiking on 2010/02/19.,I did hiking on 2010/02/19.
209,2010/02/19,"I had toast and cheese for breakfast with Emily, Kayden, Carter, Andrew","I had toast and cheese for breakfast with Emily, Kayden, Carter, Andrew"
210,2010/02/19,"I spent 37 talking to Nora, Kinsley on various topics in the morning.","I spent 37 talking to Nora, Kinsley on various topics in the morning."
211,2010/02/20,I did biking on 2010/02/20.,I did biking on 2010/02/20.
212,2010/02/20,"I talked to Nevaeh, Rylee, Piper, Claire for 53 minutes in the late afternoon.","I talked to Nevaeh, Rylee, Piper, Claire for 53 minutes in the late afternoon."
213,2010/02/20,I spent 13 minutes on social media today.,I spent 13 minutes on social media today.
214,2010/02/21,"I had cereals for breakfast with Carter, Emily","I had cereals for breakfast with Carter, Emily"
215,2010/02/21,I spent 26 minutes reading news today.,I spent 26 minutes reading news today.
216,2010/02/21,I watched a tv series for 6 minutes on TV today.,I watched a tv series for 6 minutes on TV today.
217,2010/02/22,I did hiking on 2010/02/22.,I did hiking on 2010/02/22.
218,2010/02/22,I prepare cereals for breakfast.,I prepare cereals for breakfast.
219,2010/02/22,"I talked to Eva, Lydia for 9 minutes in the early afternoon.","I talked to Eva, Lydia for 9 minutes in the early afternoon."
220,2010/02/22,I spent 47 minutes on social media today.,I spent 47 minutes on social media today.
221,2010/02/22,I spent 19 minutes watching news on TV today.,I spent 19 minutes watching news on TV today.
222,2010/02/23,"I bought some apples, bananas, blackberries, pears, apple juice, coffee, toothbrush, body lotion, paper towel, shampoo online.","I bought some apples, bananas, blackberries, pears, apple juice, coffee, toothbrush, body lotion, paper towel, shampoo online."
223,2010/02/23,I spent 8 talking to Nevaeh on various topics in the late afternoon.,I spent 8 talking to Nevaeh on various topics in the late afternoon.
224,2010/02/24,"On 2010/02/24, I took Elias on a date to a park","On 2010/02/24, I took Elias on a date to a park"
225,2010/02/24,I did HIIT on 2010/02/24.,I did HIIT on 2010/02/24.
226,2010/02/24,I ate pasta for lunch.,I ate pasta for lunch.
227,2010/02/24,"I had steak for dinner with Kayden, Emily, Andrew","I had steak for dinner with Kayden, Emily, Andrew"
228,2010/02/24,"I talked to Avery, Eva for 52 minutes in the early evening.","I talked to Avery, Eva for 52 minutes in the early evening."
229,2010/02/24,"I talked to Piper, Hazel, Claire for 17 minutes during lunch hours.","I talked to Piper, Hazel, Claire for 17 minutes during lunch hours."
230,2010/02/25,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
231,2010/02/25,I prepare chinese food for dinner.,I prepare chinese food for dinner.
232,2010/02/25,I spent 49 minutes on social media today.,I spent 49 minutes on social media today.
233,2010/02/25,I watched a movie for 7 minutes on TV today.,I watched a movie for 7 minutes on TV today.
234,2010/02/26,"I went grocery shopping with Andrew, Carter, Emily. I bought some pineapples, cherres, sports drinks, and conditioner, body lotion, paper towel, toothbrush","I went grocery shopping with Andrew, Carter, Emily. I bought some pineapples, cherres, sports drinks, and conditioner, body lotion, paper towel, toothbrush"
235,2010/02/26,I had breakfast with Emily. I ate oatmeal.,I had breakfast with Emily. I ate oatmeal.
236,2010/02/26,I ate pasta for dinner.,I ate pasta for dinner.
237,2010/02/26,I watched news for 27 minutes on TV today.,I watched news for 27 minutes on TV today.
238,2010/02/27,I did hiking on 2010/02/27.,I did hiking on 2010/02/27.
239,2010/02/27,I had lunch. I ate sandwich.,I had lunch. I ate sandwich.
240,2010/02/27,"I had dinner with Olivia, Nevaeh. I ate steak.","I had dinner with Olivia, Nevaeh. I ate steak."
241,2010/02/27,I spent 32 minutes watching a documentary on TV today.,I spent 32 minutes watching a documentary on TV today.
242,2010/02/28,I did weight lifting on 2010/02/28.,I did weight lifting on 2010/02/28.
243,2010/02/28,I ate cereals for breakfast.,I ate cereals for breakfast.
244,2010/02/28,"I had sushi for lunch with Avery, Willow, Benjamin","I had sushi for lunch with Avery, Willow, Benjamin"
245,2010/02/28,I talked to Lydia for 47 minutes in the morning.,I talked to Lydia for 47 minutes in the morning.
246,2010/02/28,I spent 52 minutes watching a documentary on TV today.,I spent 52 minutes watching a documentary on TV today.
247,2010/03/01,"On 2010/03/01, I took Carson on a date to a park","On 2010/03/01, I took Carson on a date to a park"
248,2010/03/01,I did HIIT on 2010/03/01.,I did HIIT on 2010/03/01.
249,2010/03/01,I ate tacos for lunch.,I ate tacos for lunch.
250,2010/03/01,"I spent 31 talking to Nora, Layla, Avery, Kinsley on various topics in the early afternoon.","I spent 31 talking to Nora, Layla, Avery, Kinsley on various topics in the early afternoon."
