q_id,query,params,question,datafiles,answer_column
q20,"select year, max(num) from (select year, count(toiletries) as num from (select year, toiletries from df where toiletries like '%facial wash%') group by year)","{""toiletries"": ""facial wash""}",In what year did I buy the most facial wash?,weekly_grocery-log.csv,1
q21,"select fruits, max(num) from (select fruits, count(date) as num from (select fruits, date from df1) group by fruits)",{},What fruit do I buy the most often?,weekly_grocery-log.csv,1
q22,select max(date_obj) from (select datetime(date) as date_obj from df where people_string like '%Chloe%'),"{""people_string"": ""%Chloe%""}",When did I last get groceries with Chloe?,weekly_grocery-log.csv,1
q23,select count(*) from df where hobbies = 'meditation' and people_string like '%Kayden%',"{""hobbies"": ""meditation"", ""people_string"": ""Kayden""}",How many times have I meditated with Kayden?,weekly_hobby-log.csv,1
q24,"select people_string, max(num) from (select people_string, count(hobbies) as num from df1 where hobbies = 'learning a language' group by people_string)","{""hobbies"": ""learning a language""}",Who did I spend most time with for learning a language?,weekly_hobby-log.csv,1
q25,"select hobbies, max(num) from (select hobbies, count(date) as num from (select date, hobbies from df1 where year = '2020')) group by hobbies","{""year"": 2020}",What was my favorite hobby in 2020?,weekly_hobby-log.csv,1
q26,"select food_type from df where city = 'Paris, France'","{""city"": ""Paris, France""}","What did I eat in Paris, France?",travel_dining-log.csv,"1,:"
q27,select food_type from df group by food_type order by count(dining_date) desc limit 5,{},What is the food I most frequently eat when I travel?,travel_dining-log.csv,"1,:"
q28,"select food_type from df where city = 'Rio, Brazil' group by food_type order by count(dining_date) desc limit 5","{""city"": ""Rio, Brazil""}","What is the most common food I eat when I'm in Rio, Brazil?",travel_dining-log.csv,"1,:"
q29,"select r.food_type, r.dining_date, s.place from df r cross join df2 s where s.place = 'Burj Khalifa' and r.dining_date = s.place_visit_date","{""place"": ""Burj Khalifa""}",What did I eat on the day that I visited Burj Khalifa?,"travel_dining-log.csv,travel_places_visited-log.csv","1,:"
q30,select count(*) from df where place = 'Camden',"{""place"": ""Camden""}",How many times did I visit Camden?,travel_places_visited-log.csv,1
q31,"select count(distinct r.place) from df r where r.city = 'Rio, Brazil'","{""city"": ""Rio, Brazil""}","How many places did I visit in Rio, Brazil?",travel_places_visited-log.csv,1
q32,"select r.place from df r where r.city = 'London, UK' AND r.people like '% Avery%'","{""city"": ""London, UK"", ""people"": "" Avery""}","Which places in London, UK did I visit with Avery?",travel_places_visited-log.csv,"1,:"
q33,,,How many times did I get married?,marriages-log.csv,?
q34,,,When did I first get married?,marriages-log.csv,?
q35,,,When was the date of my most recent marriage?,marriages-log.csv,?
q36,,,How many times did I move in my life?,moves-log.csv,?
q37,,,When was my most recent move?,moves-log.csv,?
q38,,,How many times did I move for a job?,moves-log.csv,?
q39,"select count(*) from df where city = 'Shanghai, China'","{""city"": ""Shanghai, China""}","How many times did I travel to Shanghai, China?",travel-log.csv,1
q40,"select min(date_obj) from (select datetime(start_date) as date_obj from df where city = 'Sydney, Australia')","{""city"": ""Sydney, Australia""}","When was the first time I traveled to Sydney, Australia?",travel-log.csv,1
q41,"select count(*) from df where city = 'London, UK' and start_year = '2016'","{""city"": ""London, UK"", ""start_year"": 2016}","How many times did I travel to London, UK in year 2016?",travel-log.csv,1
q42,"select * from (select city, count(*) as num from df group by city) order by num desc limit 5",{},What are my top 5 travel destinations?,travel-log.csv,"1,:"
