eid,date,hobbies,people_string
e6782,2012/01/14,working out,
e6789,2012/02/03,learning a language,
e6797,2012/02/12,working out,
e6798,2012/02/18,meditation,
e6801,2012/02/22,working out,
e6804,2012/03/03,working out,"Andrew, Kayden, Carter"
e6811,2012/03/16,meditation,
e6817,2012/03/26,learning a language,
e6821,2012/04/07,working out,
e6831,2012/04/25,yoga,Carter
e6835,2012/04/29,gardening,"Benjamin, Jackson"
e6847,2012/05/29,meditation,
e6850,2012/06/05,meditation,
e6851,2012/06/09,meditation,
e6855,2012/06/11,yoga,
e6865,2012/07/01,gardening,
e6866,2012/07/05,meditation,"Carter, Emily, Andrew"
e6868,2012/07/08,yoga,
e6869,2012/07/14,learning a language,
e6874,2012/07/28,yoga,"Carter, Kayden, Emily"
e6878,2012/08/03,gardening,Andrew
e6883,2012/08/08,gardening,"Kayden, Carter, Emily"
e6887,2012/08/12,yoga,
e6888,2012/08/18,gardening,"Emily, Andrew"
e6891,2012/08/19,gardening,
e6898,2012/09/04,meditation,"Eva, Hazel"
e6899,2012/09/08,learning a language,
e6902,2012/09/12,yoga,
e6907,2012/09/17,working out,
e6911,2012/09/23,meditation,"Carter, Kayden"
e6912,2012/09/26,gardening,
e6916,2012/10/01,meditation,
e6917,2012/10/05,yoga,
e6936,2012/11/15,learning a language,Carter
e6938,2012/11/20,learning a language,
e6945,2012/12/05,meditation,
e6948,2012/12/14,meditation,"Emily, Andrew, Carter"
e6952,2012/12/22,learning a language,Emily
e6956,2012/12/26,meditation,
e10195,2013/01/07,working out,
e10208,2013/02/03,gardening,
e10213,2013/02/13,gardening,"Lydia, Rylee, Piper"
e10216,2013/02/24,yoga,"Avery, Nora, Layla"
e10222,2013/03/09,yoga,
e10227,2013/03/24,meditation,
e10232,2013/04/01,learning a language,
e10236,2013/04/04,learning a language,"Piper, Rylee, Lydia"
e10237,2013/04/08,meditation,"Nevaeh, Lydia, Avery"
e10239,2013/04/15,learning a language,
e10253,2013/05/23,gardening,
e10263,2013/06/17,meditation,
e10266,2013/06/18,yoga,
e10267,2013/06/22,meditation,
e10271,2013/06/25,yoga,"Jackson, Willow"
e10274,2013/07/10,learning a language,"Benjamin, Willow"
e10275,2013/07/12,working out,
e10281,2013/07/26,working out,
e10284,2013/08/05,yoga,"Kayden, Andrew"
e10290,2013/08/15,yoga,
e10299,2013/08/29,learning a language,
e10300,2013/08/31,meditation,"Carter, Kayden"
e10304,2013/09/16,gardening,
e10317,2013/10/21,gardening,Emily
e10322,2013/10/30,yoga,"Hazel, Piper, Layla"
e10323,2013/11/02,working out,"Layla, Kinsley"
e10326,2013/11/11,learning a language,"Emily, Kayden"
e10329,2013/11/14,working out,
e10330,2013/11/18,meditation,
e10334,2013/11/24,working out,
e10348,2013/12/26,gardening,Carter
e13509,2014/01/06,working out,
e13512,2014/01/10,working out,"Carter, Andrew, Kayden"
e13513,2014/01/11,meditation,
e13516,2014/01/21,gardening,
e13517,2014/01/25,meditation,"Jackson, Benjamin, Avery"
e13523,2014/02/01,meditation,
e13531,2014/02/14,gardening,
e13532,2014/02/17,meditation,
e13536,2014/02/21,learning a language,"Nora, Avery, Piper"
e13537,2014/02/24,working out,"Benjamin, Jackson"
e13544,2014/03/06,gardening,"Andrew, Emily"
e13545,2014/03/09,yoga,
e13550,2014/03/15,learning a language,
e13555,2014/03/25,meditation,
e13558,2014/03/28,working out,
e13564,2014/04/12,meditation,
e13568,2014/04/17,meditation,
e13569,2014/04/20,meditation,"Carter, Emily, Andrew"
e13573,2014/04/25,learning a language,"Andrew, Emily, Carter"
e13576,2014/05/06,learning a language,
e13579,2014/05/08,meditation,
e13583,2014/05/19,learning a language,
e13591,2014/05/30,yoga,
e13592,2014/06/03,gardening,
e13596,2014/06/06,yoga,
e13614,2014/07/09,gardening,"Emily, Andrew, Carter"
e13615,2014/07/12,meditation,
e13619,2014/07/17,gardening,"Eva, Piper"
e13623,2014/07/27,learning a language,
e13632,2014/08/14,gardening,"Willow, Jackson"
e13637,2014/08/21,learning a language,Rylee
e13641,2014/08/30,gardening,
e13653,2014/09/21,gardening,
e13661,2014/10/02,learning a language,"Kayden, Andrew, Emily"
e13662,2014/10/05,learning a language,
e13667,2014/10/14,yoga,
e13671,2014/10/17,gardening,"Piper, Avery, Rylee"
e13675,2014/10/22,meditation,
e13676,2014/10/25,gardening,Jackson
e13680,2014/10/31,gardening,
e13684,2014/11/05,yoga,
e13687,2014/11/14,working out,Layla
e13688,2014/11/15,working out,"Avery, Olivia"
e13692,2014/11/22,working out,"Nora, Olivia, Nevaeh"
e13697,2014/12/02,meditation,
e13708,2014/12/17,yoga,
e16912,2015/01/07,meditation,
e16915,2015/01/12,yoga,
e16925,2015/02/08,gardening,
e16928,2015/02/16,working out,"Jackson, Avery"
e16932,2015/02/25,meditation,
e16938,2015/03/07,gardening,
e16943,2015/03/17,working out,
e16950,2015/03/28,meditation,
e16951,2015/04/01,gardening,
e16958,2015/04/10,gardening,Andrew
e16969,2015/05/02,working out,
e16974,2015/05/07,gardening,
e16977,2015/05/19,meditation,"Kinsley, Eva"
e16981,2015/05/24,learning a language,Carter
e16997,2015/07/08,gardening,
e17002,2015/07/22,gardening,
e17005,2015/07/23,gardening,
e17011,2015/08/08,gardening,
e17014,2015/08/14,gardening,"Kayden, Andrew, Emily"
e17022,2015/08/27,yoga,
e17029,2015/09/12,working out,"Kayden, Carter, Emily"
e17030,2015/09/14,meditation,
e17035,2015/09/18,learning a language,
e17036,2015/09/23,gardening,
e17039,2015/09/28,gardening,
e17043,2015/10/01,working out,
e17054,2015/10/25,working out,
e17077,2015/12/12,meditation,
e17078,2015/12/15,gardening,
e17082,2015/12/17,learning a language,
e20259,2016/01/01,learning a language,
e20262,2016/01/11,yoga,Andrew
e20265,2016/01/15,gardening,
e20268,2016/01/25,gardening,"Nora, Avery, Olivia"
e20273,2016/02/07,meditation,
e20274,2016/02/08,meditation,
e20277,2016/02/14,meditation,
e20288,2016/03/07,meditation,Carter
e20301,2016/04/07,learning a language,
e20306,2016/04/08,meditation,
e20310,2016/04/20,gardening,
e20319,2016/05/07,learning a language,"Eva, Claire, Olivia"
e20328,2016/05/30,gardening,Nora
e20338,2016/06/17,gardening,
e20341,2016/07/05,gardening,
e20346,2016/07/12,gardening,
e20358,2016/08/01,working out,
e20362,2016/08/07,learning a language,
e20372,2016/08/29,yoga,
e20377,2016/09/10,meditation,"Hazel, Piper"
e20380,2016/09/22,learning a language,
e20384,2016/09/27,working out,Emily
e20387,2016/10/02,meditation,"Rylee, Lydia"
e20391,2016/10/11,gardening,
e20395,2016/10/20,gardening,"Layla, Hazel, Kinsley"
e20398,2016/10/22,yoga,"Piper, Avery"
e20401,2016/10/29,working out,"Willow, Jackson"
e20405,2016/11/04,meditation,
e20410,2016/11/12,yoga,
e20418,2016/12/01,meditation,
e20426,2016/12/22,meditation,
e20428,2016/12/25,learning a language,
e23640,2017/02/01,yoga,
e23644,2017/02/06,gardening,"Emily, Kayden"
e23654,2017/02/27,meditation,
e23662,2017/03/14,yoga,
e23669,2017/03/30,gardening,
e23674,2017/04/02,yoga,Jackson
e23678,2017/04/14,gardening,
e23686,2017/04/24,learning a language,
e23687,2017/04/28,working out,"Emily, Andrew, Kayden"
e23690,2017/05/01,meditation,"Claire, Nevaeh"
e23691,2017/05/06,learning a language,
e23694,2017/05/10,working out,"Benjamin, Avery, Jackson"
e23698,2017/05/20,yoga,
e23702,2017/05/26,meditation,
e23706,2017/05/29,working out,
e23715,2017/06/12,yoga,
e23716,2017/06/15,gardening,
e23721,2017/06/19,yoga,
e23725,2017/06/25,working out,
e23730,2017/07/05,learning a language,
e23737,2017/07/18,meditation,"Hazel, Piper, Eva"
e23742,2017/07/24,meditation,"Rylee, Layla, Hazel"
e23743,2017/07/28,gardening,
e23747,2017/07/30,gardening,
e23748,2017/08/04,gardening,Kayden
e23752,2017/08/06,learning a language,Kayden
e23755,2017/08/18,meditation,
e23762,2017/09/02,meditation,
e23768,2017/09/12,gardening,
e23769,2017/09/13,working out,
e23776,2017/09/28,meditation,
e23783,2017/10/13,gardening,
e23788,2017/10/19,working out,
e23791,2017/10/22,learning a language,Nevaeh
e23792,2017/10/25,yoga,"Hazel, Nora"
e23804,2017/11/20,learning a language,"Lydia, Piper, Piper"
e23805,2017/11/24,learning a language,"Andrew, Emily"
e23810,2017/12/02,working out,
e23820,2017/12/11,learning a language,Andrew
e23821,2017/12/13,yoga,"Andrew, Emily, Kayden"
e23825,2017/12/20,gardening,
e23829,2017/12/24,yoga,
e27018,2018/01/03,working out,
e27019,2018/01/06,working out,"Piper, Lydia, Layla"
e27023,2018/01/14,meditation,Avery
e27028,2018/01/20,learning a language,
e27032,2018/01/23,yoga,Layla
e27038,2018/02/11,working out,"Avery, Jackson, Benjamin"
e27047,2018/02/19,gardening,Avery
e27048,2018/02/24,working out,
e27052,2018/02/28,gardening,
e27053,2018/03/04,learning a language,
e27057,2018/03/09,working out,
e27061,2018/03/19,meditation,
e27066,2018/04/03,working out,Emily
e27067,2018/04/08,learning a language,
e27070,2018/04/10,gardening,
e27071,2018/04/15,yoga,"Eva, Kinsley"
e27075,2018/04/18,working out,
e27076,2018/04/21,meditation,
e27090,2018/05/23,working out,
e27093,2018/06/03,gardening,
e27097,2018/06/04,gardening,
e27103,2018/06/18,meditation,"Kayden, Carter, Andrew"
e27107,2018/06/27,gardening,"Olivia, Hazel, Kinsley"
e27114,2018/07/13,learning a language,Claire
e27120,2018/07/29,meditation,"Emily, Andrew, Kayden"
e27125,2018/08/01,meditation,Nora
e27126,2018/08/02,meditation,
e27131,2018/08/08,meditation,
e27136,2018/08/17,working out,
e27139,2018/08/23,meditation,"Andrew, Emily"
e27142,2018/08/28,learning a language,"Hazel, Eva"
e27143,2018/08/31,yoga,
e27147,2018/09/05,yoga,
e27148,2018/09/07,gardening,
e27155,2018/09/23,meditation,
e27164,2018/10/01,learning a language,
e27181,2018/11/04,yoga,"Andrew, Emily, Carter"
e27186,2018/11/10,working out,Andrew
e27193,2018/11/30,working out,
e27196,2018/12/04,gardening,
e27200,2018/12/10,working out,
e27207,2018/12/28,meditation,
e30439,2019/01/08,working out,
e30442,2019/01/18,yoga,
e30450,2019/02/03,gardening,
e30454,2019/02/09,gardening,Hazel
e30482,2019/04/11,yoga,
e30487,2019/04/17,working out,
e30488,2019/04/22,learning a language,"Emily, Kayden, Carter"
e30492,2019/04/25,gardening,"Emily, Andrew"
e30498,2019/05/08,yoga,
e30502,2019/05/15,meditation,
e30503,2019/05/19,yoga,
e30510,2019/05/29,meditation,
e30514,2019/06/05,gardening,"Nora, Rylee, Hazel"
e30520,2019/06/23,learning a language,
e30524,2019/06/28,gardening,
e30528,2019/07/06,working out,
e30543,2019/08/12,gardening,"Avery, Jackson"
e30546,2019/08/13,learning a language,"Benjamin, Willow"
e30547,2019/08/17,working out,
e30550,2019/08/26,yoga,Avery
e30556,2019/08/27,gardening,
e30559,2019/09/04,gardening,
e30560,2019/09/07,learning a language,"Kayden, Andrew, Carter"
e30566,2019/09/19,meditation,
e30572,2019/10/02,learning a language,
e30573,2019/10/04,learning a language,Emily
e30580,2019/10/15,yoga,"Kayden, Carter, Andrew"
e30581,2019/10/18,meditation,"Kayden, Emily, Carter"
e30585,2019/10/23,gardening,
e30596,2019/11/12,meditation,
e30602,2019/11/25,working out,
e30605,2019/12/04,gardening,Carter
e30606,2019/12/08,meditation,"Willow, Benjamin, Jackson"
e30611,2019/12/12,learning a language,Emily
e30612,2019/12/13,yoga,Benjamin
e30616,2019/12/20,meditation,Carter
e30624,2019/12/31,meditation,
e33804,2020/01/04,gardening,"Carter, Kayden"
e33814,2020/01/23,working out,
e33819,2020/01/30,learning a language,Emily
e33820,2020/02/02,gardening,
e33825,2020/02/06,learning a language,
e33830,2020/02/12,yoga,
e33838,2020/02/26,yoga,
e33847,2020/03/17,learning a language,
e33854,2020/03/26,gardening,
e33857,2020/04/04,learning a language,
e33862,2020/04/16,learning a language,"Andrew, Kayden"
e33863,2020/04/21,meditation,
e33868,2020/04/27,yoga,
e33880,2020/05/20,learning a language,
e33885,2020/06/01,working out,
e33896,2020/06/22,working out,
e33901,2020/06/24,working out,"Kayden, Andrew, Carter"
e33902,2020/06/27,meditation,
e33905,2020/07/07,working out,
e33909,2020/07/08,working out,
e33912,2020/07/21,gardening,
e33916,2020/07/28,meditation,
e33922,2020/08/06,working out,
e33926,2020/08/13,meditation,
e33931,2020/08/24,meditation,
e33935,2020/09/01,meditation,
e33940,2020/09/03,working out,
e33944,2020/09/10,gardening,
e33945,2020/09/15,gardening,
e33954,2020/09/25,yoga,
e33955,2020/09/27,gardening,
e33958,2020/09/30,learning a language,
e33959,2020/10/05,working out,
e33962,2020/10/11,working out,
e33965,2020/10/15,working out,
e33966,2020/10/17,learning a language,Nevaeh
e33969,2020/10/23,yoga,"Piper, Avery, Nora"
e33974,2020/11/05,learning a language,"Emily, Carter, Kayden"
e33975,2020/11/07,yoga,
e33979,2020/11/14,gardening,
e33983,2020/11/20,working out,
e33984,2020/11/21,gardening,
e33989,2020/11/25,working out,
e33994,2020/12/04,working out,
e34000,2020/12/18,yoga,
e34003,2020/12/25,meditation,
e37208,2021/01/09,learning a language,
e37210,2021/01/18,learning a language,
e37212,2021/01/22,yoga,Emily
e37213,2021/01/25,gardening,
e37217,2021/02/04,learning a language,
e37227,2021/02/27,working out,
e37231,2021/03/11,gardening,Nevaeh
e37235,2021/03/14,gardening,
e37236,2021/03/17,yoga,Andrew
e37240,2021/03/20,meditation,
e37241,2021/03/25,yoga,"Avery, Willow"
e37246,2021/03/28,yoga,
e37256,2021/04/18,meditation,
e37257,2021/04/20,meditation,Andrew
e37261,2021/04/27,yoga,Avery
e37265,2021/05/06,learning a language,
e37268,2021/05/07,learning a language,
e37276,2021/05/23,working out,"Kayden, Andrew"
e37281,2021/05/30,learning a language,Olivia
e37282,2021/06/02,meditation,
e37287,2021/06/06,meditation,
e37290,2021/06/12,yoga,
e37298,2021/07/02,learning a language,
e37302,2021/07/10,working out,Avery
e37303,2021/07/13,working out,
e37306,2021/07/17,working out,"Piper, Kinsley"
e37310,2021/07/24,meditation,
e37326,2021/08/27,working out,
e37331,2021/09/04,learning a language,
e37332,2021/09/06,yoga,
e37335,2021/09/10,yoga,
e37339,2021/09/19,meditation,
e37343,2021/09/25,learning a language,Benjamin
e37345,2021/10/04,working out,
e37350,2021/10/11,yoga,
e37353,2021/10/15,gardening,"Nevaeh, Layla, Hazel"
e37358,2021/10/24,meditation,Benjamin
e37363,2021/11/02,yoga,"Willow, Benjamin, Jackson"
e37367,2021/11/05,working out,"Rylee, Eva, Claire"
e37370,2021/11/17,meditation,
e37375,2021/11/25,yoga,
e37381,2021/12/05,working out,
e37385,2021/12/14,learning a language,
e37389,2021/12/22,working out,
e37391,2021/12/25,yoga,"Avery, Jackson"
e37392,2021/12/29,yoga,
e40571,2022/01/04,working out,
e40578,2022/01/16,gardening,Nora
e40579,2022/01/21,yoga,Kayden
e40584,2022/01/26,gardening,
e40589,2022/01/29,working out,
e40590,2022/02/04,yoga,
e40594,2022/02/11,meditation,
e40606,2022/02/27,yoga,"Andrew, Carter"
e40617,2022/03/26,learning a language,Kayden
e40618,2022/03/31,working out,Andrew
e40622,2022/04/02,learning a language,
e40629,2022/04/18,meditation,
e40630,2022/04/20,yoga,"Avery, Layla"
e40633,2022/04/23,working out,
e40634,2022/04/29,learning a language,"Jackson, Willow, Avery"
e40646,2022/05/19,working out,"Emily, Andrew, Carter"
e40650,2022/06/01,learning a language,
e40654,2022/06/09,gardening,
e40662,2022/06/23,learning a language,
e40667,2022/06/30,yoga,
e40670,2022/07/02,learning a language,
e40671,2022/07/05,learning a language,Rylee
e40674,2022/07/11,working out,"Emily, Kayden, Carter"
e40681,2022/07/23,gardening,
e40682,2022/07/26,yoga,
e40686,2022/08/01,meditation,"Kinsley, Rylee, Eva"
e40687,2022/08/05,meditation,"Avery, Benjamin, Willow"
e40695,2022/08/17,yoga,"Jackson, Avery"
e40697,2022/08/22,meditation,Avery
e40698,2022/08/24,working out,
e40702,2022/08/30,working out,
e40708,2022/09/03,learning a language,
e40729,2022/10/16,gardening,"Emily, Kayden, Carter"
e40730,2022/10/21,gardening,
e40734,2022/10/28,yoga,"Willow, Jackson"
e40738,2022/11/04,working out,"Willow, Avery, Jackson"
e40746,2022/11/20,gardening,
e40747,2022/11/23,working out,
e40751,2022/11/29,meditation,"Emily, Andrew"
e40757,2022/12/08,gardening,
