eid,date,timeofday,howlong,friends
e375,2010/01/21,late in the evening,9,"Eva, Piper, Kinsley"
e376,2010/01/21,in the early evening,38,"Piper, Piper, Eva, Nora"
e377,2010/01/21,in the early afternoon,34,"Lydia, Olivia, Rylee, Piper"
e384,2010/01/22,in the late afternoon,29,Piper
e385,2010/01/22,in the early afternoon,29,Claire
e386,2010/01/22,in the early afternoon,54,Eva
e392,2010/01/23,late in the evening,41,"Hazel, Nora"
e393,2010/01/23,during lunch hours,6,Nora
e394,2010/01/23,in the early afternoon,53,"Rylee, Hazel, Layla, Nora"
e401,2010/01/24,in the late afternoon,53,"Kinsley, Nevaeh, Layla"
e402,2010/01/24,in the late afternoon,33,"Kinsley, Avery"
e409,2010/01/25,in the late afternoon,44,"Rylee, Piper, Piper"
e410,2010/01/25,during lunch hours,5,Olivia
e411,2010/01/25,late in the evening,12,"Avery, Claire, Olivia, Eva"
e418,2010/01/26,in the morning,29,Eva
e425,2010/01/27,in the morning,11,Nora
e426,2010/01/27,in the late afternoon,37,"Layla, Eva, Rylee, Nevaeh"
e427,2010/01/27,late in the evening,11,"Nevaeh, Piper, Eva, Layla"
e433,2010/01/28,late in the evening,29,Piper
e434,2010/01/28,late in the evening,40,"Layla, Nora, Avery, Lydia"
e435,2010/01/28,in the early evening,29,"Avery, Lydia, Claire, Nevaeh"
e436,2010/01/28,during lunch hours,49,Layla
e443,2010/01/29,in the early evening,24,"Kinsley, Rylee"
e444,2010/01/29,in the early evening,30,"Eva, Kinsley, Layla, Nevaeh"
e445,2010/01/29,in the morning,17,"Eva, Piper"
e446,2010/01/29,in the late afternoon,43,Eva
e453,2010/01/30,during lunch hours,8,"Avery, Hazel, Claire"
e454,2010/01/30,during lunch hours,12,"Piper, Eva"
e455,2010/01/30,in the morning,30,"Lydia, Layla, Nevaeh"
e462,2010/01/31,in the early evening,9,Avery
e463,2010/01/31,in the late afternoon,16,"Piper, Rylee, Layla"
e470,2010/02/01,in the early evening,25,"Piper, Olivia"
e477,2010/02/02,in the early evening,13,"Nora, Lydia, Olivia"
e478,2010/02/02,in the early evening,49,"Piper, Layla, Nevaeh"
e479,2010/02/02,late in the evening,14,"Nevaeh, Piper, Hazel"
e480,2010/02/02,in the late afternoon,10,Nevaeh
e487,2010/02/03,in the morning,9,"Nevaeh, Piper, Layla, Claire"
e488,2010/02/03,late in the evening,18,Olivia
e489,2010/02/03,in the early evening,5,Claire
e496,2010/02/04,in the morning,42,"Eva, Kinsley"
e497,2010/02/04,in the late afternoon,8,"Eva, Lydia, Nora, Kinsley"
e504,2010/02/05,in the early afternoon,22,"Hazel, Piper, Kinsley"
e505,2010/02/05,late in the evening,6,"Lydia, Layla, Piper, Olivia"
e512,2010/02/06,in the late afternoon,12,"Lydia, Olivia"
e513,2010/02/06,in the early evening,6,Piper
e514,2010/02/06,in the early afternoon,48,"Layla, Claire"
e520,2010/02/07,late in the evening,42,"Piper, Piper"
e521,2010/02/07,in the late afternoon,22,"Kinsley, Layla"
e528,2010/02/08,in the early evening,41,Rylee
e529,2010/02/08,late in the evening,12,Eva
e536,2010/02/09,in the morning,54,"Avery, Hazel, Lydia, Piper"
e537,2010/02/09,in the early afternoon,54,"Eva, Hazel, Piper"
e544,2010/02/10,in the early afternoon,53,"Eva, Hazel, Claire"
e551,2010/02/11,in the early evening,8,Piper
e552,2010/02/11,late in the evening,10,"Lydia, Claire, Nevaeh"
e553,2010/02/11,in the morning,15,"Olivia, Kinsley"
e559,2010/02/12,in the early afternoon,15,"Avery, Lydia, Piper"
e560,2010/02/12,in the late afternoon,55,"Lydia, Piper, Hazel, Olivia"
e566,2010/02/13,late in the evening,10,Nora
e567,2010/02/13,in the early evening,41,"Rylee, Eva, Hazel"
e568,2010/02/13,in the early evening,35,Kinsley
e574,2010/02/14,in the morning,55,"Piper, Lydia, Claire, Avery"
e575,2010/02/14,in the early evening,31,"Olivia, Piper, Rylee, Eva"
e576,2010/02/14,late in the evening,40,Nevaeh
e582,2010/02/15,in the late afternoon,29,"Avery, Nevaeh"
e583,2010/02/15,in the early evening,53,"Hazel, Nevaeh, Eva, Piper"
e584,2010/02/15,in the early afternoon,36,"Rylee, Hazel, Layla"
e590,2010/02/16,in the early afternoon,25,"Avery, Claire, Layla, Hazel"
e591,2010/02/16,during lunch hours,42,"Layla, Piper, Lydia"
e597,2010/02/17,in the late afternoon,27,"Avery, Nora"
e598,2010/02/17,in the early evening,43,Avery
e599,2010/02/17,in the late afternoon,51,Nevaeh
e605,2010/02/18,in the late afternoon,42,"Nora, Nevaeh"
e606,2010/02/18,during lunch hours,17,"Eva, Nevaeh"
e607,2010/02/18,late in the evening,8,"Avery, Rylee, Layla, Nevaeh"
e614,2010/02/19,during lunch hours,37,Lydia
e615,2010/02/19,late in the evening,17,"Layla, Eva, Piper"
e616,2010/02/19,during lunch hours,41,"Claire, Layla, Piper, Kinsley"
e623,2010/02/20,during lunch hours,40,"Hazel, Piper, Claire, Rylee"
e624,2010/02/20,late in the evening,34,"Olivia, Kinsley, Claire"
e625,2010/02/20,late in the evening,29,Nora
e632,2010/02/21,late in the evening,46,"Nora, Avery, Layla, Piper"
e633,2010/02/21,in the late afternoon,50,"Nora, Lydia, Nevaeh"
e634,2010/02/21,in the morning,47,Avery
e641,2010/02/22,in the morning,55,"Piper, Lydia"
e642,2010/02/22,in the early afternoon,46,Piper
e643,2010/02/22,during lunch hours,49,"Piper, Layla, Claire, Eva"
e650,2010/02/23,in the early evening,41,"Claire, Piper, Avery"
e651,2010/02/23,during lunch hours,12,"Avery, Claire, Rylee"
e652,2010/02/23,in the early afternoon,28,"Nora, Avery"
e659,2010/02/24,in the early evening,26,"Olivia, Kinsley, Piper, Avery"
e660,2010/02/24,during lunch hours,15,Olivia
e661,2010/02/24,in the late afternoon,36,"Olivia, Layla, Avery, Piper"
e662,2010/02/24,in the morning,12,"Piper, Kinsley"
e669,2010/02/25,in the morning,41,Kinsley
e670,2010/02/25,in the early afternoon,42,"Piper, Piper"
e677,2010/02/26,in the early afternoon,35,Hazel
e678,2010/02/26,during lunch hours,45,"Claire, Avery"
e685,2010/02/27,in the late afternoon,10,"Hazel, Olivia, Layla, Kinsley"
e686,2010/02/27,in the morning,30,"Lydia, Claire, Eva"
e687,2010/02/27,during lunch hours,7,"Rylee, Olivia, Kinsley, Hazel"
e688,2010/02/27,during lunch hours,42,"Nevaeh, Rylee, Lydia, Claire"
e695,2010/02/28,in the early evening,52,"Piper, Nora, Layla, Olivia"
e696,2010/02/28,in the early evening,21,"Avery, Claire, Piper"
e697,2010/02/28,in the early afternoon,50,"Hazel, Claire, Piper"
e704,2010/03/01,in the early evening,44,"Hazel, Claire"
e711,2010/03/02,late in the evening,5,"Lydia, Nora, Nevaeh, Hazel"
e712,2010/03/02,in the late afternoon,42,Lydia
e719,2010/03/03,in the early evening,50,"Nevaeh, Lydia"
e720,2010/03/03,during lunch hours,55,"Piper, Nevaeh, Olivia"
e721,2010/03/03,during lunch hours,32,Piper
e728,2010/03/04,late in the evening,21,"Avery, Layla, Lydia, Piper"
e729,2010/03/04,in the morning,29,"Layla, Rylee"
e730,2010/03/04,in the early evening,52,"Claire, Piper, Olivia, Kinsley"
e737,2010/03/05,in the early afternoon,15,"Avery, Piper, Nevaeh"
e738,2010/03/05,in the late afternoon,42,"Layla, Olivia, Nevaeh"
e739,2010/03/05,in the morning,52,"Kinsley, Hazel, Nora, Piper"
e746,2010/03/06,in the early evening,30,Piper
e747,2010/03/06,in the early afternoon,30,"Lydia, Layla"
e748,2010/03/06,late in the evening,18,"Hazel, Eva, Lydia, Olivia"
e755,2010/03/07,during lunch hours,52,Avery
e756,2010/03/07,during lunch hours,34,"Layla, Piper"
e757,2010/03/07,in the morning,26,"Layla, Lydia, Kinsley, Piper"
e764,2010/03/08,in the late afternoon,20,"Eva, Hazel, Claire"
e771,2010/03/09,late in the evening,8,"Layla, Nevaeh"
e772,2010/03/09,in the early evening,10,"Olivia, Rylee, Hazel"
e773,2010/03/09,in the early afternoon,32,"Claire, Olivia"
e780,2010/03/10,in the early evening,37,Eva
e781,2010/03/10,in the morning,18,Piper
e782,2010/03/10,during lunch hours,8,Eva
e783,2010/03/10,in the morning,39,"Lydia, Piper"
e790,2010/03/11,in the early afternoon,5,Avery
e791,2010/03/11,in the morning,49,Olivia
e798,2010/03/12,in the morning,42,"Rylee, Olivia, Avery, Nora"
e799,2010/03/12,in the early afternoon,48,"Eva, Piper, Nevaeh, Piper"
e800,2010/03/12,late in the evening,12,"Claire, Olivia"
e807,2010/03/13,in the late afternoon,50,Kinsley
e808,2010/03/13,in the early evening,36,"Hazel, Nevaeh, Olivia"
e809,2010/03/13,in the late afternoon,35,Eva
e816,2010/03/14,in the morning,11,"Olivia, Nevaeh, Piper"
e817,2010/03/14,in the morning,51,"Rylee, Eva"
e818,2010/03/14,in the morning,44,"Nora, Olivia, Piper, Layla"
e824,2010/03/15,in the morning,5,Nevaeh
e825,2010/03/15,in the early evening,19,"Nora, Rylee, Claire"
e831,2010/03/16,in the late afternoon,7,Piper
e838,2010/03/17,in the morning,55,Avery
e839,2010/03/17,in the early afternoon,32,"Layla, Nora, Rylee"
e840,2010/03/17,in the late afternoon,23,Piper
e841,2010/03/17,in the early evening,19,"Eva, Avery, Hazel, Rylee"
e847,2010/03/18,late in the evening,30,"Piper, Eva, Claire, Nora"
e848,2010/03/18,in the early afternoon,36,"Olivia, Layla, Hazel, Piper"
e849,2010/03/18,in the early afternoon,25,Avery
e856,2010/03/19,in the early evening,33,Avery
e857,2010/03/19,in the morning,17,Olivia
e864,2010/03/20,during lunch hours,8,Avery
e865,2010/03/20,late in the evening,24,Nora
e866,2010/03/20,in the late afternoon,39,Piper
e873,2010/03/21,in the early evening,45,"Kinsley, Piper"
e874,2010/03/21,during lunch hours,55,"Layla, Kinsley, Avery, Claire"
e875,2010/03/21,in the morning,43,"Layla, Kinsley"
e882,2010/03/22,in the morning,35,"Lydia, Hazel"
e883,2010/03/22,late in the evening,12,Lydia
e890,2010/03/23,in the morning,19,"Avery, Layla, Nora, Lydia"
e891,2010/03/23,in the morning,20,"Nevaeh, Hazel, Rylee"
e892,2010/03/23,during lunch hours,15,"Layla, Lydia, Piper, Rylee"
e893,2010/03/23,in the early afternoon,29,"Rylee, Kinsley, Nora, Piper"
e900,2010/03/24,in the early afternoon,21,"Kinsley, Hazel, Avery"
e901,2010/03/24,late in the evening,38,"Lydia, Nevaeh, Layla, Kinsley"
e908,2010/03/25,in the early evening,50,Rylee
e909,2010/03/25,late in the evening,50,Nora
e916,2010/03/26,late in the evening,26,"Kinsley, Piper"
e917,2010/03/26,in the early evening,17,Piper
e918,2010/03/26,in the early afternoon,55,"Rylee, Layla, Nora"
e925,2010/03/27,in the morning,53,Piper
e926,2010/03/27,in the morning,22,"Avery, Lydia, Piper"
e927,2010/03/27,in the early afternoon,22,"Eva, Kinsley, Nora"
e928,2010/03/27,during lunch hours,31,"Claire, Lydia, Nevaeh, Hazel"
e934,2010/03/28,late in the evening,27,Piper
e935,2010/03/28,in the early afternoon,21,Nevaeh
e936,2010/03/28,late in the evening,55,"Piper, Olivia, Claire, Eva"
e937,2010/03/28,in the early evening,52,"Layla, Eva, Lydia, Rylee"
e944,2010/03/29,late in the evening,9,"Lydia, Hazel"
e945,2010/03/29,late in the evening,38,"Claire, Hazel, Nora, Lydia"
e952,2010/03/30,during lunch hours,33,"Nora, Hazel"
e953,2010/03/30,in the late afternoon,13,Lydia
e954,2010/03/30,in the morning,52,Lydia
e960,2010/03/31,in the early evening,41,"Nevaeh, Nora"
e961,2010/03/31,in the early evening,34,"Avery, Lydia, Layla"
e962,2010/03/31,in the early evening,44,"Layla, Piper, Avery, Rylee"
e969,2010/04/01,in the morning,45,"Rylee, Lydia"
e970,2010/04/01,in the late afternoon,43,"Hazel, Layla"
e971,2010/04/01,in the late afternoon,40,"Kinsley, Olivia"
e972,2010/04/01,in the early afternoon,44,"Nevaeh, Claire, Piper, Eva"
e979,2010/04/02,late in the evening,31,"Nora, Olivia"
e980,2010/04/02,in the late afternoon,19,Kinsley
e986,2010/04/03,in the early evening,34,"Hazel, Claire, Piper, Piper"
e987,2010/04/03,in the early evening,47,"Olivia, Kinsley, Piper, Eva"
e988,2010/04/03,in the early evening,39,"Claire, Lydia, Nora"
e995,2010/04/04,during lunch hours,6,"Piper, Piper, Rylee"
e996,2010/04/04,late in the evening,55,"Claire, Hazel, Kinsley"
e1003,2010/04/05,during lunch hours,9,"Nevaeh, Hazel"
e1004,2010/04/05,in the morning,14,Kinsley
e1005,2010/04/05,late in the evening,45,"Piper, Eva"
e1006,2010/04/05,late in the evening,23,"Nora, Avery, Hazel, Piper"
e1013,2010/04/06,in the morning,27,"Piper, Olivia, Nora, Kinsley"
e1014,2010/04/06,late in the evening,17,"Eva, Claire, Layla"
e1015,2010/04/06,in the morning,28,"Claire, Kinsley, Hazel, Nora"
e1022,2010/04/07,in the early evening,42,"Kinsley, Avery, Hazel, Nevaeh"
e1023,2010/04/07,in the early afternoon,52,"Hazel, Layla, Eva"
e1024,2010/04/07,in the early afternoon,34,"Kinsley, Claire, Nora, Nevaeh"
e1031,2010/04/08,in the early afternoon,20,"Piper, Piper"
e1032,2010/04/08,in the early afternoon,52,Eva
e1033,2010/04/08,late in the evening,36,"Olivia, Kinsley, Avery"
e1040,2010/04/09,in the morning,31,"Piper, Olivia, Nevaeh"
e1041,2010/04/09,in the late afternoon,21,"Nevaeh, Olivia, Rylee"
e1042,2010/04/09,in the early evening,54,"Avery, Nora"
e1049,2010/04/10,during lunch hours,49,Nevaeh
e1050,2010/04/10,in the early afternoon,53,Avery
e1057,2010/04/11,during lunch hours,33,Claire
e1058,2010/04/11,during lunch hours,31,Lydia
e1065,2010/04/12,during lunch hours,22,"Nora, Kinsley"
e1066,2010/04/12,in the late afternoon,29,Olivia
e1067,2010/04/12,in the early afternoon,14,"Layla, Rylee, Eva"
e1074,2010/04/13,in the late afternoon,19,"Nora, Nevaeh, Lydia, Hazel"
e1075,2010/04/13,during lunch hours,25,"Avery, Layla"
e1076,2010/04/13,late in the evening,50,"Hazel, Piper"
e1083,2010/04/14,during lunch hours,14,"Piper, Avery, Eva"
e1084,2010/04/14,in the late afternoon,50,Hazel
e1085,2010/04/14,in the late afternoon,28,Nora
e1091,2010/04/15,in the morning,13,"Nora, Piper, Layla"
e1092,2010/04/15,in the morning,55,Avery
e1098,2010/04/16,in the early afternoon,23,"Nora, Eva, Nevaeh, Claire"
e1099,2010/04/16,in the late afternoon,51,Hazel
e1105,2010/04/17,in the early evening,16,"Piper, Nevaeh, Rylee, Kinsley"
e1106,2010/04/17,in the late afternoon,7,"Piper, Eva"
e1107,2010/04/17,in the early afternoon,12,"Rylee, Avery, Layla"
e1108,2010/04/17,late in the evening,17,Lydia
e1115,2010/04/18,in the early evening,24,"Avery, Nora, Piper, Piper"
e1116,2010/04/18,in the late afternoon,21,"Kinsley, Olivia, Layla, Claire"
e1117,2010/04/18,in the early afternoon,32,"Eva, Hazel, Nora, Nevaeh"
e1118,2010/04/18,in the early afternoon,38,"Olivia, Claire"
e1125,2010/04/19,in the late afternoon,34,"Nevaeh, Piper"
e1126,2010/04/19,late in the evening,52,"Olivia, Rylee, Claire"
e1127,2010/04/19,late in the evening,32,"Eva, Avery, Layla, Olivia"
e1134,2010/04/20,in the late afternoon,52,"Piper, Claire, Rylee, Nevaeh"
e1141,2010/04/21,during lunch hours,26,Eva
e1142,2010/04/21,in the early afternoon,55,"Piper, Avery"
e1149,2010/04/22,in the morning,15,"Claire, Layla, Piper"
e1150,2010/04/22,in the early evening,18,Hazel
e1151,2010/04/22,in the morning,24,Eva
e1158,2010/04/23,during lunch hours,37,"Lydia, Nora"
e1159,2010/04/23,in the early evening,46,Piper
e1160,2010/04/23,in the morning,37,"Nevaeh, Kinsley, Avery, Rylee"
e1167,2010/04/24,in the early afternoon,33,"Olivia, Hazel, Claire, Avery"
e1168,2010/04/24,in the early evening,36,"Layla, Nora"
e1169,2010/04/24,in the early afternoon,18,"Eva, Piper, Lydia"
e1176,2010/04/25,in the morning,35,"Olivia, Kinsley"
e1177,2010/04/25,in the morning,30,"Piper, Avery, Nevaeh, Claire"
e1184,2010/04/26,in the early afternoon,14,"Piper, Claire, Lydia"
e1185,2010/04/26,in the late afternoon,41,"Lydia, Claire, Avery, Eva"
e1192,2010/04/27,late in the evening,10,"Olivia, Piper, Claire, Rylee"
e1193,2010/04/27,in the late afternoon,22,"Nevaeh, Piper, Eva"
e1194,2010/04/27,in the late afternoon,11,"Piper, Kinsley, Hazel"
e1201,2010/04/28,during lunch hours,34,"Avery, Lydia, Kinsley, Nora"
e1202,2010/04/28,during lunch hours,6,"Piper, Claire, Nora"
e1203,2010/04/28,in the late afternoon,18,Hazel
e1210,2010/04/29,during lunch hours,55,"Eva, Hazel"
e1211,2010/04/29,in the late afternoon,33,"Avery, Eva"
e1218,2010/04/30,in the late afternoon,8,"Hazel, Kinsley, Eva, Layla"
e1219,2010/04/30,late in the evening,5,"Avery, Rylee"
e1220,2010/04/30,late in the evening,5,Layla
e1227,2010/05/01,in the early evening,6,Lydia
e1228,2010/05/01,in the early afternoon,41,"Piper, Olivia"
e1235,2010/05/02,late in the evening,23,"Nevaeh, Avery, Rylee"
e1236,2010/05/02,in the morning,51,"Rylee, Nevaeh, Hazel, Nora"
e1237,2010/05/02,late in the evening,37,Avery
e1244,2010/05/03,in the late afternoon,10,"Eva, Piper, Rylee, Hazel"
e1251,2010/05/04,in the early evening,27,"Piper, Rylee"
e1252,2010/05/04,during lunch hours,23,"Piper, Rylee, Olivia"
e1259,2010/05/05,in the early evening,20,"Hazel, Eva"
e1260,2010/05/05,late in the evening,46,"Nevaeh, Layla, Piper, Eva"
e1267,2010/05/06,during lunch hours,33,"Avery, Piper, Lydia"
e1268,2010/05/06,in the early evening,53,"Piper, Rylee"
e1269,2010/05/06,in the early afternoon,51,"Nora, Rylee"
e1270,2010/05/06,in the morning,46,"Olivia, Claire"
e1277,2010/05/07,in the early afternoon,33,Eva
e1278,2010/05/07,in the early afternoon,27,"Avery, Nora, Eva"
e1285,2010/05/08,in the early afternoon,52,Eva
e1286,2010/05/08,in the early afternoon,41,"Hazel, Nora, Piper"
e1293,2010/05/09,during lunch hours,17,"Layla, Claire, Nora, Hazel"
e1294,2010/05/09,in the early afternoon,8,Eva
e1295,2010/05/09,in the late afternoon,16,"Rylee, Piper, Layla, Kinsley"
e1302,2010/05/10,in the early evening,14,"Hazel, Kinsley, Nora, Piper"
e1303,2010/05/10,in the early evening,7,"Hazel, Nora, Avery, Piper"
e1304,2010/05/10,in the morning,17,"Kinsley, Piper, Layla"
e1305,2010/05/10,in the early evening,14,"Kinsley, Layla"
e1312,2010/05/11,in the early afternoon,51,"Nevaeh, Hazel"
e1313,2010/05/11,during lunch hours,41,Rylee
e1314,2010/05/11,during lunch hours,40,"Rylee, Piper, Olivia, Piper"
e1321,2010/05/12,in the late afternoon,10,"Nora, Kinsley, Nevaeh"
e1322,2010/05/12,in the early afternoon,40,"Nora, Hazel"
e1329,2010/05/13,in the early afternoon,28,"Lydia, Nora"
e1330,2010/05/13,in the late afternoon,19,Eva
e1336,2010/05/14,late in the evening,17,"Layla, Nevaeh, Kinsley, Eva"
e1337,2010/05/14,in the early evening,49,"Hazel, Piper, Kinsley"
e1338,2010/05/14,in the late afternoon,25,"Olivia, Hazel, Rylee"
e1339,2010/05/14,in the early evening,19,"Rylee, Kinsley"
e1346,2010/05/15,late in the evening,29,Avery
e1347,2010/05/15,in the morning,38,"Hazel, Piper, Avery"
e1348,2010/05/15,during lunch hours,20,"Piper, Eva"
e1349,2010/05/15,in the early evening,34,"Claire, Rylee"
e1356,2010/05/16,in the morning,9,"Piper, Avery, Claire"
e1357,2010/05/16,in the early afternoon,25,Piper
e1358,2010/05/16,during lunch hours,13,"Claire, Avery, Eva, Olivia"
e1359,2010/05/16,during lunch hours,37,"Avery, Nora, Piper, Nevaeh"
e1366,2010/05/17,in the early afternoon,27,"Eva, Rylee"
e1367,2010/05/17,late in the evening,8,"Layla, Lydia, Rylee, Kinsley"
e1368,2010/05/17,during lunch hours,25,"Kinsley, Eva"
e1375,2010/05/18,in the morning,55,"Rylee, Avery, Nevaeh"
e1376,2010/05/18,in the morning,54,"Hazel, Rylee, Kinsley, Olivia"
e1377,2010/05/18,in the early evening,16,"Piper, Claire, Layla"
e1384,2010/05/19,late in the evening,46,"Kinsley, Claire"
e1385,2010/05/19,in the morning,43,Lydia
e1392,2010/05/20,in the early afternoon,17,"Layla, Nora, Piper"
e1393,2010/05/20,during lunch hours,40,"Avery, Rylee, Kinsley"
e1394,2010/05/20,in the morning,33,"Piper, Hazel, Lydia, Avery"
e1401,2010/05/21,late in the evening,15,Piper
e1402,2010/05/21,in the early afternoon,47,Kinsley
e1403,2010/05/21,late in the evening,47,"Piper, Lydia, Layla"
e1410,2010/05/22,in the early afternoon,24,Hazel
e1411,2010/05/22,in the early evening,19,"Piper, Nora, Avery"
e1412,2010/05/22,in the early afternoon,52,Layla
e1413,2010/05/22,in the morning,26,"Hazel, Eva, Piper"
e1420,2010/05/23,late in the evening,11,"Hazel, Lydia, Nevaeh, Rylee"
e1421,2010/05/23,during lunch hours,8,"Nevaeh, Eva, Layla"
e1428,2010/05/24,in the late afternoon,51,Lydia
e1429,2010/05/24,in the morning,25,Nora
e1436,2010/05/25,in the morning,36,"Piper, Avery, Kinsley"
e1437,2010/05/25,late in the evening,48,Kinsley
e1438,2010/05/25,in the late afternoon,43,Nora
e1445,2010/05/26,late in the evening,8,"Hazel, Layla, Rylee"
e1446,2010/05/26,in the early evening,27,"Avery, Piper, Nevaeh, Kinsley"
e1447,2010/05/26,late in the evening,52,"Rylee, Kinsley, Lydia"
e1454,2010/05/27,late in the evening,32,"Avery, Piper, Nevaeh"
e1455,2010/05/27,late in the evening,41,"Nora, Olivia, Claire, Layla"
e1462,2010/05/28,late in the evening,48,"Nora, Piper, Piper"
e1463,2010/05/28,in the early evening,45,"Layla, Avery, Rylee"
e1464,2010/05/28,in the early evening,22,Piper
e1465,2010/05/28,in the late afternoon,47,Olivia
e1472,2010/05/29,in the early evening,38,"Lydia, Hazel, Piper, Nora"
e1473,2010/05/29,during lunch hours,20,"Piper, Nevaeh, Eva"
e1474,2010/05/29,in the late afternoon,8,"Nevaeh, Piper"
e1481,2010/05/30,in the morning,50,"Layla, Rylee, Nora, Nevaeh"
e1482,2010/05/30,during lunch hours,24,"Layla, Piper, Eva, Claire"
e1483,2010/05/30,in the morning,16,"Nora, Rylee"
e1490,2010/05/31,in the early evening,29,"Eva, Hazel, Piper"
e1491,2010/05/31,during lunch hours,8,"Hazel, Piper, Eva, Olivia"
e1498,2010/06/01,in the early afternoon,14,"Eva, Nevaeh"
e1499,2010/06/01,during lunch hours,48,"Hazel, Avery, Kinsley"
e1500,2010/06/01,in the morning,32,"Layla, Piper, Rylee"
e1507,2010/06/02,in the early evening,34,Rylee
e1508,2010/06/02,late in the evening,52,"Rylee, Nora, Eva, Olivia"
e1509,2010/06/02,during lunch hours,27,Avery
e1510,2010/06/02,in the early evening,52,"Kinsley, Piper, Piper"
e1517,2010/06/03,in the early afternoon,49,"Piper, Nora, Layla, Avery"
e1518,2010/06/03,in the early evening,49,Piper
e1519,2010/06/03,during lunch hours,33,Kinsley
e1520,2010/06/03,in the early evening,19,"Eva, Kinsley, Olivia, Piper"
e1527,2010/06/04,during lunch hours,11,"Piper, Nora"
e1528,2010/06/04,in the morning,50,Nora
e1529,2010/06/04,in the late afternoon,45,"Claire, Eva, Piper, Nora"
e1530,2010/06/04,during lunch hours,7,"Lydia, Piper, Kinsley"
e1537,2010/06/05,in the early afternoon,7,Piper
e1538,2010/06/05,in the early afternoon,33,Nevaeh
e1539,2010/06/05,during lunch hours,50,"Nora, Piper, Avery"
e1540,2010/06/05,during lunch hours,48,"Hazel, Kinsley, Avery"
e1547,2010/06/06,late in the evening,49,"Olivia, Layla"
e1548,2010/06/06,in the late afternoon,54,"Nora, Nevaeh"
e1555,2010/06/07,late in the evening,52,"Layla, Avery"
e1556,2010/06/07,in the morning,9,"Claire, Piper, Piper, Kinsley"
e1563,2010/06/08,late in the evening,5,"Kinsley, Lydia, Nora"
e1564,2010/06/08,in the early evening,14,"Layla, Piper"
e1565,2010/06/08,in the early afternoon,26,"Olivia, Claire, Kinsley"
