eid,date,watchtype,howlong
e1239,2010/05/02,a documentary,48
e1246,2010/05/03,a tv series,40
e1254,2010/05/04,a movie,12
e1262,2010/05/05,news,43
e1272,2010/05/06,a documentary,43
e1280,2010/05/07,news,52
e1288,2010/05/08,a documentary,55
e1297,2010/05/09,a documentary,11
e1307,2010/05/10,news,22
e1316,2010/05/11,a documentary,38
e1324,2010/05/12,news,19
e1332,2010/05/13,a tv series,55
e1341,2010/05/14,news,50
e1351,2010/05/15,a documentary,48
e1361,2010/05/16,news,13
e1370,2010/05/17,a tv series,19
e1379,2010/05/18,a movie,6
e1387,2010/05/19,a tv series,45
e1396,2010/05/20,a movie,25
e1405,2010/05/21,a movie,13
e1415,2010/05/22,a documentary,54
e1423,2010/05/23,a documentary,31
e1431,2010/05/24,a movie,39
e1440,2010/05/25,a documentary,30
e1449,2010/05/26,a movie,50
e1457,2010/05/27,news,50
e1467,2010/05/28,a documentary,24
e1476,2010/05/29,a movie,11
e1485,2010/05/30,a documentary,21
e1493,2010/05/31,a tv series,26
e1502,2010/06/01,a tv series,25
e1512,2010/06/02,news,12
e1522,2010/06/03,news,46
e1532,2010/06/04,news,28
e1542,2010/06/05,a documentary,26
e1550,2010/06/06,news,14
e1558,2010/06/07,a movie,37
e1567,2010/06/08,a documentary,7
e1574,2010/06/09,news,38
e1584,2010/06/10,a movie,48
e1592,2010/06/11,news,15
e1601,2010/06/12,a movie,30
e1609,2010/06/13,a movie,51
e1617,2010/06/14,a tv series,14
e1625,2010/06/15,news,8
e1634,2010/06/16,a tv series,35
e1643,2010/06/17,a documentary,15
e1650,2010/06/18,a documentary,32
e1660,2010/06/19,a tv series,7
e1668,2010/06/20,a tv series,15
e1677,2010/06/21,a movie,41
e1685,2010/06/22,a documentary,35
e1694,2010/06/23,a documentary,10
e1704,2010/06/24,a documentary,34
e1714,2010/06/25,a tv series,15
e1723,2010/06/26,a movie,35
e1733,2010/06/27,a movie,26
e1743,2010/06/28,a movie,8
e1753,2010/06/29,a movie,27
e1761,2010/06/30,a documentary,10
e1768,2010/07/01,news,51
e1776,2010/07/02,news,30
e1785,2010/07/03,a documentary,49
e1792,2010/07/04,a documentary,8
e1800,2010/07/05,a movie,47
e1809,2010/07/06,a movie,53
e1819,2010/07/07,a tv series,53
e1827,2010/07/08,news,48
e1836,2010/07/09,a tv series,50
e1844,2010/07/10,news,8
e1854,2010/07/11,a tv series,49
e1863,2010/07/12,a tv series,28
e1873,2010/07/13,a tv series,5
e1882,2010/07/14,a documentary,7
e1892,2010/07/15,a tv series,45
e1901,2010/07/16,a tv series,45
e1910,2010/07/17,news,30
e1920,2010/07/18,a documentary,37
e1927,2010/07/19,news,55
e1936,2010/07/20,news,28
e1944,2010/07/21,a movie,27
e1954,2010/07/22,news,54
e1963,2010/07/23,a tv series,26
e1972,2010/07/24,news,41
e1981,2010/07/25,a tv series,48
e1990,2010/07/26,news,38
e1999,2010/07/27,a tv series,21
e2008,2010/07/28,a documentary,26
e2016,2010/07/29,a tv series,8
e2026,2010/07/30,news,13
e2035,2010/07/31,a tv series,19
e2045,2010/08/01,a documentary,8
e2055,2010/08/02,news,6
e2064,2010/08/03,news,47
e2073,2010/08/04,a movie,15
e2083,2010/08/05,news,29
e2090,2010/08/06,a tv series,31
e2097,2010/08/07,a tv series,50
e2105,2010/08/08,a documentary,22
e2113,2010/08/09,a documentary,25
e2121,2010/08/10,a documentary,23
e2129,2010/08/11,a documentary,25
e2137,2010/08/12,news,13
e2144,2010/08/13,a documentary,22
e2153,2010/08/14,a documentary,34
e2161,2010/08/15,a tv series,23
e2171,2010/08/16,news,50
e2180,2010/08/17,news,11
e2187,2010/08/18,news,13
e2195,2010/08/19,news,49
e2204,2010/08/20,a movie,53
e2212,2010/08/21,news,23
e2219,2010/08/22,a movie,18
e2228,2010/08/23,a tv series,11
e2236,2010/08/24,a movie,45
e2244,2010/08/25,a movie,27
e2252,2010/08/26,a documentary,21
e2260,2010/08/27,news,36
e2269,2010/08/28,a tv series,10
e2278,2010/08/29,a movie,42
e2286,2010/08/30,news,23
e2295,2010/08/31,a movie,17
e2303,2010/09/01,a documentary,9
e2313,2010/09/02,news,27
e2322,2010/09/03,a tv series,31
e2331,2010/09/04,a documentary,33
e2339,2010/09/05,a movie,17
e2349,2010/09/06,news,51
e2359,2010/09/07,news,52
e2368,2010/09/08,a movie,53
e2376,2010/09/09,news,7
e2386,2010/09/10,a movie,24
e2395,2010/09/11,news,14
e2403,2010/09/12,a movie,34
e2412,2010/09/13,a movie,55
e2421,2010/09/14,a tv series,6
e2429,2010/09/15,news,5
e2438,2010/09/16,news,44
e2447,2010/09/17,news,31
e2456,2010/09/18,news,52
e2466,2010/09/19,a movie,20
e2476,2010/09/20,a documentary,33
e2485,2010/09/21,news,55
e2494,2010/09/22,a movie,50
e2503,2010/09/23,a documentary,10
e2511,2010/09/24,a movie,31
e2521,2010/09/25,a documentary,47
e2530,2010/09/26,a tv series,55
e2538,2010/09/27,a movie,25
e2548,2010/09/28,a tv series,10
e2556,2010/09/29,a tv series,32
e2566,2010/09/30,a tv series,29
e2574,2010/10/01,a documentary,13
e2583,2010/10/02,news,31
e2591,2010/10/03,a tv series,41
e2600,2010/10/04,news,7
e2609,2010/10/05,a documentary,38
e2617,2010/10/06,a documentary,19
e2626,2010/10/07,a movie,15
e2635,2010/10/08,news,17
e2643,2010/10/09,a documentary,47
e2653,2010/10/10,a documentary,54
e2661,2010/10/11,a movie,32
e2669,2010/10/12,a movie,49
e2677,2010/10/13,news,32
e2686,2010/10/14,news,13
e2695,2010/10/15,news,52
e2704,2010/10/16,a movie,53
e2712,2010/10/17,a movie,19
e2720,2010/10/18,news,18
e2730,2010/10/19,a documentary,37
e2739,2010/10/20,a movie,6
e2748,2010/10/21,a documentary,24
e2756,2010/10/22,a movie,9
e2766,2010/10/23,a tv series,55
e2775,2010/10/24,news,24
e2784,2010/10/25,news,33
e2794,2010/10/26,a documentary,28
e2803,2010/10/27,a movie,13
e2812,2010/10/28,news,38
e2821,2010/10/29,a tv series,6
e2830,2010/10/30,news,55
e2839,2010/10/31,a movie,49
e2847,2010/11/01,a movie,20
e2855,2010/11/02,news,36
e2864,2010/11/03,news,8
e2873,2010/11/04,a movie,45
e2881,2010/11/05,a documentary,27
e2890,2010/11/06,a movie,37
e2899,2010/11/07,a movie,27
e2907,2010/11/08,a documentary,43
e2917,2010/11/09,a documentary,25
e2927,2010/11/10,a documentary,27
e2936,2010/11/11,a tv series,5
e2946,2010/11/12,a tv series,10
e2956,2010/11/13,a movie,54
e2964,2010/11/14,a tv series,17
e2974,2010/11/15,a tv series,48
e2982,2010/11/16,a documentary,11
e2990,2010/11/17,a tv series,54
e2999,2010/11/18,a documentary,53
e3007,2010/11/19,a tv series,27
e3014,2010/11/20,a documentary,13
e3022,2010/11/21,news,30
e3032,2010/11/22,a movie,29
e3041,2010/11/23,a documentary,12
e3050,2010/11/24,news,54
e3060,2010/11/25,a documentary,34
e3069,2010/11/26,a movie,53
e3077,2010/11/27,a movie,25
e3087,2010/11/28,a movie,6
e3097,2010/11/29,news,51
e3106,2010/11/30,a tv series,32
e3115,2010/12/01,a tv series,30
e3123,2010/12/02,a documentary,49
e3130,2010/12/03,a documentary,36
e3137,2010/12/04,a documentary,10
e3146,2010/12/05,news,41
e3155,2010/12/06,news,25
e3163,2010/12/07,a documentary,48
e3171,2010/12/08,a movie,26
e3181,2010/12/09,a tv series,30
e3189,2010/12/10,a movie,30
e3198,2010/12/11,a movie,14
e3206,2010/12/12,news,41
e3216,2010/12/13,a documentary,15
e3224,2010/12/14,news,39
e3234,2010/12/15,a documentary,25
e3242,2010/12/16,news,54
e3252,2010/12/17,news,20
e3262,2010/12/18,a documentary,18
e3271,2010/12/19,a movie,40
e3279,2010/12/20,a documentary,39
e3289,2010/12/21,a movie,53
e3297,2010/12/22,news,52
e3306,2010/12/23,a documentary,8
e3316,2010/12/24,a tv series,38
e3324,2010/12/25,a movie,26
e3332,2010/12/26,a documentary,13
e3341,2010/12/27,a documentary,21
e3351,2010/12/28,a movie,40
e3360,2010/12/29,a tv series,7
e3367,2010/12/30,a documentary,18
e3376,2010/12/31,a movie,55
e3588,2011/01/01,news,9
e3597,2011/01/02,a documentary,40
e3605,2011/01/03,a tv series,32
e3615,2011/01/04,a tv series,37
e3624,2011/01/05,a documentary,6
e3631,2011/01/06,a movie,40
e3639,2011/01/07,a tv series,20
e3646,2011/01/08,news,18
e3656,2011/01/09,a movie,30
e3664,2011/01/10,a tv series,52
e3673,2011/01/11,a documentary,39
e3681,2011/01/12,a documentary,13
e3690,2011/01/13,a tv series,51
e3698,2011/01/14,a tv series,35
e3707,2011/01/15,a tv series,12
e3715,2011/01/16,a movie,7
e3723,2011/01/17,news,50
e3733,2011/01/18,a documentary,47
e3743,2011/01/19,a movie,52
e3751,2011/01/20,news,47
e3760,2011/01/21,news,50
e3769,2011/01/22,a documentary,14
e3777,2011/01/23,news,50
e3786,2011/01/24,news,28
e3796,2011/01/25,a movie,41
e3804,2011/01/26,a documentary,27
e3812,2011/01/27,a tv series,44
e3821,2011/01/28,a tv series,21
e3829,2011/01/29,a movie,14
e3838,2011/01/30,a documentary,6
e3847,2011/01/31,a movie,19
e3857,2011/02/01,a tv series,18
e3865,2011/02/02,a documentary,8
e3874,2011/02/03,a movie,10
e3882,2011/02/04,a movie,36
e3892,2011/02/05,a tv series,54
e3901,2011/02/06,a documentary,32
e3909,2011/02/07,a movie,17
e3919,2011/02/08,a documentary,28
e3927,2011/02/09,a documentary,45
e3935,2011/02/10,news,21
e3943,2011/02/11,a tv series,45
e3952,2011/02/12,a movie,43
e3961,2011/02/13,news,7
e3969,2011/02/14,news,18
e3979,2011/02/15,a movie,40
e3987,2011/02/16,a movie,41
e3996,2011/02/17,a movie,49
e4005,2011/02/18,a movie,14
e4013,2011/02/19,a tv series,9
e4021,2011/02/20,a tv series,44
e4030,2011/02/21,a documentary,54
e4039,2011/02/22,news,25
e4047,2011/02/23,a tv series,17
e4056,2011/02/24,a documentary,8
e4064,2011/02/25,news,16
e4071,2011/02/26,news,6
e4078,2011/02/27,a tv series,22
e4086,2011/02/28,news,20
e4094,2011/03/01,a tv series,27
e4102,2011/03/02,a movie,42
e4108,2011/03/03,news,15
e4116,2011/03/04,a movie,5
e4125,2011/03/05,a movie,39
e4133,2011/03/06,news,50
e4143,2011/03/07,news,51
e4152,2011/03/08,a documentary,5
e4162,2011/03/09,a tv series,5
e4171,2011/03/10,news,50
e4181,2011/03/11,a documentary,55
e4191,2011/03/12,a movie,42
e4199,2011/03/13,news,33
e4208,2011/03/14,news,38
e4217,2011/03/15,a documentary,21
e4225,2011/03/16,news,55
e4233,2011/03/17,a movie,46
e4241,2011/03/18,news,37
e4251,2011/03/19,a tv series,20
e4260,2011/03/20,a documentary,12
e4270,2011/03/21,a tv series,15
e4278,2011/03/22,a tv series,25
e4285,2011/03/23,a movie,20
e4294,2011/03/24,a movie,34
e4303,2011/03/25,a tv series,5
e4311,2011/03/26,a documentary,40
e4319,2011/03/27,news,27
e4328,2011/03/28,a documentary,35
e4335,2011/03/29,a tv series,9
e4345,2011/03/30,a tv series,12
e4353,2011/03/31,news,21
e4361,2011/04/01,a movie,41
e4370,2011/04/02,a tv series,19
e4380,2011/04/03,a movie,9
e4388,2011/04/04,news,16
e4396,2011/04/05,a tv series,26
e4405,2011/04/06,a tv series,45
e4414,2011/04/07,a documentary,44
e4423,2011/04/08,a documentary,54
e4431,2011/04/09,a movie,14
e4440,2011/04/10,a documentary,18
e4448,2011/04/11,a documentary,54
e4456,2011/04/12,a documentary,18
e4465,2011/04/13,a tv series,12
e4474,2011/04/14,a movie,49
e4481,2011/04/15,a documentary,13
e4490,2011/04/16,a documentary,11
e4499,2011/04/17,a documentary,26
e4508,2011/04/18,a tv series,23
e4517,2011/04/19,news,30
e4526,2011/04/20,a tv series,48
e4535,2011/04/21,a documentary,48
e4544,2011/04/22,a movie,44
e4552,2011/04/23,a movie,16
e4561,2011/04/24,a movie,48
e4569,2011/04/25,a movie,5
e4579,2011/04/26,a documentary,25
e4587,2011/04/27,a tv series,43
e4597,2011/04/28,news,20
e4606,2011/04/29,a tv series,43
e4615,2011/04/30,news,47
e4623,2011/05/01,news,38
e4631,2011/05/02,a documentary,8
e4640,2011/05/03,news,48
e4649,2011/05/04,a movie,45
e4658,2011/05/05,a movie,45
e4666,2011/05/06,a tv series,55
e4675,2011/05/07,a movie,33
e4684,2011/05/08,a movie,45
e4693,2011/05/09,a movie,36
e4701,2011/05/10,news,45
e4709,2011/05/11,a tv series,37
e4718,2011/05/12,a tv series,31
e4727,2011/05/13,a tv series,5
e4735,2011/05/14,a tv series,10
e4745,2011/05/15,news,10
e4754,2011/05/16,a movie,25
e4763,2011/05/17,news,38
e4770,2011/05/18,a movie,47
e4779,2011/05/19,a movie,42
e4788,2011/05/20,a documentary,16
e4797,2011/05/21,a tv series,40
e4806,2011/05/22,a documentary,51
e4815,2011/05/23,a documentary,15
e4823,2011/05/24,a movie,22
e4832,2011/05/25,news,42
e4841,2011/05/26,a documentary,13
e4849,2011/05/27,a tv series,6
e4857,2011/05/28,news,53
e4867,2011/05/29,a movie,47
e4876,2011/05/30,a tv series,42
e4884,2011/05/31,a documentary,23
e4893,2011/06/01,a movie,37
e4902,2011/06/02,a documentary,29
e4910,2011/06/03,news,39
e4920,2011/06/04,a movie,18
e4929,2011/06/05,a movie,15
e4936,2011/06/06,a tv series,10
e4944,2011/06/07,news,24
e4953,2011/06/08,a documentary,30
e4961,2011/06/09,a movie,37
e4970,2011/06/10,a documentary,28
e4979,2011/06/11,a movie,28
e4989,2011/06/12,a documentary,44
e4997,2011/06/13,news,45
e5006,2011/06/14,a tv series,20
e5015,2011/06/15,a tv series,31
e5024,2011/06/16,a movie,41
e5033,2011/06/17,a documentary,33
e5043,2011/06/18,a tv series,24
e5051,2011/06/19,news,22
e5061,2011/06/20,a documentary,8
e5071,2011/06/21,a movie,12
e5080,2011/06/22,a movie,18
e5088,2011/06/23,a documentary,30
e5097,2011/06/24,a movie,10
e5106,2011/06/25,a documentary,53
e5114,2011/06/26,a documentary,44
e5124,2011/06/27,a tv series,44
e5132,2011/06/28,news,29
e5140,2011/06/29,news,16
e5148,2011/06/30,news,21
e5156,2011/07/01,a tv series,26
e5166,2011/07/02,a tv series,7
e5175,2011/07/03,a documentary,33
e5185,2011/07/04,a tv series,13
e5193,2011/07/05,a tv series,48
e5202,2011/07/06,news,17
e5212,2011/07/07,news,54
e5219,2011/07/08,a movie,41
e5227,2011/07/09,a movie,19
e5236,2011/07/10,a movie,44
e5246,2011/07/11,a documentary,47
e5255,2011/07/12,news,53
e5263,2011/07/13,a movie,9
e5272,2011/07/14,a tv series,35
e5281,2011/07/15,a movie,24
e5291,2011/07/16,a tv series,25
e5299,2011/07/17,a movie,51
e5309,2011/07/18,a movie,23
e5317,2011/07/19,a documentary,26
e5326,2011/07/20,a tv series,34
e5336,2011/07/21,news,50
e5344,2011/07/22,news,17
e5353,2011/07/23,a documentary,52
e5361,2011/07/24,a tv series,12
e5371,2011/07/25,news,38
e5379,2011/07/26,a movie,40
e5388,2011/07/27,a movie,19
e5396,2011/07/28,a documentary,43
e5404,2011/07/29,news,21
e5414,2011/07/30,a movie,25
e5423,2011/07/31,a tv series,25
e5432,2011/08/01,a documentary,14
e5441,2011/08/02,a movie,32
e5450,2011/08/03,a tv series,40
e5459,2011/08/04,a movie,49
e5469,2011/08/05,a documentary,39
e5477,2011/08/06,a documentary,8
e5486,2011/08/07,a tv series,54
e5495,2011/08/08,news,36
e5505,2011/08/09,a movie,15
e5514,2011/08/10,news,30
e5523,2011/08/11,news,6
e5530,2011/08/12,news,52
e5539,2011/08/13,a movie,51
e5548,2011/08/14,a movie,18
e5556,2011/08/15,a tv series,44
e5566,2011/08/16,a movie,45
e5575,2011/08/17,news,55
e5583,2011/08/18,a tv series,9
e5592,2011/08/19,news,45
e5601,2011/08/20,a tv series,25
e5609,2011/08/21,news,11
e5617,2011/08/22,a documentary,10
e5626,2011/08/23,a tv series,55
e5635,2011/08/24,a tv series,43
e5644,2011/08/25,news,34
e5652,2011/08/26,a movie,7
e5662,2011/08/27,a movie,26
e5671,2011/08/28,a tv series,15
e5679,2011/08/29,a tv series,54
e5688,2011/08/30,news,36
e5696,2011/08/31,a documentary,9
e5705,2011/09/01,a documentary,44
e5714,2011/09/02,a tv series,41
e5721,2011/09/03,news,34
e5731,2011/09/04,a tv series,35
e5741,2011/09/05,news,40
e5748,2011/09/06,a tv series,5
e5757,2011/09/07,a tv series,41
e5766,2011/09/08,news,41
e5773,2011/09/09,a tv series,8
e5782,2011/09/10,a documentary,9
e5792,2011/09/11,a documentary,42
e5801,2011/09/12,a movie,18
e5810,2011/09/13,a tv series,7
e5819,2011/09/14,a movie,32
e5828,2011/09/15,a movie,46
e5837,2011/09/16,a tv series,15
e5846,2011/09/17,news,35
e5854,2011/09/18,a tv series,39
e5862,2011/09/19,a documentary,18
e5869,2011/09/20,a tv series,46
e5879,2011/09/21,a tv series,53
e5889,2011/09/22,a tv series,29
e5898,2011/09/23,a movie,13
e5907,2011/09/24,a tv series,41
e5916,2011/09/25,a tv series,43
e5923,2011/09/26,news,55
e5932,2011/09/27,news,15
e5942,2011/09/28,news,18
e5950,2011/09/29,a documentary,14
e5960,2011/09/30,a tv series,13
e5970,2011/10/01,a documentary,45
e5978,2011/10/02,a movie,5
e5987,2011/10/03,news,9
e5995,2011/10/04,a movie,13
e6002,2011/10/05,news,21
e6011,2011/10/06,a documentary,10
e6018,2011/10/07,news,7
e6026,2011/10/08,a tv series,35
e6035,2011/10/09,a tv series,45
e6044,2011/10/10,a tv series,43
e6052,2011/10/11,news,23
e6060,2011/10/12,news,42
e6069,2011/10/13,a tv series,22
e6077,2011/10/14,a tv series,24
e6086,2011/10/15,news,45
e6095,2011/10/16,news,34
e6104,2011/10/17,a movie,53
e6113,2011/10/18,news,45
e6123,2011/10/19,news,47
e6131,2011/10/20,a documentary,11
e6138,2011/10/21,news,24
e6146,2011/10/22,news,23
e6155,2011/10/23,news,47
e6164,2011/10/24,a documentary,20
e6172,2011/10/25,a tv series,20
e6181,2011/10/26,a movie,16
e6189,2011/10/27,news,10
e6199,2011/10/28,news,29
e6208,2011/10/29,a documentary,21
e6218,2011/10/30,a movie,5
e6228,2011/10/31,news,20
e6238,2011/11/01,a movie,35
e6247,2011/11/02,a tv series,31
e6255,2011/11/03,a documentary,44
e6265,2011/11/04,a documentary,5
e6274,2011/11/05,a movie,24
e6282,2011/11/06,a tv series,15
e6290,2011/11/07,a movie,33
e6297,2011/11/08,news,8
e6306,2011/11/09,a movie,49
e6315,2011/11/10,news,8
e6324,2011/11/11,a tv series,5
e6334,2011/11/12,a documentary,27
e6344,2011/11/13,a documentary,6
e6351,2011/11/14,a movie,30
e6360,2011/11/15,a movie,8
e6368,2011/11/16,news,12
e6377,2011/11/17,a movie,11
e6385,2011/11/18,a movie,19
e6393,2011/11/19,a tv series,18
e6402,2011/11/20,news,10
e6411,2011/11/21,a tv series,46
e6419,2011/11/22,news,52
e6428,2011/11/23,news,47
e6437,2011/11/24,news,19
e6447,2011/11/25,news,51
e6455,2011/11/26,a movie,21
e6463,2011/11/27,a movie,14
e6473,2011/11/28,a documentary,29
e6483,2011/11/29,a movie,16
e6493,2011/11/30,a documentary,47
e6501,2011/12/01,news,27
e6510,2011/12/02,news,36
e6519,2011/12/03,a movie,50
e6527,2011/12/04,news,30
e6536,2011/12/05,a movie,37
e6546,2011/12/06,news,25
e6554,2011/12/07,a documentary,30
e6563,2011/12/08,a documentary,30
e6572,2011/12/09,a tv series,5
e6580,2011/12/10,a movie,46
e6589,2011/12/11,a documentary,51
e6597,2011/12/12,a documentary,21
e6605,2011/12/13,a tv series,49
e6615,2011/12/14,a movie,35
e6624,2011/12/15,a tv series,40
e6633,2011/12/16,a documentary,8
e6642,2011/12/17,a tv series,47
e6650,2011/12/18,a documentary,19
e6659,2011/12/19,a movie,50
e6668,2011/12/20,a movie,54
e6676,2011/12/21,news,46
e6685,2011/12/22,a movie,43
e6693,2011/12/23,a documentary,17
e6701,2011/12/24,a documentary,40
e6709,2011/12/25,a tv series,47
e6718,2011/12/26,a documentary,41
e6727,2011/12/27,a documentary,49
e6735,2011/12/28,a documentary,46
e6744,2011/12/29,a tv series,46
e6753,2011/12/30,a tv series,18
e6762,2011/12/31,a documentary,28
e6966,2012/01/01,a documentary,44
e6976,2012/01/02,news,19
e6986,2012/01/03,a documentary,39
e6994,2012/01/04,a tv series,31
e7003,2012/01/05,a tv series,27
e7012,2012/01/06,news,21
e7022,2012/01/07,a tv series,35
e7032,2012/01/08,news,8
e7041,2012/01/09,news,45
e7050,2012/01/10,a movie,24
e7058,2012/01/11,a movie,8
e7066,2012/01/12,a documentary,15
e7075,2012/01/13,news,22
e7083,2012/01/14,a documentary,52
e7091,2012/01/15,news,52
e7100,2012/01/16,a documentary,47
e7109,2012/01/17,a movie,34
e7118,2012/01/18,news,20
e7127,2012/01/19,news,54
e7135,2012/01/20,news,35
e7145,2012/01/21,a tv series,40
e7154,2012/01/22,a tv series,22
e7164,2012/01/23,news,28
e7173,2012/01/24,a documentary,51
e7179,2012/01/25,a tv series,51
e7188,2012/01/26,news,42
e7195,2012/01/27,a movie,11
e7204,2012/01/28,a documentary,34
e7213,2012/01/29,a documentary,15
e7222,2012/01/30,a tv series,32
e7230,2012/01/31,a documentary,49
e7238,2012/02/01,a tv series,10
e7247,2012/02/02,a documentary,7
e7256,2012/02/03,news,18
e7266,2012/02/04,news,5
e7275,2012/02/05,a documentary,31
e7282,2012/02/06,news,46
e7290,2012/02/07,a documentary,5
e7299,2012/02/08,a tv series,43
e7308,2012/02/09,a documentary,48
e7318,2012/02/10,a movie,15
e7328,2012/02/11,news,11
e7337,2012/02/12,news,38
e7347,2012/02/13,a documentary,19
e7356,2012/02/14,news,33
e7364,2012/02/15,a tv series,30
e7373,2012/02/16,a tv series,14
e7382,2012/02/17,a documentary,32
e7390,2012/02/18,a documentary,28
e7398,2012/02/19,a movie,6
e7407,2012/02/20,a movie,46
e7415,2012/02/21,a tv series,52
e7423,2012/02/22,a movie,47
e7431,2012/02/23,a movie,6
e7440,2012/02/24,a movie,39
e7449,2012/02/25,news,18
e7458,2012/02/26,a documentary,12
e7468,2012/02/27,news,43
e7476,2012/02/28,a tv series,17
e7484,2012/02/29,a documentary,22
e7493,2012/03/01,a movie,18
e7503,2012/03/02,news,5
e7512,2012/03/03,a documentary,35
e7521,2012/03/04,a movie,52
e7530,2012/03/05,news,21
e7539,2012/03/06,a movie,48
e7548,2012/03/07,news,7
e7557,2012/03/08,a tv series,48
e7565,2012/03/09,a movie,12
e7573,2012/03/10,a documentary,36
e7580,2012/03/11,a tv series,46
e7588,2012/03/12,a tv series,18
e7597,2012/03/13,a documentary,16
e7605,2012/03/14,a documentary,23
e7613,2012/03/15,a movie,18
e7622,2012/03/16,news,51
e7630,2012/03/17,a movie,28
e7639,2012/03/18,a documentary,23
e7647,2012/03/19,a tv series,25
e7655,2012/03/20,a tv series,27
e7665,2012/03/21,a tv series,52
e7674,2012/03/22,a documentary,48
e7684,2012/03/23,a tv series,35
e7694,2012/03/24,a tv series,19
e7703,2012/03/25,a movie,40
e7713,2012/03/26,a tv series,47
e7722,2012/03/27,a tv series,49
e7731,2012/03/28,a tv series,50
e7741,2012/03/29,news,31
e7750,2012/03/30,a documentary,7
e7758,2012/03/31,news,55
e7767,2012/04/01,news,44
e7776,2012/04/02,news,55
e7784,2012/04/03,news,53
e7793,2012/04/04,news,19
e7800,2012/04/05,news,5
e7808,2012/04/06,a tv series,31
e7817,2012/04/07,a documentary,12
e7825,2012/04/08,a movie,31
