eid,date,fruits,drinks,toiletries,people_string
e78,2010/05/15,"apricots, pears, apples, mandarins",soda,toothpaste,"Eva, Claire, Hazel"
e79,2010/05/18,"apples, strawberries, peaches, pineapples","milk, sports drinks","body lotion, toothbrush, paper towel, shaving cream",Nevaeh
e82,2010/05/25,"raspberries, apples","orange juice, coffee, apple juice","toothpaste, shaving cream, facial wash",
e85,2010/05/30,blackberries,"mineral water, mango juice, milk, tea","shaving cream, toothpaste, toilet paper, facial wash",
e88,2010/06/06,"mandarins, peaches","tea, apple juice","toothpaste, mouthwash, body lotion, toilet paper",
e89,2010/06/07,"bananas, pineapples, mandarins",guava juice,facial wash,
e92,2010/06/17,"oranges, pears, mandarins, watermelons",sports drinks,"mouth wash, conditioner",
e96,2010/06/18,"watermelons, strawberries, pineapples","mineral water, soda, sports drinks",mouth wash,"Avery, Lydia, Hazel"
e97,2010/06/23,"nectarines, watermelons, mandarins","orange juice, milk, chocolate milk","toilet paper, toothpaste, conditioner, shampoo",
e100,2010/06/27,"apples, blackberries, strawberries, pears","apple juice, sports drinks, orange juice, milk",toilet paper,
e101,2010/06/28,"oranges, cherres, watermelons","apple juice, guava juice, chocolate milk","mouth wash, facial wash, toothpaste, shampoo","Andrew, Carter, Emily, Kayden"
e105,2010/07/08,"watermelons, peaches","mineral water, milk, soda",conditioner,
e108,2010/07/09,"strawberries, watermelons","mineral water, chocolate milk, orange juice, milk","body lotion, toilet paper, shampoo, conditioner","Kayden, Andrew, Emily"
e109,2010/07/12,"nectarines, peaches",chocolate milk,"facial wash, mouth wash, shaving cream",
e113,2010/07/20,"strawberries, pears, apples","apple juice, chocolate milk, guava juice, mineral water","body lotion, conditioner, shampoo","Willow, Jackson, Avery, Benjamin"
e117,2010/07/23,"strawberries, pears, watermelons","pineapple juice, mango juice, chocolate milk",body lotion,"Andrew, Kayden"
e118,2010/07/27,"blueberries, raspberries, oranges, mandarins","chocolate milk, guava juice, mineral water, milk","mouth wash, toothbrush, shampoo","Carter, Andrew, Emily"
e121,2010/07/30,"blueberries, cherres, mangos","guava juice, soda","facial wash, toothpaste, toilet paper","Kayden, Carter"
e122,2010/08/05,"strawberries, raspberries","orange juice, mango juice, coffee",shampoo,
e126,2010/08/09,"cherres, oranges, pears","orange juice, pineapple juice, milk","paper towel, mouthwash, mouth wash, facial wash",
e129,2010/08/17,"strawberries, clementines, mandarins, peaches","orange juice, pineapple juice","toothpaste, toothbrush, mouthwash","Avery, Benjamin, Jackson, Willow"
e133,2010/08/20,"blackberries, mangos, nectarines, guava","chocolate milk, sports drinks, pineapple juice","body lotion, conditioner, toilet paper","Emily, Carter, Kayden, Andrew"
e134,2010/08/25,"oranges, apricots",chocolate milk,"conditioner, body lotion",
e136,2010/08/27,guava,"guava juice, chocolate milk","toilet paper, mouth wash, conditioner, shampoo",
e137,2010/09/01,"nectarines, clementines","guava juice, tea, mango juice",conditioner,
e140,2010/09/07,"pears, oranges","mineral water, chocolate milk","toilet paper, facial wash, paper towel",
e144,2010/09/11,oranges,mineral water,"toothpaste, toilet paper",
e145,2010/09/15,peaches,guava juice,"shaving cream, toilet paper","Piper, Olivia, Nora"
e148,2010/09/19,"guava, apples, blueberries","guava juice, pineapple juice, orange juice, chocolate milk",mouth wash,Hazel
e149,2010/09/21,apricots,"tea, sports drinks, chocolate milk","shaving cream, toothbrush, toilet paper",Willow
e152,2010/09/25,"mandarins, pears",mango juice,"facial wash, toothpaste, toothbrush, toilet paper",
e153,2010/09/28,"raspberries, guava, bananas, watermelons","tea, chocolate milk, mineral water, apple juice","facial wash, mouthwash, toilet paper","Carter, Kayden, Andrew"
e157,2010/10/03,"apples, apricots","chocolate milk, milk, tea, sports drinks","conditioner, body lotion","Claire, Piper, Nevaeh, Olivia, Rylee, Nora, Lydia, Kinsley, Layla, Hazel, Eva, Avery"
e158,2010/10/07,"cherres, blueberries","mango juice, milk, mineral water","toothbrush, paper towel",
e160,2010/10/09,peaches,milk,"toilet paper, mouth wash, shaving cream","Kayden, Emily, Andrew"
e161,2010/10/13,"pineapples, raspberries","sports drinks, guava juice, coffee","facial wash, conditioner","Piper, Claire, Piper, Nora, Olivia, Nevaeh, Lydia, Avery, Eva"
e164,2010/10/15,"apricots, nectarines, strawberries","coffee, sports drinks, apple juice, mango juice","facial wash, toothpaste, shampoo",
e165,2010/10/20,pineapples,"sports drinks, pineapple juice","toothbrush, toilet paper, facial wash","Olivia, Nevaeh, Rylee, Layla, Claire, Piper, Piper"
e168,2010/10/24,pineapples,"orange juice, guava juice",toothpaste,"Kayden, Carter, Andrew"
e169,2010/10/25,apricots,"chocolate milk, apple juice, mineral water, tea","shaving cream, shampoo, mouthwash",
e173,2010/10/31,"bananas, guava, mandarins, mangos","sports drinks, milk",facial wash,
e174,2010/11/04,"oranges, apples, strawberries","milk, soda","conditioner, shampoo",Hazel
e176,2010/11/05,"oranges, watermelons","guava juice, coffee, milk",shampoo,
e177,2010/11/11,"guava, mangos, oranges","tea, mineral water","shaving cream, paper towel, conditioner",Avery
e180,2010/11/17,"blackberries, bananas, pears, oranges","soda, orange juice, mango juice, tea","paper towel, conditioner, toothbrush",
e183,2010/11/22,"pears, oranges, clementines, bananas",chocolate milk,"mouth wash, toothbrush, facial wash",
e186,2010/11/30,"strawberries, guava",soda,paper towel,"Eva, Piper, Hazel, Olivia, Claire, Lydia, Nevaeh"
e189,2010/12/05,"raspberries, clementines, oranges, guava","milk, apple juice, soda, tea","paper towel, toothbrush, mouth wash, mouthwash",
e190,2010/12/06,"pineapples, apricots","coffee, orange juice, chocolate milk, tea","toothpaste, mouth wash","Avery, Willow, Jackson, Benjamin"
e193,2010/12/14,"blackberries, oranges, nectarines, apples","coffee, apple juice, sports drinks, mineral water","toilet paper, toothpaste","Andrew, Carter, Emily"
e196,2010/12/23,"apples, oranges","guava juice, orange juice, mango juice",mouth wash,
e200,2010/12/26,"strawberries, apricots, oranges",guava juice,toilet paper,Andrew
e201,2010/12/27,"apricots, pears, pineapples",pineapple juice,"mouthwash, mouth wash, toothbrush","Emily, Carter, Kayden"
e3401,2011/01/01,guava,"sports drinks, pineapple juice, chocolate milk, milk","toilet paper, body lotion, shaving cream, mouthwash",
e3402,2011/01/06,"guava, nectarines",chocolate milk,"paper towel, toothbrush","Carter, Emily"
e3405,2011/01/10,"raspberries, cherres, apricots","orange juice, pineapple juice, sports drinks, tea","paper towel, facial wash","Emily, Andrew"
e3406,2011/01/13,"pineapples, raspberries, guava","milk, apple juice",toothpaste,
e3409,2011/01/18,mangos,orange juice,"mouthwash, shaving cream",
e3413,2011/01/23,guava,"coffee, apple juice, orange juice, chocolate milk","mouth wash, shaving cream, facial wash, toothpaste","Andrew, Kayden, Emily, Carter"
e3415,2011/01/29,"apricots, blueberries, cherres, mandarins","chocolate milk, mango juice, guava juice, milk","facial wash, toilet paper, shaving cream, toothpaste","Jackson, Benjamin, Avery"
e3416,2011/02/04,"raspberries, mangos, pears, nectarines",pineapple juice,"shampoo, toilet paper",
e3420,2011/02/06,raspberries,pineapple juice,"mouth wash, facial wash",Carter
e3421,2011/02/10,clementines,"chocolate milk, coffee, soda","toothbrush, toothpaste",
e3424,2011/02/14,pineapples,"tea, soda","toothbrush, body lotion, shaving cream, shampoo","Andrew, Emily, Kayden"
e3425,2011/02/16,watermelons,mango juice,"conditioner, mouth wash",
e3427,2011/02/20,"pears, apples, raspberries, strawberries",coffee,"conditioner, facial wash",
e3428,2011/02/25,"pineapples, clementines",guava juice,"mouthwash, conditioner, toothpaste",
e3429,2011/02/26,"apples, pineapples, raspberries, apricots","mineral water, coffee, guava juice","mouth wash, body lotion, paper towel, shaving cream","Carter, Kayden, Andrew"
e3430,2011/03/01,"oranges, blackberries, bananas, strawberries","orange juice, pineapple juice","mouthwash, conditioner, mouth wash","Kayden, Emily, Andrew, Carter"
e3433,2011/03/05,"strawberries, cherres, apples",soda,"body lotion, paper towel","Andrew, Kayden, Carter"
e3434,2011/03/08,"strawberries, nectarines, clementines, raspberries",pineapple juice,"toothpaste, paper towel, toothbrush, mouth wash","Emily, Carter, Kayden, Andrew"
e3438,2011/03/14,"pineapples, nectarines, peaches, mangos","coffee, milk","mouth wash, mouthwash","Willow, Jackson, Avery, Benjamin"
e3439,2011/03/15,"cherres, apples, apricots, nectarines","mango juice, mineral water, soda, milk","facial wash, conditioner",
e3441,2011/03/21,"strawberries, watermelons, clementines, blueberries","coffee, milk, guava juice",facial wash,"Kayden, Andrew, Carter, Emily"
e3442,2011/03/23,"blueberries, mangos, pears","coffee, orange juice","body lotion, facial wash, mouthwash, shaving cream",Kayden
e3446,2011/03/30,"watermelons, pears, peaches, strawberries","milk, mineral water","body lotion, mouthwash, facial wash, shampoo",Emily
e3448,2011/04/03,"raspberries, cherres",guava juice,"body lotion, mouth wash, shaving cream, paper towel","Claire, Hazel, Olivia, Layla, Piper, Nevaeh"
e3449,2011/04/06,apricots,"chocolate milk, coffee, mineral water","mouth wash, toilet paper, facial wash","Kinsley, Avery"
e3452,2011/04/09,apricots,"guava juice, apple juice, sports drinks, coffee","shaving cream, toothbrush, paper towel","Nora, Rylee, Kinsley, Layla, Olivia, Lydia, Avery, Claire, Piper"
e3453,2011/04/12,"cherres, clementines, peaches, nectarines","soda, guava juice","shampoo, paper towel, toilet paper","Andrew, Kayden"
e3456,2011/04/22,"watermelons, apples, bananas","soda, mineral water",body lotion,"Carter, Kayden, Andrew"
e3459,2011/04/24,"bananas, watermelons, peaches","pineapple juice, tea, milk, apple juice","mouthwash, mouth wash","Kayden, Carter, Emily, Andrew"
e3460,2011/04/27,"blackberries, guava","sports drinks, mineral water, tea, apple juice","shaving cream, body lotion, paper towel","Olivia, Nevaeh, Piper, Claire, Hazel, Piper, Rylee, Nora, Eva, Layla, Avery"
e3464,2011/04/30,"apples, nectarines, guava","coffee, guava juice, orange juice","body lotion, facial wash",
e3465,2011/05/04,blackberries,soda,shampoo,
e3468,2011/05/09,blackberries,mineral water,"toothbrush, shampoo, toothpaste, facial wash",
e3469,2011/05/13,pears,"sports drinks, mineral water, mango juice","paper towel, shampoo, conditioner",
e3473,2011/05/21,clementines,sports drinks,"toothpaste, toothbrush",
e3474,2011/05/24,"clementines, pears, nectarines","milk, coffee, soda, pineapple juice",shampoo,"Avery, Benjamin"
e3476,2011/05/28,"peaches, oranges, watermelons","mineral water, milk","paper towel, mouthwash, mouth wash","Kayden, Emily, Andrew"
e3477,2011/06/01,oranges,"coffee, soda, tea","toothpaste, mouthwash","Layla, Kinsley, Eva, Nevaeh, Hazel, Claire, Piper, Nora, Rylee, Olivia"
e3479,2011/06/06,"blueberries, blackberries, clementines","chocolate milk, guava juice, sports drinks, mango juice",paper towel,
e3480,2011/06/09,nectarines,"tea, milk, chocolate milk, sports drinks","mouthwash, mouth wash","Kayden, Andrew, Carter"
e3484,2011/06/11,"bananas, pineapples, blackberries, blueberries",mango juice,facial wash,
e3485,2011/06/15,"bananas, apricots, pineapples, mangos",tea,toilet paper,"Andrew, Emily, Carter"
e3488,2011/06/20,"clementines, mangos, cherres","mineral water, guava juice","shaving cream, mouth wash",
e3489,2011/06/24,bananas,"mango juice, orange juice, apple juice, milk","body lotion, shaving cream, facial wash",
e3494,2011/06/25,"clementines, strawberries, pears",orange juice,toothbrush,
e3495,2011/06/30,"blueberries, apples, blackberries","chocolate milk, guava juice","paper towel, facial wash",
e3498,2011/07/04,"nectarines, blackberries, apples","milk, coffee, soda","paper towel, body lotion, conditioner","Kayden, Andrew, Carter, Emily"
e3499,2011/07/07,"watermelons, pears","sports drinks, orange juice, soda, mineral water","conditioner, toothbrush, facial wash",
e3501,2011/07/11,"pears, cherres","pineapple juice, chocolate milk, tea","body lotion, toothbrush",
e3502,2011/07/14,"oranges, pears","soda, chocolate milk, coffee, pineapple juice",shampoo,"Nevaeh, Piper, Rylee, Kinsley, Hazel, Eva, Layla"
e3503,2011/07/22,"blackberries, guava, pineapples","pineapple juice, apple juice, mango juice, tea","mouthwash, shampoo",
e3506,2011/07/25,watermelons,chocolate milk,"toothbrush, mouth wash","Andrew, Kayden"
e3507,2011/07/27,apples,"sports drinks, tea","conditioner, paper towel, shampoo, shaving cream","Jackson, Avery, Willow, Benjamin"
e3508,2011/07/30,"clementines, strawberries",soda,"body lotion, mouth wash",
e3509,2011/08/03,"pineapples, blackberries",soda,"mouthwash, toilet paper, mouth wash, shampoo","Avery, Jackson"
e3510,2011/08/09,"peaches, cherres","mango juice, tea","toothpaste, shampoo","Kayden, Carter"
e3513,2011/08/19,"mangos, oranges, apples, peaches","apple juice, coffee, mineral water","mouthwash, toothpaste, conditioner, body lotion","Andrew, Emily, Kayden, Carter"
e3517,2011/08/26,pears,"sports drinks, coffee, mango juice, orange juice","toilet paper, mouthwash, shampoo, facial wash",
e3519,2011/08/31,apricots,"apple juice, guava juice, pineapple juice, milk","shampoo, toothbrush, facial wash",
e3521,2011/09/08,"guava, apricots","soda, pineapple juice","body lotion, facial wash",
e3524,2011/09/11,"peaches, blackberries","chocolate milk, soda, coffee, orange juice","toilet paper, mouth wash, toothbrush, paper towel","Emily, Andrew, Kayden, Carter"
e3525,2011/09/15,peaches,"milk, sports drinks",toothpaste,"Kayden, Emily, Andrew, Carter"
e3530,2011/09/19,"clementines, oranges",soda,"shampoo, facial wash, body lotion","Kayden, Carter, Andrew, Emily"
e3531,2011/09/22,"blackberries, blueberries, strawberries","mineral water, milk","shampoo, mouthwash","Hazel, Layla, Piper, Olivia, Eva, Avery, Nora"
e3534,2011/09/26,"blueberries, strawberries, pears, apricots",soda,"mouth wash, conditioner, toothbrush",
e3535,2011/09/30,"blueberries, apples","sports drinks, soda","toothbrush, facial wash, toilet paper, body lotion","Kinsley, Avery, Nora"
e3539,2011/10/02,"watermelons, guava, bananas, oranges","tea, milk, orange juice, guava juice","conditioner, mouthwash, toothbrush",
e3540,2011/10/05,"blackberries, nectarines","guava juice, tea, chocolate milk","mouth wash, toothpaste",
e3541,2011/10/13,"raspberries, cherres, clementines, bananas","apple juice, mineral water",facial wash,"Carter, Andrew, Kayden"
e3544,2011/10/16,"blackberries, clementines",mineral water,"mouthwash, facial wash, shaving cream","Carter, Andrew, Kayden"
e3545,2011/10/18,"pears, guava","coffee, apple juice","paper towel, toothpaste, toothbrush, facial wash","Kayden, Emily, Andrew"
e3549,2011/10/28,"strawberries, peaches, pears, pineapples","tea, pineapple juice, soda","toothbrush, facial wash, mouthwash",
e3550,2011/10/31,"mangos, guava, pineapples","apple juice, tea, coffee","toilet paper, mouthwash, shampoo, shaving cream",
e3551,2011/11/04,"strawberries, cherres, blueberries","tea, soda","toothpaste, body lotion, shampoo","Willow, Avery"
e3554,2011/11/05,"mangos, clementines, blackberries",orange juice,"shampoo, toothpaste, conditioner",
e3555,2011/11/08,"oranges, blackberries","milk, apple juice","facial wash, shampoo, shaving cream","Andrew, Emily"
e3556,2011/11/18,"cherres, pineapples, guava","sports drinks, soda","shampoo, body lotion, mouth wash","Jackson, Avery, Benjamin, Willow"
e3559,2011/11/20,peaches,"chocolate milk, mango juice, sports drinks, pineapple juice",toothpaste,"Jackson, Avery"
e3560,2011/11/23,"cherres, raspberries, oranges","pineapple juice, milk, orange juice, mineral water",toothpaste,
e3562,2011/11/28,"pears, blackberries, blueberries, watermelons","soda, guava juice","mouthwash, shampoo, paper towel","Piper, Eva, Piper, Claire"
e3563,2011/11/29,"cherres, apples, guava","guava juice, tea","facial wash, paper towel, toilet paper",
e3567,2011/12/03,strawberries,apple juice,"conditioner, shampoo",
e3568,2011/12/09,peaches,"apple juice, milk, soda","conditioner, facial wash, body lotion, mouth wash",Kayden
e3572,2011/12/11,"mandarins, blackberries","soda, apple juice","toothbrush, paper towel, mouth wash, conditioner",
e3573,2011/12/13,"blueberries, guava",guava juice,"body lotion, mouth wash, paper towel, shaving cream","Rylee, Lydia, Avery, Nevaeh"
e3576,2011/12/17,watermelons,tea,"toilet paper, conditioner, body lotion","Nora, Claire, Eva, Piper, Nevaeh, Layla, Rylee, Kinsley, Olivia, Piper"
e3579,2011/12/29,"raspberries, peaches","milk, chocolate milk, sports drinks, apple juice","shaving cream, conditioner, mouthwash",Andrew
e3580,2011/12/31,"blueberries, blackberries, guava, oranges","milk, mango juice","toothpaste, shaving cream",
e6779,2012/01/03,"mangos, watermelons, apples, peaches","sports drinks, mango juice, soda",facial wash,
e6780,2012/01/07,"strawberries, oranges",mineral water,facial wash,
e6783,2012/01/13,"clementines, nectarines, pears",pineapple juice,facial wash,Andrew
e6785,2012/01/16,"bananas, blueberries, mandarins","sports drinks, apple juice, coffee","facial wash, mouthwash, conditioner",Andrew
e6786,2012/01/19,"blueberries, bananas, pears","tea, apple juice",paper towel,"Piper, Rylee, Hazel, Layla, Piper, Olivia, Avery, Nevaeh"
e6788,2012/01/26,"guava, cherres, bananas",mineral water,"conditioner, toothbrush, facial wash",
e6790,2012/01/29,"bananas, watermelons, apricots, strawberries","pineapple juice, mineral water, mango juice","shampoo, mouthwash, toothbrush, toilet paper",
e6791,2012/02/02,peaches,"mineral water, milk, pineapple juice","facial wash, conditioner",
e6793,2012/02/07,bananas,"sports drinks, tea","shaving cream, conditioner, facial wash",
e6794,2012/02/08,"strawberries, apricots",mineral water,"toothpaste, toothbrush, shampoo, shaving cream","Carter, Emily, Andrew"
e6799,2012/02/17,"pears, mandarins",mineral water,conditioner,
e6802,2012/02/22,"blueberries, clementines","pineapple juice, apple juice","shaving cream, mouth wash",Kayden
e6805,2012/02/28,watermelons,"pineapple juice, guava juice, mango juice","toothpaste, toilet paper, toothbrush, facial wash",
e6806,2012/03/02,"nectarines, cherres, clementines, mandarins","apple juice, pineapple juice, mango juice","conditioner, paper towel",
e6808,2012/03/04,"apricots, raspberries, guava, oranges",guava juice,mouthwash,
e6812,2012/03/14,"cherres, oranges, mangos",tea,"conditioner, toothpaste",
e6814,2012/03/18,"pears, strawberries, apples, nectarines","orange juice, mineral water, soda","shampoo, facial wash, shaving cream, paper towel","Carter, Emily"
e6815,2012/03/21,"mangos, raspberries, oranges",chocolate milk,"shampoo, shaving cream","Benjamin, Jackson, Willow"
e6818,2012/03/25,mandarins,"chocolate milk, sports drinks, coffee","toothbrush, shampoo, body lotion, conditioner",
e6819,2012/03/31,"mandarins, oranges, blueberries","soda, mango juice","shampoo, mouth wash, body lotion",
e6822,2012/04/05,"watermelons, raspberries, peaches, nectarines","soda, milk, chocolate milk, tea",facial wash,"Kayden, Andrew, Carter, Emily"
e6824,2012/04/10,apricots,"tea, guava juice, pineapple juice, orange juice","shaving cream, body lotion",
e6825,2012/04/13,watermelons,"chocolate milk, soda, sports drinks","conditioner, shampoo",
e6828,2012/04/17,peaches,"apple juice, mango juice","shampoo, paper towel, toothbrush, shaving cream",
e6829,2012/04/19,mangos,soda,mouthwash,
e6832,2012/04/22,"blackberries, watermelons, pears","tea, milk, mango juice","shaving cream, mouthwash",
e6833,2012/04/25,"apples, bananas, strawberries","tea, pineapple juice, mango juice","mouth wash, toilet paper, body lotion","Olivia, Lydia, Kinsley, Avery, Eva, Nevaeh"
e6836,2012/04/30,"strawberries, clementines, bananas, blackberries","orange juice, mineral water, coffee, tea","toilet paper, shampoo, conditioner","Piper, Layla, Nevaeh, Rylee, Avery"
e6837,2012/05/02,pears,"tea, sports drinks, pineapple juice",shampoo,
e6839,2012/05/10,"pineapples, clementines, guava","mango juice, mineral water, orange juice, coffee","facial wash, toothbrush, paper towel",
e6842,2012/05/15,"mandarins, guava",mineral water,"body lotion, toothpaste, conditioner","Kayden, Andrew, Emily"
e6843,2012/05/18,clementines,"soda, chocolate milk, apple juice",body lotion,"Carter, Kayden, Emily"
e6845,2012/05/22,"blackberries, apricots",apple juice,toothbrush,"Willow, Jackson, Benjamin, Avery"
e6846,2012/05/25,"apricots, pears","soda, sports drinks, guava juice, orange juice","shaving cream, conditioner, mouth wash",
e6848,2012/05/27,peaches,"milk, coffee, apple juice","conditioner, shaving cream, facial wash",Emily
e6849,2012/05/30,"blueberries, cherres","milk, soda, mango juice","shaving cream, toilet paper","Avery, Layla, Eva, Hazel, Piper"
e6852,2012/06/05,"guava, mangos, nectarines","apple juice, coffee, mango juice","toilet paper, shaving cream, mouthwash, conditioner","Hazel, Layla, Eva, Piper, Rylee"
e6856,2012/06/15,"bananas, apples","apple juice, milk, tea","conditioner, mouthwash","Kinsley, Piper, Nora, Piper, Layla, Lydia, Nevaeh"
e6859,2012/06/17,clementines,apple juice,"toilet paper, shampoo, facial wash","Avery, Benjamin, Willow"
e6860,2012/06/20,"clementines, bananas","mango juice, tea, chocolate milk, coffee","toothbrush, facial wash, conditioner, shampoo",Jackson
e6862,2012/06/25,pears,"soda, mineral water, tea","paper towel, toothbrush","Kayden, Emily, Carter, Andrew"
e6863,2012/06/28,"bananas, guava, blackberries","sports drinks, orange juice","shampoo, mouth wash, toothpaste, paper towel","Benjamin, Avery, Jackson, Willow"
e6867,2012/07/06,"strawberries, pineapples","mineral water, orange juice, coffee","facial wash, shampoo, toilet paper","Nevaeh, Lydia"
e6870,2012/07/14,"nectarines, pineapples, bananas",milk,toilet paper,"Willow, Benjamin, Avery, Jackson"
e6875,2012/07/24,"strawberries, guava, mandarins",soda,"shampoo, toilet paper","Piper, Piper, Rylee, Hazel, Avery, Nevaeh, Claire, Nora, Olivia, Kinsley, Lydia"
e6876,2012/07/25,nectarines,tea,toilet paper,
e6879,2012/07/30,peaches,"sports drinks, chocolate milk","facial wash, mouthwash, shampoo, paper towel",
e6880,2012/08/01,"mangos, raspberries",soda,"paper towel, mouth wash",
e6884,2012/08/05,"pears, apricots","orange juice, mineral water, chocolate milk, milk","shaving cream, mouthwash, shampoo","Carter, Andrew, Kayden"
e6885,2012/08/10,guava,"mango juice, soda","shampoo, toilet paper, conditioner","Kayden, Emily"
e6889,2012/08/12,blackberries,"orange juice, sports drinks, tea",mouth wash,Benjamin
e6892,2012/08/21,oranges,"mango juice, chocolate milk, orange juice","paper towel, shaving cream, facial wash",
e6893,2012/08/22,mangos,soda,"shaving cream, mouth wash, toilet paper","Kinsley, Olivia, Eva, Claire, Hazel, Piper, Nora, Rylee, Avery, Nevaeh, Piper, Layla"
e6896,2012/09/01,"nectarines, watermelons, raspberries, peaches","tea, soda, milk, orange juice","shampoo, mouthwash, mouth wash","Lydia, Eva, Rylee, Claire, Piper, Piper, Avery, Nora, Olivia, Nevaeh, Layla"
e6900,2012/09/02,"clementines, raspberries, blackberries","orange juice, mineral water","paper towel, body lotion, shaving cream","Carter, Kayden, Andrew"
e6901,2012/09/05,"bananas, apricots, mangos",chocolate milk,mouthwash,"Benjamin, Willow, Avery, Jackson"
e6903,2012/09/10,"watermelons, pineapples, blackberries","milk, orange juice",toothpaste,
e6904,2012/09/15,"blackberries, nectarines, bananas","apple juice, soda, sports drinks","paper towel, mouthwash","Kayden, Carter"
e6908,2012/09/18,"oranges, bananas, cherres, clementines","mineral water, tea, sports drinks, guava juice","mouthwash, shampoo","Piper, Layla, Lydia"
e6909,2012/09/20,"peaches, watermelons, guava","coffee, apple juice","toothbrush, toilet paper, shaving cream","Emily, Andrew, Kayden, Carter"
e6913,2012/09/23,"bananas, mandarins","chocolate milk, mineral water","mouth wash, conditioner, shampoo","Lydia, Rylee, Nevaeh, Piper, Avery, Eva, Kinsley, Claire"
e6914,2012/09/27,"apples, cherres, mangos, mandarins","soda, chocolate milk, mango juice","mouthwash, mouth wash, shaving cream",Carter
e6918,2012/10/05,"peaches, mangos","mango juice, milk, guava juice, mineral water","mouth wash, toothpaste",
e6921,2012/10/09,"pears, watermelons","soda, tea, apple juice, guava juice",mouthwash,"Claire, Avery, Nora, Piper, Nevaeh, Hazel, Piper, Eva, Olivia, Rylee"
e6922,2012/10/11,"blueberries, strawberries, mangos","chocolate milk, sports drinks, guava juice, apple juice","toothbrush, shaving cream, shampoo",
e6924,2012/10/16,"peaches, mandarins, pears, bananas",orange juice,"paper towel, conditioner, toothpaste",
e6925,2012/10/19,"pears, mangos, clementines, blueberries","coffee, guava juice","shaving cream, toothpaste",Kayden
e6928,2012/10/22,bananas,"chocolate milk, pineapple juice","shampoo, toothpaste, toilet paper, mouth wash",
e6929,2012/10/27,"apricots, nectarines, strawberries","sports drinks, orange juice, pineapple juice, mango juice","shampoo, toothbrush, mouth wash, body lotion",
e6931,2012/10/29,"blueberries, cherres, watermelons, guava","soda, tea",body lotion,"Kayden, Carter"
e6932,2012/11/03,apples,milk,"shampoo, shaving cream, toilet paper, body lotion",
