eid,date,watchtype,howlong
e1776,2012/11/06,news,30
e1784,2012/11/11,a tv series,9
e1788,2012/11/13,news,19
e1791,2012/11/14,a tv series,17
e1795,2012/11/16,a documentary,40
e1805,2012/11/24,a tv series,34
e1807,2012/11/26,a movie,41
e1811,2012/11/28,a tv series,44
e1818,2012/12/01,a movie,41
e1823,2012/12/08,a movie,17
e1825,2012/12/09,a documentary,53
e1827,2012/12/10,a tv series,17
e1831,2012/12/12,a documentary,40
e1842,2012/12/16,a documentary,15
e1846,2012/12/18,a movie,29
e1850,2012/12/21,a tv series,32
e1856,2012/12/27,a tv series,27
e1858,2012/12/28,a documentary,39
e1861,2012/12/29,news,34
e1864,2012/12/30,a tv series,44
e1958,2013/01/05,a tv series,51
e1959,2013/01/06,a tv series,8
e1964,2013/01/09,a documentary,20
e1966,2013/01/10,a documentary,26
e1973,2013/01/12,news,36
e1996,2013/01/30,a documentary,53
e1998,2013/01/31,a tv series,6
e2005,2013/02/06,news,36
e2013,2013/02/17,a documentary,12
e2019,2013/02/22,a documentary,54
e2022,2013/02/25,a tv series,43
e2025,2013/02/26,news,42
e2030,2013/03/01,a tv series,21
e2031,2013/03/02,news,52
e2042,2013/03/10,a movie,31
e2046,2013/03/13,news,49
e2072,2013/03/25,a movie,13
e2080,2013/03/29,news,46
e2103,2013/04/12,news,20
e2118,2013/04/20,news,24
e2121,2013/04/21,a documentary,49
e2122,2013/04/22,news,46
e2138,2013/05/05,news,37
e2144,2013/05/08,a tv series,21
e2154,2013/05/12,news,43
e2165,2013/05/22,news,24
e2171,2013/05/26,a tv series,26
e2179,2013/06/01,a movie,27
e2180,2013/06/02,a tv series,16
e2187,2013/06/06,a tv series,12
e2195,2013/06/09,a movie,35
e2201,2013/06/11,news,20
e2205,2013/06/13,a movie,18
e2218,2013/06/17,a tv series,32
e2222,2013/06/19,news,33
e2227,2013/06/23,news,25
e2249,2013/07/03,a tv series,32
e2254,2013/07/07,a tv series,46
e2256,2013/07/10,a documentary,22
e2258,2013/07/13,news,27
e2262,2013/07/15,a tv series,24
e2264,2013/07/17,a movie,14
e2276,2013/07/29,news,15
e2297,2013/08/08,a movie,19
e2301,2013/08/11,news,41
e2303,2013/08/13,a tv series,26
e2312,2013/08/19,a documentary,19
e2329,2013/08/30,news,29
e2348,2013/09/14,news,8
e2351,2013/09/15,news,45
e2365,2013/09/24,news,23
e2373,2013/09/27,news,53
e2379,2013/09/30,a movie,33
e2382,2013/10/01,a tv series,47
e2390,2013/10/06,a movie,26
e2401,2013/10/15,a tv series,34
e2404,2013/10/16,a movie,43
e2408,2013/10/17,a movie,37
e2409,2013/10/18,a movie,15
e2412,2013/10/20,a tv series,50
e2416,2013/10/23,a tv series,22
e2419,2013/10/25,a tv series,31
e2423,2013/10/27,news,54
e2427,2013/10/30,news,16
e2428,2013/10/31,a movie,5
e2442,2013/11/14,a documentary,54
e2453,2013/11/22,a tv series,54
e2456,2013/11/24,a movie,23
e2457,2013/11/25,a documentary,49
e2461,2013/11/27,a tv series,39
e2464,2013/11/28,a tv series,23
e2468,2013/12/01,a tv series,10
e2480,2013/12/10,a movie,8
e2482,2013/12/11,a tv series,7
e2484,2013/12/12,a documentary,46
e2494,2013/12/21,news,39
e2496,2013/12/22,a movie,6
e2607,2014/01/07,news,10
e2641,2014/02/03,a documentary,10
e2649,2014/02/08,a documentary,18
e2653,2014/02/10,news,30
e2657,2014/02/14,news,44
e2661,2014/02/16,a documentary,37
e2676,2014/02/28,a movie,36
e2683,2014/03/06,news,17
e2689,2014/03/11,news,42
e2697,2014/03/15,a documentary,15
e2711,2014/03/21,news,16
e2716,2014/03/24,a tv series,37
e2722,2014/03/27,news,39
e2726,2014/03/28,a tv series,44
e2730,2014/03/30,news,28
e2733,2014/03/31,a movie,24
e2737,2014/04/02,a documentary,36
e2747,2014/04/07,news,30
e2749,2014/04/08,news,8
e2756,2014/04/12,news,44
e2758,2014/04/13,a movie,19
e2762,2014/04/16,a tv series,51
e2772,2014/04/20,news,14
e2781,2014/04/25,a tv series,15
e2792,2014/05/03,a documentary,50
e2795,2014/05/05,a documentary,49
e2797,2014/05/07,a documentary,24
e2804,2014/05/10,news,49
e2807,2014/05/11,a movie,14
e2814,2014/05/16,a documentary,33
e2822,2014/05/22,a tv series,37
e2836,2014/05/29,news,6
e2839,2014/05/31,a documentary,37
e2843,2014/06/01,a tv series,31
e2846,2014/06/02,a documentary,26
e2847,2014/06/03,a movie,26
e2852,2014/06/07,a tv series,50
e2860,2014/06/12,a tv series,22
e2864,2014/06/16,a movie,24
e2878,2014/06/27,a documentary,40
e2889,2014/07/04,a tv series,17
e2894,2014/07/09,a movie,14
e2895,2014/07/11,a movie,18
e2901,2014/07/15,a movie,46
e2903,2014/07/17,a documentary,25
e2927,2014/08/06,a documentary,13
e2941,2014/08/16,a documentary,33
e2942,2014/08/17,news,50
e2951,2014/08/22,a movie,52
e2953,2014/08/23,a tv series,24
e2955,2014/08/25,a movie,30
e2960,2014/08/27,a movie,20
e2970,2014/09/01,news,48
e2973,2014/09/03,a tv series,45
e2988,2014/09/13,a tv series,45
e2990,2014/09/14,a documentary,7
e2994,2014/09/15,a documentary,5
e2997,2014/09/17,a movie,55
e2999,2014/09/19,news,5
e3002,2014/09/20,a documentary,48
e3007,2014/09/23,a tv series,21
e3010,2014/09/25,a movie,48
e3013,2014/09/27,a documentary,52
e3016,2014/09/30,a movie,28
e3022,2014/10/05,a tv series,40
e3040,2014/10/24,a documentary,13
e3066,2014/11/08,news,31
e3069,2014/11/11,a documentary,50
e3073,2014/11/14,a tv series,42
e3079,2014/11/16,news,31
e3081,2014/11/17,news,13
e3085,2014/11/20,a movie,8
e3089,2014/11/23,a tv series,43
e3102,2014/11/29,a tv series,48
e3103,2014/11/30,news,55
e3107,2014/12/05,news,37
e3111,2014/12/07,a documentary,9
e3144,2014/12/25,a movie,42
e3239,2015/01/03,a movie,45
e3255,2015/01/13,a tv series,22
e3264,2015/01/21,a documentary,49
e3274,2015/01/29,a movie,20
e3283,2015/02/02,a documentary,38
e3287,2015/02/03,a documentary,52
e3296,2015/02/08,a movie,5
e3307,2015/02/14,a documentary,6
e3324,2015/02/28,a tv series,7
e3326,2015/03/01,a documentary,38
e3334,2015/03/07,a movie,8
e3338,2015/03/08,news,42
e3344,2015/03/12,a movie,11
e3347,2015/03/16,a tv series,41
e3352,2015/03/18,a tv series,50
e3357,2015/03/21,a tv series,16
e3366,2015/03/27,a tv series,33
e3368,2015/03/29,a movie,12
e3372,2015/03/31,news,21
e3402,2015/04/19,a documentary,46
e3408,2015/04/25,a documentary,40
e3412,2015/04/28,a tv series,29
e3428,2015/05/09,a tv series,17
e3429,2015/05/10,a tv series,39
e3440,2015/05/20,news,41
e3442,2015/05/22,a movie,41
e3445,2015/05/23,a tv series,28
e3454,2015/05/29,news,33
e3458,2015/06/01,news,8
e3464,2015/06/05,a tv series,28
e3473,2015/06/11,a movie,18
e3483,2015/06/19,a documentary,52
e3484,2015/06/21,news,18
e3489,2015/06/23,a movie,50
e3494,2015/06/27,news,43
e3500,2015/07/01,a documentary,27
e3509,2015/07/05,a movie,45
e3515,2015/07/10,a documentary,14
e3527,2015/07/17,news,33
e3529,2015/07/19,a tv series,30
e3533,2015/07/22,a documentary,33
e3539,2015/07/26,a movie,22
e3541,2015/07/27,a documentary,39
e3544,2015/07/29,news,22
e3550,2015/08/02,a tv series,55
e3563,2015/08/13,a documentary,8
e3569,2015/08/16,a documentary,20
e3582,2015/08/21,news,51
e3583,2015/08/22,news,46
e3585,2015/08/23,a movie,50
e3620,2015/09/19,news,29
e3628,2015/09/23,news,9
e3630,2015/09/24,news,11
e3633,2015/09/26,news,52
e3634,2015/09/28,news,36
e3637,2015/09/29,news,34
e3654,2015/10/13,a documentary,26
e3658,2015/10/15,a documentary,20
e3668,2015/10/19,a documentary,55
e3672,2015/10/23,news,53
e3675,2015/10/24,a tv series,24
e3679,2015/10/28,a movie,46
e3683,2015/10/31,a tv series,15
e3690,2015/11/03,news,49
e3707,2015/11/13,a documentary,48
e3740,2015/12/02,news,22
e3751,2015/12/06,a documentary,15
e3756,2015/12/08,news,8
e3774,2015/12/18,a movie,14
e3778,2015/12/20,news,51
e3785,2015/12/24,a tv series,32
e3796,2015/12/28,news,39
e3802,2015/12/30,a tv series,50
e3913,2016/01/06,news,42
e3923,2016/01/10,a documentary,14
e3925,2016/01/11,a documentary,40
e3928,2016/01/13,a documentary,7
e3933,2016/01/15,a tv series,5
e3937,2016/01/16,a tv series,48
e3938,2016/01/17,a movie,11
e3941,2016/01/19,a tv series,11
e3942,2016/01/20,a documentary,50
e3954,2016/01/29,a tv series,34
e3964,2016/02/02,news,25
e3968,2016/02/03,a tv series,54
e3973,2016/02/06,a movie,14
e3983,2016/02/17,a documentary,46
e3984,2016/02/18,news,29
e3999,2016/02/27,a documentary,6
e4002,2016/02/29,a tv series,27
e4005,2016/03/02,a documentary,36
e4010,2016/03/05,news,35
e4019,2016/03/09,news,34
e4025,2016/03/15,news,13
e4031,2016/03/18,a documentary,31
e4038,2016/03/22,a movie,13
e4042,2016/03/23,a movie,9
e4047,2016/03/27,a tv series,9
e4051,2016/03/29,a tv series,49
e4054,2016/03/30,a documentary,46
e4062,2016/04/04,a documentary,35
e4075,2016/04/14,news,19
e4078,2016/04/16,a tv series,32
e4085,2016/04/20,a documentary,14
e4094,2016/04/27,a tv series,12
e4101,2016/05/02,a tv series,13
e4105,2016/05/06,a movie,26
e4109,2016/05/09,news,49
e4112,2016/05/10,news,23
e4115,2016/05/13,a tv series,48
e4122,2016/05/18,a movie,28
e4124,2016/05/19,a tv series,55
e4136,2016/05/27,news,5
e4142,2016/06/02,news,31
e4156,2016/06/12,a movie,47
e4171,2016/06/26,a tv series,18
e4172,2016/06/27,a documentary,21
e4175,2016/06/30,a tv series,43
e4181,2016/07/04,a movie,14
e4182,2016/07/05,news,40
e4189,2016/07/11,a documentary,51
e4191,2016/07/12,a movie,7
e4209,2016/07/25,news,23
e4219,2016/07/29,news,30
e4225,2016/07/31,a documentary,36
e4231,2016/08/03,a movie,51
e4233,2016/08/04,a movie,21
e4236,2016/08/06,a tv series,21
e4253,2016/08/17,a documentary,54
e4255,2016/08/20,news,28
e4276,2016/09/08,a tv series,35
e4281,2016/09/10,a movie,11
e4282,2016/09/12,a movie,43
e4285,2016/09/14,a movie,43
e4289,2016/09/17,news,40
e4299,2016/09/21,a tv series,39
e4305,2016/09/24,a movie,33
e4312,2016/09/28,a movie,20
e4316,2016/09/30,news,31
e4341,2016/10/16,a documentary,16
e4343,2016/10/17,news,54
e4349,2016/10/23,news,55
e4352,2016/10/24,a movie,43
e4378,2016/11/12,a tv series,26
e4394,2016/11/24,a documentary,22
e4396,2016/11/25,a tv series,34
e4399,2016/11/26,news,29
e4408,2016/12/02,a movie,32
e4412,2016/12/05,a tv series,13
e4417,2016/12/10,news,51
e4428,2016/12/15,news,46
e4434,2016/12/20,a documentary,16
e4437,2016/12/21,a movie,36
e4540,2017/01/04,a tv series,40
e4544,2017/01/06,a tv series,30
e4549,2017/01/09,a documentary,7
e4566,2017/01/18,a movie,11
e4582,2017/01/29,a documentary,40
e4587,2017/02/02,a movie,17
e4590,2017/02/03,a tv series,50
e4592,2017/02/04,a documentary,19
e4594,2017/02/06,a movie,41
e4599,2017/02/08,a tv series,55
e4608,2017/02/14,a documentary,19
e4610,2017/02/15,a movie,25
e4612,2017/02/16,a movie,9
e4618,2017/02/22,a tv series,10
e4627,2017/02/28,news,52
e4634,2017/03/03,a tv series,29
e4648,2017/03/15,a tv series,11
e4654,2017/03/20,a movie,50
e4670,2017/03/30,a movie,19
e4674,2017/04/02,news,39
e4676,2017/04/03,a tv series,33
e4678,2017/04/04,news,44
e4683,2017/04/08,a movie,5
e4687,2017/04/12,news,33
e4693,2017/04/18,news,49
e4708,2017/04/26,news,23
e4711,2017/04/28,a documentary,52
e4731,2017/05/09,a tv series,36
e4738,2017/05/15,a movie,11
e4747,2017/05/22,a documentary,21
e4749,2017/05/24,news,14
e4752,2017/05/28,a documentary,15
e4758,2017/05/31,a movie,32
e4764,2017/06/02,a tv series,19
e4767,2017/06/03,a documentary,23
e4775,2017/06/10,a movie,19
e4791,2017/06/20,a documentary,21
e4795,2017/06/25,news,5
e4808,2017/07/05,news,53
e4815,2017/07/07,a tv series,17
e4818,2017/07/10,news,32
e4822,2017/07/15,a tv series,32
e4826,2017/07/16,news,24
e4847,2017/08/02,news,10
e4855,2017/08/09,a movie,21
e4859,2017/08/11,a tv series,46
e4867,2017/08/17,a tv series,54
e4879,2017/08/24,a movie,48
e4882,2017/08/25,a movie,53
e4898,2017/09/04,a tv series,33
e4899,2017/09/05,a movie,14
e4905,2017/09/09,a movie,13
e4909,2017/09/11,a tv series,8
e4911,2017/09/14,a movie,37
e4925,2017/09/22,a documentary,54
e4928,2017/09/25,news,47
e4939,2017/10/05,a documentary,44
e4941,2017/10/06,a movie,42
e4948,2017/10/13,a tv series,7
e4965,2017/10/24,a tv series,17
e4974,2017/10/29,a movie,43
e4978,2017/10/31,a movie,19
e4991,2017/11/06,a movie,18
e5002,2017/11/12,news,46
e5006,2017/11/13,news,20
e5012,2017/11/15,news,41
e5022,2017/11/20,a documentary,21
e5030,2017/11/23,a tv series,47
e5045,2017/12/04,a movie,24
e5047,2017/12/05,a documentary,44
e5060,2017/12/12,news,14
e5063,2017/12/14,a tv series,54
e5066,2017/12/17,a tv series,20
e5069,2017/12/18,a movie,16
e5071,2017/12/19,news,23
e5077,2017/12/23,a documentary,42
e5088,2017/12/28,a movie,20
e5092,2017/12/29,a tv series,22
e5206,2018/01/07,a tv series,46
e5213,2018/01/11,a tv series,7
e5216,2018/01/14,a tv series,35
e5220,2018/01/16,a tv series,55
e5221,2018/01/17,a movie,33
e5238,2018/01/30,news,49
e5244,2018/02/01,a tv series,25
e5255,2018/02/07,a tv series,22
e5261,2018/02/12,news,9
e5268,2018/02/19,a movie,48
e5272,2018/02/23,a tv series,20
e5277,2018/02/25,a movie,5
e5286,2018/03/03,a documentary,50
e5287,2018/03/04,news,8
e5291,2018/03/07,news,45
e5303,2018/03/16,news,28
e5311,2018/03/20,a movie,7
e5331,2018/04/07,a movie,47
e5333,2018/04/08,a documentary,41
e5336,2018/04/10,a tv series,42
e5340,2018/04/12,news,11
e5352,2018/04/18,a movie,52
e5357,2018/04/21,a movie,14
e5365,2018/04/27,a movie,41
e5369,2018/04/29,a documentary,35
e5371,2018/04/30,a movie,55
e5399,2018/05/17,a tv series,49
e5416,2018/05/28,news,25
e5418,2018/05/30,a movie,25
e5420,2018/05/31,a movie,6
e5439,2018/06/15,a movie,10
e5440,2018/06/16,a movie,33
e5442,2018/06/17,a documentary,34
e5451,2018/06/25,a movie,18
e5453,2018/06/26,a tv series,54
e5454,2018/06/27,a tv series,50
e5465,2018/07/06,a documentary,6
e5468,2018/07/07,news,18
e5470,2018/07/08,news,12
e5476,2018/07/12,a documentary,30
e5482,2018/07/16,a documentary,25
e5487,2018/07/20,news,11
e5511,2018/08/07,news,11
e5514,2018/08/11,a documentary,27
e5517,2018/08/12,a documentary,13
e5519,2018/08/13,a documentary,46
e5522,2018/08/16,a movie,19
e5525,2018/08/18,news,34
e5531,2018/08/25,a tv series,5
e5540,2018/09/01,a movie,24
e5544,2018/09/03,a documentary,35
e5557,2018/09/13,a tv series,43
e5560,2018/09/14,a documentary,39
e5571,2018/09/24,a movie,47
e5573,2018/09/25,news,40
e5584,2018/10/01,news,30
e5587,2018/10/02,a tv series,26
e5602,2018/10/13,a tv series,48
e5621,2018/10/26,news,19
e5631,2018/11/05,a movie,40
e5647,2018/11/14,news,22
e5665,2018/11/24,a movie,14
e5679,2018/12/03,news,13
e5687,2018/12/07,news,50
e5697,2018/12/14,a tv series,22
e5701,2018/12/15,news,54
e5706,2018/12/18,a tv series,34
e5709,2018/12/20,a documentary,55
e5717,2018/12/26,news,39
e5722,2018/12/28,a movie,37
e5820,2019/01/01,a movie,46
e5826,2019/01/06,a documentary,33
e5827,2019/01/07,a tv series,52
e5839,2019/01/13,a documentary,40
e5845,2019/01/16,news,20
e5854,2019/01/20,a movie,45
e5859,2019/01/22,a tv series,39
e5863,2019/01/24,a tv series,47
e5868,2019/01/28,news,33
e5869,2019/01/29,a documentary,16
e5873,2019/01/31,news,42
e5877,2019/02/02,a movie,11
e5881,2019/02/04,a movie,41
e5883,2019/02/05,news,26
e5891,2019/02/10,news,51
e5893,2019/02/12,news,18
e5902,2019/02/15,a movie,52
e5916,2019/02/25,a documentary,49
e5933,2019/03/05,a tv series,33
e5934,2019/03/06,news,8
e5937,2019/03/09,news,27
e5954,2019/03/23,a movie,34
e5970,2019/04/02,a tv series,28
e5980,2019/04/09,a movie,18
e5985,2019/04/13,news,20
e5989,2019/04/17,a documentary,27
e5993,2019/04/19,a movie,29
e5997,2019/04/21,a documentary,40
e6002,2019/04/23,a documentary,46
e6005,2019/04/25,news,12
e6012,2019/04/27,a documentary,37
e6015,2019/04/29,a documentary,25
e6023,2019/05/04,a tv series,21
e6035,2019/05/11,a movie,53
e6038,2019/05/13,a tv series,27
e6041,2019/05/15,a tv series,16
e6042,2019/05/17,a tv series,32
e6058,2019/05/27,a movie,8
e6063,2019/05/31,a documentary,45
e6078,2019/06/10,a documentary,12
e6089,2019/06/15,a movie,6
e6092,2019/06/16,news,46
e6100,2019/06/23,a tv series,36
e6111,2019/07/02,news,22
e6124,2019/07/12,a tv series,49
e6125,2019/07/13,news,15
e6129,2019/07/15,news,52
e6132,2019/07/17,news,22
e6151,2019/07/25,news,41
e6155,2019/07/27,a tv series,52
e6170,2019/08/04,a tv series,5
e6180,2019/08/14,a movie,29
e6183,2019/08/16,a tv series,31
e6185,2019/08/17,news,40
e6210,2019/09/04,a movie,49
e6213,2019/09/05,a movie,43
e6218,2019/09/08,news,5
e6220,2019/09/09,news,22
e6223,2019/09/10,news,29
e6231,2019/09/15,a documentary,44
e6234,2019/09/16,a documentary,54
e6238,2019/09/19,news,26
e6239,2019/09/20,news,7
e6249,2019/09/29,a movie,54
e6253,2019/10/01,a documentary,16
e6273,2019/10/13,news,17
e6278,2019/10/15,news,37
e6287,2019/10/19,a tv series,24
e6293,2019/10/21,a movie,41
e6294,2019/10/23,a movie,49
e6303,2019/10/31,a tv series,22
e6311,2019/11/05,a documentary,12
e6325,2019/11/12,a tv series,38
e6327,2019/11/13,a movie,37
e6336,2019/11/19,a tv series,16
e6343,2019/11/22,a documentary,36
e6347,2019/11/23,news,15
e6352,2019/11/25,a movie,12
e6355,2019/11/27,a movie,38
e6360,2019/11/30,news,7
e6365,2019/12/03,news,15
e6371,2019/12/09,a movie,10
e6375,2019/12/12,a movie,46
e6380,2019/12/13,a documentary,49
e6387,2019/12/18,news,23
e6389,2019/12/19,a movie,28
e6393,2019/12/21,a tv series,24
e6397,2019/12/23,a documentary,23
e6399,2019/12/25,a documentary,34
e6401,2019/12/26,a documentary,42
e6501,2020/01/02,a movie,53
e6507,2020/01/05,a movie,51
e6508,2020/01/06,a documentary,38
e6509,2020/01/07,a movie,18
e6514,2020/01/15,a documentary,22
e6518,2020/01/17,a tv series,18
e6532,2020/01/26,news,14
e6536,2020/01/29,a movie,29
e6540,2020/01/30,a tv series,28
e6545,2020/02/03,news,7
e6551,2020/02/10,news,53
e6558,2020/02/16,a tv series,43
e6562,2020/02/17,a movie,50
e6566,2020/02/18,a tv series,22
e6568,2020/02/19,a movie,15
e6583,2020/02/27,a documentary,49
e6589,2020/03/01,a movie,15
e6598,2020/03/08,a movie,47
e6601,2020/03/12,a movie,28
e6607,2020/03/17,news,44
e6612,2020/03/21,news,18
e6618,2020/03/26,a tv series,6
e6626,2020/03/30,a documentary,30
e6630,2020/04/02,a tv series,28
e6638,2020/04/06,a tv series,6
e6650,2020/04/13,a documentary,50
e6653,2020/04/18,news,24
e6670,2020/04/26,a movie,39
e6680,2020/05/03,a tv series,55
e6682,2020/05/05,a tv series,46
e6696,2020/05/15,a documentary,29
e6700,2020/05/17,news,27
e6723,2020/05/31,news,18
e6744,2020/06/11,news,20
e6756,2020/06/18,news,16
e6764,2020/06/24,news,51
e6772,2020/06/29,a documentary,33
e6775,2020/06/30,news,31
e6778,2020/07/01,news,27
e6780,2020/07/02,a tv series,21
e6794,2020/07/12,news,12
e6810,2020/07/28,news,5
e6829,2020/08/08,a movie,11
e6835,2020/08/16,a documentary,51
e6857,2020/09/01,news,39
e6875,2020/09/12,a movie,29
e6886,2020/09/18,news,15
e6890,2020/09/20,a movie,48
e6895,2020/09/24,a tv series,22
e6897,2020/09/25,a tv series,24
e6905,2020/10/02,a tv series,21
e6909,2020/10/06,a movie,16
e6920,2020/10/12,a tv series,39
e6922,2020/10/13,a documentary,44
e6925,2020/10/17,a movie,51
e6937,2020/10/23,a documentary,27
e6938,2020/10/24,news,29
e6962,2020/11/04,a movie,15
e6969,2020/11/08,news,17
e6972,2020/11/10,a documentary,26
e6989,2020/11/21,a documentary,9
e7022,2020/12/15,a documentary,36
e7025,2020/12/16,news,10
e7036,2020/12/25,a documentary,16
e7149,2021/01/07,a movie,34
e7156,2021/01/10,a documentary,11
e7187,2021/01/31,a movie,38
