eid,date,readtype,howlong
e1493,2010/12/25,news,30
e1506,2010/12/29,news,53
e1513,2011/01/01,a book,44
e1658,2011/01/03,a book,43
e1663,2011/01/04,news,54
e1672,2011/01/06,news,25
e1678,2011/01/07,a book,33
e1688,2011/01/09,a book,8
e1691,2011/01/10,news,8
e1695,2011/01/12,a book,38
e1701,2011/01/13,news,12
e1705,2011/01/14,a book,29
e1707,2011/01/15,news,24
e1711,2011/01/16,news,9
e1723,2011/01/19,news,6
e1733,2011/01/23,news,54
e1741,2011/01/25,news,29
e1746,2011/01/26,a book,8
e1755,2011/01/28,a book,49
e1768,2011/01/31,news,51
e1772,2011/02/01,a book,42
e1777,2011/02/02,social media,18
e1788,2011/02/06,social media,11
e1797,2011/02/08,social media,47
e1801,2011/02/09,social media,22
e1830,2011/02/17,a book,16
e1843,2011/02/21,social media,43
e1854,2011/02/26,a book,23
e1858,2011/02/27,social media,25
e1865,2011/03/01,social media,47
e1873,2011/03/03,news,23
e1887,2011/03/06,a book,15
e1890,2011/03/07,social media,51
e1894,2011/03/08,social media,33
e1898,2011/03/09,a book,39
e1906,2011/03/11,a book,26
e1911,2011/03/12,news,32
e1917,2011/03/13,social media,50
e1922,2011/03/14,news,18
e1941,2011/03/18,news,21
e1947,2011/03/19,news,10
e1952,2011/03/20,social media,6
e1955,2011/03/21,a book,19
e1974,2011/03/25,social media,44
e1990,2011/03/29,a book,20
e2000,2011/04/01,a book,50
e2003,2011/04/02,social media,45
e2014,2011/04/04,social media,6
e2023,2011/04/08,social media,20
e2026,2011/04/09,a book,43
e2030,2011/04/11,social media,16
e2037,2011/04/13,social media,9
e2045,2011/04/15,news,31
e2052,2011/04/17,social media,27
e2054,2011/04/18,news,15
e2059,2011/04/19,news,16
e2064,2011/04/20,news,39
e2073,2011/04/22,social media,37
e2078,2011/04/23,a book,17
e2081,2011/04/24,a book,46
e2086,2011/04/25,a book,34
e2097,2011/04/27,news,47
e2101,2011/04/28,a book,35
e2122,2011/05/02,a book,31
e2128,2011/05/03,social media,17
e2131,2011/05/04,news,54
e2146,2011/05/08,news,27
e2153,2011/05/10,news,15
e2158,2011/05/12,news,47
e2163,2011/05/13,a book,14
e2166,2011/05/14,a book,23
e2179,2011/05/17,a book,20
e2184,2011/05/19,social media,30
e2188,2011/05/21,a book,55
e2202,2011/05/25,a book,55
e2208,2011/05/26,news,50
e2212,2011/05/27,social media,11
e2218,2011/05/28,news,5
e2227,2011/05/31,news,52
e2231,2011/06/01,a book,17
e2241,2011/06/03,a book,29
e2246,2011/06/04,news,41
e2252,2011/06/06,social media,55
e2260,2011/06/08,social media,6
e2264,2011/06/09,news,9
e2270,2011/06/11,a book,5
e2274,2011/06/12,a book,46
e2281,2011/06/14,news,7
e2290,2011/06/16,news,18
e2296,2011/06/17,news,55
e2301,2011/06/18,news,32
e2304,2011/06/19,news,11
e2313,2011/06/21,news,27
e2319,2011/06/22,social media,55
e2325,2011/06/24,a book,16
e2335,2011/06/27,a book,11
e2338,2011/06/28,social media,38
e2341,2011/06/29,news,8
e2347,2011/06/30,news,49
e2357,2011/07/02,news,15
e2362,2011/07/04,social media,33
e2368,2011/07/05,social media,48
e2377,2011/07/08,news,45
e2381,2011/07/09,a book,39
e2385,2011/07/10,news,10
e2396,2011/07/13,news,10
e2401,2011/07/15,news,25
e2409,2011/07/17,social media,16
e2413,2011/07/18,news,5
e2417,2011/07/19,a book,13
e2426,2011/07/21,news,42
e2431,2011/07/22,social media,38
e2437,2011/07/23,social media,33
e2442,2011/07/24,a book,26
e2455,2011/07/27,social media,22
e2460,2011/07/28,a book,22
e2465,2011/07/29,social media,22
e2470,2011/07/30,social media,37
e2477,2011/08/01,news,10
e2480,2011/08/02,a book,26
e2485,2011/08/03,social media,6
e2493,2011/08/05,a book,47
e2508,2011/08/09,news,27
e2517,2011/08/11,news,45
e2551,2011/08/21,a book,17
e2554,2011/08/22,a book,20
e2561,2011/08/24,a book,24
e2575,2011/08/28,news,20
e2579,2011/08/29,social media,39
e2585,2011/08/30,news,30
e2590,2011/08/31,a book,50
e2593,2011/09/01,a book,26
e2596,2011/09/02,a book,46
e2601,2011/09/03,social media,44
e2609,2011/09/05,social media,25
e2617,2011/09/08,news,50
e2623,2011/09/09,a book,42
e2629,2011/09/10,news,49
e2646,2011/09/14,news,35
e2650,2011/09/15,a book,10
e2653,2011/09/16,a book,25
e2667,2011/09/20,news,40
e2670,2011/09/21,social media,29
e2683,2011/09/24,social media,33
e2688,2011/09/25,social media,49
e2709,2011/10/01,a book,47
e2715,2011/10/02,a book,11
e2730,2011/10/06,a book,48
e2736,2011/10/07,news,45
e2744,2011/10/09,a book,12
e2748,2011/10/10,news,24
e2751,2011/10/11,social media,42
e2756,2011/10/13,news,46
e2768,2011/10/16,news,20
e2770,2011/10/17,social media,11
e2775,2011/10/18,news,12
e2789,2011/10/23,a book,21
e2796,2011/10/26,social media,5
e2802,2011/10/27,news,52
e2811,2011/10/29,a book,20
e2820,2011/10/31,social media,39
e2825,2011/11/01,news,6
e2834,2011/11/03,a book,9
e2853,2011/11/08,a book,49
e2866,2011/11/11,a book,16
e2879,2011/11/14,a book,26
e2888,2011/11/17,a book,28
e2904,2011/11/23,a book,35
e2907,2011/11/24,news,12
e2920,2011/11/28,social media,52
e2923,2011/11/29,news,38
e2927,2011/11/30,news,10
e2936,2011/12/02,a book,32
e2944,2011/12/04,a book,10
e2952,2011/12/07,social media,32
e2955,2011/12/08,social media,20
e2964,2011/12/10,a book,6
e2974,2011/12/13,news,17
e2981,2011/12/15,a book,7
e2986,2011/12/16,social media,45
e2992,2011/12/17,social media,49
e2997,2011/12/18,social media,21
e3010,2011/12/21,a book,35
e3020,2011/12/24,a book,19
e3027,2011/12/25,a book,54
e3037,2011/12/29,news,34
e3041,2011/12/30,social media,21
e3189,2012/01/05,a book,17
e3199,2012/01/07,a book,45
e3200,2012/01/08,social media,24
e3204,2012/01/09,social media,18
e3213,2012/01/11,social media,35
e3227,2012/01/15,social media,8
e3233,2012/01/17,news,46
e3239,2012/01/19,social media,5
e3242,2012/01/20,news,41
e3247,2012/01/21,social media,34
e3253,2012/01/23,news,21
e3261,2012/01/25,news,8
e3265,2012/01/26,news,13
e3267,2012/01/27,news,48
e3270,2012/01/28,news,7
e3275,2012/01/30,news,9
e3296,2012/02/03,news,31
e3301,2012/02/04,social media,49
e3304,2012/02/05,news,21
e3308,2012/02/06,social media,7
e3317,2012/02/08,social media,52
e3342,2012/02/15,news,42
e3350,2012/02/17,news,28
e3354,2012/02/18,social media,38
e3359,2012/02/19,news,9
e3364,2012/02/20,news,46
e3385,2012/02/25,a book,41
e3409,2012/03/02,news,14
e3414,2012/03/03,news,10
e3421,2012/03/05,news,52
e3426,2012/03/06,a book,46
e3438,2012/03/09,social media,6
e3449,2012/03/12,news,52
e3454,2012/03/13,news,48
e3463,2012/03/15,news,11
e3467,2012/03/16,a book,5
e3476,2012/03/18,news,34
e3482,2012/03/20,news,5
e3492,2012/03/24,social media,19
e3497,2012/03/25,social media,19
e3501,2012/03/26,social media,47
e3503,2012/03/27,news,18
e3509,2012/03/28,a book,15
e3517,2012/03/30,news,27
e3545,2012/04/08,news,42
e3553,2012/04/10,news,22
e3561,2012/04/12,a book,39
e3577,2012/04/16,a book,37
e3589,2012/04/19,news,50
e3607,2012/04/24,a book,49
e3612,2012/04/25,social media,49
e3616,2012/04/26,news,47
e3620,2012/04/27,a book,34
e3627,2012/04/29,social media,37
e3630,2012/04/30,news,36
e3640,2012/05/03,news,37
e3643,2012/05/04,a book,15
e3646,2012/05/05,news,47
e3651,2012/05/06,social media,34
e3655,2012/05/07,news,40
e3658,2012/05/08,social media,37
e3661,2012/05/09,social media,51
e3665,2012/05/10,news,39
e3667,2012/05/11,news,13
e3672,2012/05/12,social media,38
e3677,2012/05/13,a book,17
e3688,2012/05/16,social media,31
e3698,2012/05/19,social media,24
e3702,2012/05/20,social media,33
e3711,2012/05/22,a book,41
e3718,2012/05/23,news,20
e3722,2012/05/24,social media,38
e3726,2012/05/25,social media,37
e3739,2012/05/29,social media,28
e3755,2012/06/01,a book,43
e3772,2012/06/06,social media,51
e3777,2012/06/08,social media,37
e3783,2012/06/10,news,19
e3800,2012/06/16,social media,39
e3805,2012/06/18,social media,35
e3808,2012/06/19,news,40
e3813,2012/06/20,a book,39
e3815,2012/06/21,social media,40
e3823,2012/06/23,social media,13
e3828,2012/06/24,news,26
e3834,2012/06/25,news,30
e3844,2012/06/27,social media,41
e3854,2012/06/29,a book,19
e3856,2012/06/30,social media,40
e3860,2012/07/01,news,45
e3883,2012/07/06,social media,41
e3887,2012/07/07,a book,34
e3897,2012/07/10,social media,22
e3901,2012/07/11,news,17
e3906,2012/07/12,news,17
e3910,2012/07/13,a book,34
e3919,2012/07/15,a book,34
e3924,2012/07/16,a book,41
e3928,2012/07/17,news,31
e3932,2012/07/18,news,39
e3951,2012/07/22,news,43
e3959,2012/07/25,social media,32
e3960,2012/07/26,a book,36
e3966,2012/07/28,news,25
e3977,2012/07/31,a book,26
e3981,2012/08/01,social media,33
e3985,2012/08/02,social media,20
e3988,2012/08/03,social media,35
e3998,2012/08/05,social media,12
e4010,2012/08/09,a book,14
e4023,2012/08/12,social media,28
e4027,2012/08/14,a book,14
e4032,2012/08/15,a book,9
e4036,2012/08/16,social media,43
e4044,2012/08/18,a book,33
e4049,2012/08/19,a book,32
e4054,2012/08/20,a book,15
e4079,2012/08/26,social media,43
e4094,2012/08/31,social media,15
e4101,2012/09/01,social media,15
e4106,2012/09/02,news,26
e4111,2012/09/03,news,10
e4122,2012/09/06,social media,51
e4143,2012/09/13,a book,24
e4148,2012/09/14,news,32
e4161,2012/09/17,a book,20
e4168,2012/09/19,social media,33
e4186,2012/09/23,news,6
e4190,2012/09/24,social media,50
e4199,2012/09/26,social media,21
e4201,2012/09/27,news,10
e4208,2012/09/28,social media,6
e4214,2012/09/29,news,48
e4219,2012/09/30,a book,28
e4221,2012/10/01,social media,21
e4225,2012/10/03,news,18
e4228,2012/10/04,a book,31
e4231,2012/10/05,news,51
e4236,2012/10/06,social media,49
e4241,2012/10/07,a book,29
e4255,2012/10/10,a book,9
e4266,2012/10/13,news,21
e4275,2012/10/15,social media,50
e4293,2012/10/19,a book,25
e4304,2012/10/22,social media,54
e4309,2012/10/23,news,32
e4315,2012/10/24,news,41
e4318,2012/10/25,news,31
e4320,2012/10/26,news,21
e4325,2012/10/27,a book,29
e4333,2012/10/29,social media,16
e4337,2012/10/30,social media,52
e4340,2012/10/31,social media,46
e4356,2012/11/04,news,19
e4361,2012/11/05,social media,44
e4367,2012/11/06,news,40
e4371,2012/11/07,a book,28
e4375,2012/11/08,news,20
e4380,2012/11/09,a book,13
e4392,2012/11/12,news,35
e4396,2012/11/13,social media,19
e4399,2012/11/14,a book,30
e4407,2012/11/17,social media,33
e4425,2012/11/21,news,39
e4429,2012/11/22,news,17
e4432,2012/11/23,news,45
e4439,2012/11/25,social media,41
e4449,2012/11/27,news,28
e4455,2012/11/28,a book,27
e4467,2012/12/02,news,12
e4478,2012/12/05,social media,9
e4492,2012/12/08,news,22
e4513,2012/12/13,a book,34
e4519,2012/12/14,social media,13
e4529,2012/12/17,social media,15
e4533,2012/12/18,news,41
e4537,2012/12/19,news,51
e4541,2012/12/20,a book,34
e4545,2012/12/21,news,11
e4554,2012/12/23,a book,19
e4571,2012/12/27,social media,44
e4574,2012/12/28,a book,14
e4710,2013/01/03,a book,55
e4728,2013/01/09,a book,41
e4734,2013/01/11,a book,32
e4739,2013/01/12,social media,54
e4744,2013/01/13,news,15
e4750,2013/01/14,a book,55
e4755,2013/01/16,a book,32
e4760,2013/01/17,social media,9
e4772,2013/01/21,a book,54
e4779,2013/01/23,social media,22
e4782,2013/01/24,news,32
e4795,2013/01/27,a book,19
e4801,2013/01/28,social media,9
e4813,2013/01/31,a book,39
e4820,2013/02/03,social media,5
e4821,2013/02/04,news,22
e4829,2013/02/07,a book,33
e4838,2013/02/09,a book,15
e4856,2013/02/14,social media,26
e4859,2013/02/15,a book,34
e4861,2013/02/16,news,49
e4867,2013/02/17,a book,30
e4875,2013/02/19,social media,55
e4881,2013/02/21,news,18
e4890,2013/02/23,a book,27
e4897,2013/02/25,news,34
e4904,2013/02/27,a book,40
e4914,2013/03/02,a book,20
e4918,2013/03/03,a book,22
e4922,2013/03/04,a book,45
e4927,2013/03/05,news,9
e4934,2013/03/07,social media,35
e4938,2013/03/09,news,18
e4944,2013/03/11,a book,43
e4960,2013/03/14,social media,47
e4964,2013/03/15,news,37
e4971,2013/03/17,a book,14
e4979,2013/03/19,social media,12
e4985,2013/03/20,social media,37
e5008,2013/03/26,social media,30
e5012,2013/03/27,news,16
e5018,2013/03/28,news,12
e5021,2013/03/29,a book,24
e5036,2013/04/01,social media,52
e5045,2013/04/04,a book,52
e5053,2013/04/08,a book,39
e5063,2013/04/11,social media,27
e5074,2013/04/14,social media,7
e5086,2013/04/17,a book,54
e5088,2013/04/18,news,41
e5092,2013/04/19,news,36
e5097,2013/04/20,news,27
e5102,2013/04/21,social media,18
e5106,2013/04/22,social media,47
e5118,2013/04/25,news,38
e5123,2013/04/26,news,49
e5130,2013/04/27,a book,14
e5137,2013/04/28,news,8
e5140,2013/04/29,news,50
e5146,2013/04/30,social media,28
e5150,2013/05/01,a book,26
e5155,2013/05/02,social media,37
e5159,2013/05/03,news,50
e5165,2013/05/04,a book,28
e5171,2013/05/05,a book,5
e5175,2013/05/06,news,8
e5177,2013/05/07,a book,39
e5186,2013/05/09,a book,19
e5198,2013/05/11,news,19
e5204,2013/05/12,news,21
e5207,2013/05/13,social media,38
e5215,2013/05/16,a book,5
e5227,2013/05/19,news,41
e5232,2013/05/21,news,8
e5238,2013/05/23,social media,40
e5241,2013/05/24,news,45
e5246,2013/05/25,a book,19
e5253,2013/05/27,news,8
e5257,2013/05/28,a book,10
e5266,2013/05/31,news,35
e5272,2013/06/01,news,50
e5286,2013/06/05,social media,29
e5292,2013/06/06,a book,8
e5296,2013/06/07,social media,55
e5303,2013/06/09,social media,44
e5306,2013/06/10,a book,13
e5309,2013/06/11,a book,24
e5317,2013/06/13,social media,55
e5323,2013/06/14,social media,55
e5327,2013/06/15,social media,48
e5330,2013/06/16,social media,33
e5336,2013/06/18,a book,13
e5348,2013/06/20,news,40
e5351,2013/06/21,social media,14
e5361,2013/06/25,a book,23
e5371,2013/06/28,social media,29
e5379,2013/06/30,news,33
e5387,2013/07/02,social media,18
e5397,2013/07/05,news,43
e5403,2013/07/06,social media,8
e5408,2013/07/07,news,41
e5414,2013/07/09,news,12
e5417,2013/07/10,news,47
e5432,2013/07/14,news,5
e5435,2013/07/15,a book,33
e5438,2013/07/16,a book,46
e5448,2013/07/18,news,48
e5451,2013/07/19,news,26
e5460,2013/07/22,a book,21
e5463,2013/07/23,news,44
e5470,2013/07/25,news,43
e5474,2013/07/26,social media,33
e5477,2013/07/27,social media,9
e5483,2013/07/28,news,9
e5494,2013/07/31,social media,54
e5497,2013/08/01,a book,48
e5501,2013/08/02,news,30
e5512,2013/08/05,social media,6
e5524,2013/08/08,a book,18
e5527,2013/08/09,social media,28
e5532,2013/08/10,news,17
e5542,2013/08/13,social media,9
e5546,2013/08/15,social media,47
e5554,2013/08/18,social media,55
e5561,2013/08/20,a book,28
e5573,2013/08/23,social media,21
e5578,2013/08/24,news,19
e5587,2013/08/26,news,39
e5591,2013/08/27,news,9
e5594,2013/08/28,social media,30
e5608,2013/09/01,a book,55
e5616,2013/09/03,social media,45
e5620,2013/09/04,a book,18
e5624,2013/09/05,social media,22
e5637,2013/09/08,news,46
e5643,2013/09/09,news,22
e5654,2013/09/13,a book,32
e5658,2013/09/14,social media,39
e5663,2013/09/16,a book,27
e5667,2013/09/17,a book,47
e5679,2013/09/20,a book,34
e5685,2013/09/21,news,37
e5691,2013/09/22,social media,35
e5696,2013/09/23,a book,24
e5710,2013/09/27,a book,30
e5729,2013/10/03,news,42
e5744,2013/10/08,social media,28
e5769,2013/10/19,social media,16
e5771,2013/10/20,a book,24
e5781,2013/10/23,news,35
e5786,2013/10/24,social media,36
e5800,2013/10/28,news,51
e5805,2013/10/29,news,33
e5812,2013/10/31,a book,54
e5828,2013/11/05,a book,37
e5834,2013/11/06,social media,45
e5845,2013/11/08,a book,42
e5852,2013/11/10,a book,46
e5860,2013/11/13,news,11
e5864,2013/11/14,a book,10
e5867,2013/11/15,a book,50
e5870,2013/11/16,news,8
e5874,2013/11/17,a book,25
e5890,2013/11/22,news,43
e5893,2013/11/23,news,25
e5897,2013/11/24,a book,22
e5912,2013/11/28,social media,19
e5921,2013/11/30,a book,40
e5927,2013/12/01,a book,29
e5953,2013/12/08,social media,10
e5961,2013/12/11,social media,17
e5969,2013/12/13,social media,35
e5983,2013/12/16,social media,52
e5987,2013/12/17,news,36
e5995,2013/12/19,a book,55
e6000,2013/12/20,social media,5
e6004,2013/12/21,news,13
e6008,2013/12/22,social media,44
e6014,2013/12/23,news,16
e6019,2013/12/24,news,52
e6023,2013/12/25,news,7
e6039,2013/12/30,social media,16
e6184,2014/01/02,news,33
e6186,2014/01/03,news,46
e6199,2014/01/07,a book,44
e6213,2014/01/11,news,35
e6228,2014/01/15,a book,43
e6239,2014/01/18,a book,15
e6242,2014/01/19,social media,55
e6246,2014/01/20,news,23
e6251,2014/01/21,a book,34
e6256,2014/01/22,news,6
e6275,2014/01/27,news,11
e6280,2014/01/29,news,20
e6287,2014/01/31,news,6
e6290,2014/02/01,a book,15
e6299,2014/02/03,news,22
e6305,2014/02/04,a book,46
e6310,2014/02/05,a book,36
e6327,2014/02/09,social media,30
e6335,2014/02/10,social media,23
e6346,2014/02/12,a book,17
e6353,2014/02/14,social media,35
e6361,2014/02/16,news,30
e6365,2014/02/17,a book,15
e6370,2014/02/18,social media,8
e6376,2014/02/19,a book,47
e6384,2014/02/21,social media,48
e6388,2014/02/22,a book,7
e6396,2014/02/24,social media,45
e6405,2014/02/26,a book,52
e6408,2014/02/27,a book,55
e6416,2014/03/01,news,49
e6438,2014/03/08,a book,51
e6451,2014/03/11,news,19
e6460,2014/03/13,social media,40
e6474,2014/03/17,social media,40
e6477,2014/03/18,a book,52
e6481,2014/03/19,a book,20
e6492,2014/03/22,news,21
e6505,2014/03/26,a book,53
e6512,2014/03/28,a book,41
e6516,2014/03/29,news,31
e6519,2014/03/30,a book,9
e6523,2014/03/31,social media,32
e6528,2014/04/01,news,33
e6533,2014/04/02,a book,15
e6538,2014/04/03,a book,39
e6546,2014/04/05,news,36
e6555,2014/04/07,social media,39
e6559,2014/04/08,news,25
e6561,2014/04/09,a book,45
e6566,2014/04/10,a book,49
e6576,2014/04/12,a book,49
e6581,2014/04/13,news,5
e6594,2014/04/16,social media,54
e6596,2014/04/17,news,24
e6611,2014/04/20,social media,41
e6619,2014/04/22,news,26
e6628,2014/04/24,a book,22
e6637,2014/04/26,social media,5
e6641,2014/04/27,a book,37
e6649,2014/04/29,a book,37
e6658,2014/05/01,news,6
e6660,2014/05/02,social media,5
e6665,2014/05/03,social media,32
e6668,2014/05/04,social media,40
e6671,2014/05/05,a book,11
e6677,2014/05/06,news,32
e6694,2014/05/10,news,43
e6699,2014/05/11,social media,19
e6704,2014/05/12,social media,37
e6710,2014/05/13,news,45
e6722,2014/05/16,social media,13
e6732,2014/05/18,news,26
e6742,2014/05/20,social media,18
e6746,2014/05/21,a book,14
e6751,2014/05/23,news,16
e6757,2014/05/25,news,32
e6762,2014/05/27,social media,8
e6766,2014/05/28,social media,54
e6780,2014/06/01,a book,35
e6794,2014/06/04,a book,8
e6799,2014/06/05,a book,55
e6803,2014/06/06,a book,22
e6815,2014/06/09,news,25
e6819,2014/06/10,a book,8
e6828,2014/06/13,news,54
e6832,2014/06/14,a book,25
e6838,2014/06/15,news,55
e6844,2014/06/16,news,41
e6859,2014/06/19,a book,32
e6877,2014/06/24,news,34
e6889,2014/06/29,social media,37
e6897,2014/07/01,a book,41
e6899,2014/07/02,social media,42
e6903,2014/07/03,a book,43
e6914,2014/07/06,a book,46
e6919,2014/07/07,social media,54
e6922,2014/07/08,social media,52
e6927,2014/07/09,a book,17
e6939,2014/07/12,news,15
e6952,2014/07/16,a book,19
e6958,2014/07/18,news,40
e6962,2014/07/19,news,45
e6975,2014/07/22,news,9
e6988,2014/07/26,news,40
e6993,2014/07/27,news,42
e7004,2014/07/30,news,7
e7015,2014/08/04,social media,23
e7021,2014/08/07,news,33
e7025,2014/08/08,news,23
e7030,2014/08/09,news,5
e7035,2014/08/10,news,14
e7041,2014/08/11,a book,36
e7045,2014/08/12,social media,5
e7056,2014/08/15,news,10
e7062,2014/08/16,news,26
e7070,2014/08/18,news,33
e7074,2014/08/19,a book,28
e7085,2014/08/22,social media,55
e7098,2014/08/25,news,52
e7103,2014/08/26,social media,27
e7107,2014/08/27,news,16
e7110,2014/08/28,news,42
e7120,2014/08/30,a book,47
e7125,2014/08/31,a book,30
e7130,2014/09/01,social media,9
e7145,2014/09/04,news,14
e7147,2014/09/05,a book,50
e7150,2014/09/06,social media,47
e7152,2014/09/08,social media,24
e7165,2014/09/11,a book,12
e7175,2014/09/14,social media,31
e7182,2014/09/15,a book,23
e7192,2014/09/17,social media,54
e7208,2014/09/21,news,37
e7214,2014/09/22,news,11
e7225,2014/09/25,a book,36
e7235,2014/09/28,a book,23
e7239,2014/09/29,news,9
e7242,2014/09/30,social media,7
e7255,2014/10/04,news,24
e7258,2014/10/05,social media,28
e7269,2014/10/08,a book,47
e7276,2014/10/10,a book,16
e7280,2014/10/12,social media,13
e7282,2014/10/13,news,18
e7286,2014/10/14,news,47
e7304,2014/10/18,a book,6
e7308,2014/10/19,social media,38
e7319,2014/10/22,a book,46
e7322,2014/10/23,news,31
e7331,2014/10/25,social media,47
e7334,2014/10/26,social media,5
e7338,2014/10/27,news,36
e7355,2014/10/31,a book,8
e7361,2014/11/01,news,30
e7365,2014/11/02,news,53
e7368,2014/11/03,a book,29
e7371,2014/11/04,a book,21
e7376,2014/11/05,a book,30
e7378,2014/11/06,social media,47
e7385,2014/11/08,news,38
e7393,2014/11/10,social media,12
e7402,2014/11/12,social media,37
e7407,2014/11/13,news,36
e7417,2014/11/15,social media,52
e7434,2014/11/20,social media,51
e7436,2014/11/21,social media,34
e7447,2014/11/24,news,38
e7451,2014/11/25,social media,14
