eid,date,timeofday,howlong,friends
e453,2010/03/26,in the morning,9,Kinsley
e459,2010/03/27,in the early afternoon,25,"Nevaeh, Claire, Eva, Piper"
e460,2010/03/27,in the late afternoon,8,"Avery, Piper, Olivia, Hazel"
e464,2010/03/28,in the early evening,8,"Avery, Hazel, Claire"
e468,2010/03/29,during lunch hours,26,"Kinsley, Lydia"
e469,2010/03/29,in the early evening,51,"Lydia, Piper"
e474,2010/03/30,in the late afternoon,14,"Hazel, Layla, Kinsley"
e478,2010/03/31,in the morning,16,"Olivia, Avery, Rylee, Kinsley"
e483,2010/04/01,in the late afternoon,33,"Piper, Eva, Nora, Claire"
e484,2010/04/01,during lunch hours,51,"Claire, Piper"
e486,2010/04/02,in the early evening,13,"Nora, Lydia, Olivia"
e487,2010/04/02,in the early evening,49,"Piper, Layla, Nevaeh"
e494,2010/04/04,late in the evening,18,Kinsley
e499,2010/04/05,in the early evening,25,"Olivia, Layla, Hazel"
e501,2010/04/06,late in the evening,13,"Piper, Avery, Olivia"
e505,2010/04/07,during lunch hours,16,"Piper, Avery, Lydia, Nora"
e509,2010/04/08,during lunch hours,26,"Eva, Lydia, Nevaeh, Kinsley"
e513,2010/04/09,in the early afternoon,14,"Lydia, Kinsley, Layla, Hazel"
e516,2010/04/10,in the late afternoon,32,"Nevaeh, Piper, Layla"
e521,2010/04/11,in the early evening,50,"Piper, Piper"
e526,2010/04/12,in the morning,27,"Eva, Hazel, Kinsley"
e534,2010/04/14,during lunch hours,37,Piper
e538,2010/04/15,in the morning,21,Layla
e542,2010/04/16,late in the evening,10,"Nevaeh, Olivia, Lydia, Hazel"
e543,2010/04/16,during lunch hours,17,"Eva, Layla"
e553,2010/04/18,in the morning,15,"Olivia, Kinsley"
e554,2010/04/18,late in the evening,38,"Layla, Kinsley, Rylee, Piper"
e558,2010/04/19,in the early afternoon,15,"Avery, Lydia, Piper"
e559,2010/04/19,in the late afternoon,55,"Lydia, Piper, Hazel, Olivia"
e561,2010/04/20,in the early evening,5,Rylee
e565,2010/04/21,late in the evening,10,Nora
e566,2010/04/21,in the early evening,41,"Rylee, Eva, Hazel"
e569,2010/04/22,in the late afternoon,19,"Nora, Piper"
e572,2010/04/23,in the morning,9,"Piper, Nevaeh, Avery, Layla"
e573,2010/04/23,in the early evening,33,"Lydia, Claire, Layla"
e576,2010/04/24,late in the evening,40,Nevaeh
e579,2010/04/25,in the early evening,29,Nevaeh
e587,2010/04/27,during lunch hours,16,"Nora, Claire, Layla, Olivia"
e588,2010/04/27,in the late afternoon,54,Layla
e598,2010/04/30,during lunch hours,29,"Eva, Avery, Lydia, Piper"
e601,2010/05/01,in the late afternoon,42,"Lydia, Eva"
e604,2010/05/02,during lunch hours,17,"Eva, Nevaeh"
e611,2010/05/04,late in the evening,40,"Avery, Olivia, Layla"
e612,2010/05/04,during lunch hours,17,Hazel
e620,2010/05/07,in the morning,21,"Piper, Claire, Lydia, Rylee"
e625,2010/05/09,in the late afternoon,11,"Rylee, Kinsley, Eva"
e637,2010/05/12,during lunch hours,20,"Eva, Piper"
e642,2010/05/13,in the early evening,32,"Claire, Layla, Eva"
e646,2010/05/14,in the early afternoon,16,"Olivia, Piper"
e649,2010/05/15,during lunch hours,28,"Piper, Layla"
e653,2010/05/16,in the early afternoon,19,"Rylee, Lydia"
e654,2010/05/16,in the early afternoon,46,"Piper, Nevaeh"
e660,2010/05/18,in the early afternoon,12,"Avery, Lydia, Nevaeh, Nora"
e662,2010/05/19,in the early afternoon,37,"Layla, Piper"
e664,2010/05/20,in the early afternoon,29,"Nora, Kinsley, Rylee, Olivia"
e672,2010/05/22,in the late afternoon,24,"Claire, Piper, Nevaeh, Olivia"
e678,2010/05/23,during lunch hours,35,"Claire, Piper, Lydia"
e687,2010/05/25,in the morning,18,"Piper, Olivia"
e709,2010/06/02,in the early afternoon,10,"Kinsley, Nora, Piper"
e716,2010/06/04,in the early afternoon,12,"Layla, Nora, Piper"
e727,2010/06/07,during lunch hours,52,Kinsley
e730,2010/06/08,in the late afternoon,28,Avery
e731,2010/06/08,in the early afternoon,14,"Piper, Nevaeh"
e737,2010/06/09,in the morning,29,"Layla, Nevaeh"
e738,2010/06/09,late in the evening,5,"Nevaeh, Piper, Lydia, Olivia"
e741,2010/06/10,during lunch hours,8,Eva
e743,2010/06/11,in the morning,7,"Claire, Olivia, Kinsley"
e744,2010/06/11,late in the evening,46,"Kinsley, Nevaeh, Olivia, Piper"
e751,2010/06/13,in the morning,19,"Piper, Nevaeh"
e752,2010/06/13,during lunch hours,21,"Nevaeh, Claire"
e766,2010/06/17,during lunch hours,31,"Eva, Nevaeh, Avery, Piper"
e769,2010/06/18,in the late afternoon,14,"Piper, Eva, Rylee"
e775,2010/06/19,during lunch hours,13,Rylee
e782,2010/06/21,in the morning,13,Hazel
e788,2010/06/22,in the morning,55,Avery
e792,2010/06/23,in the morning,29,"Eva, Layla, Piper, Avery"
e796,2010/06/25,in the early evening,39,"Nevaeh, Piper, Eva, Avery"
e802,2010/06/26,in the early evening,14,"Olivia, Lydia, Piper"
e806,2010/06/27,in the early afternoon,12,"Lydia, Piper, Nevaeh"
e809,2010/06/28,in the morning,49,Nevaeh
e812,2010/06/29,late in the evening,16,"Piper, Piper, Layla, Kinsley"
e816,2010/06/30,in the early evening,53,"Piper, Kinsley, Piper, Hazel"
e818,2010/07/01,in the morning,43,"Layla, Kinsley"
e820,2010/07/02,in the morning,22,"Nora, Layla, Kinsley, Olivia"
e823,2010/07/03,in the morning,54,"Olivia, Avery, Nevaeh, Piper"
e828,2010/07/05,late in the evening,11,Piper
e834,2010/07/06,in the early evening,16,"Layla, Avery, Piper"
e835,2010/07/07,in the early evening,42,"Hazel, Rylee, Claire"
e847,2010/07/10,in the morning,12,"Nevaeh, Claire, Rylee, Hazel"
e859,2010/07/14,in the morning,22,"Avery, Lydia, Piper"
e860,2010/07/14,in the early afternoon,22,"Eva, Kinsley, Nora"
e871,2010/07/16,in the late afternoon,19,"Olivia, Avery, Piper"
e872,2010/07/16,in the late afternoon,55,"Rylee, Layla, Olivia"
e875,2010/07/17,in the early afternoon,15,Hazel
e882,2010/07/19,during lunch hours,27,"Nevaeh, Piper, Nora"
e883,2010/07/19,in the morning,44,"Nevaeh, Hazel, Kinsley, Eva"
e886,2010/07/20,in the early afternoon,10,"Nevaeh, Nora, Eva, Hazel"
e887,2010/07/20,during lunch hours,18,Avery
e896,2010/07/24,in the morning,5,"Claire, Piper"
e904,2010/07/26,in the late afternoon,20,"Nevaeh, Claire, Lydia, Rylee"
e905,2010/07/26,late in the evening,9,"Avery, Nora, Nevaeh, Piper"
e909,2010/07/27,in the early evening,47,"Olivia, Kinsley, Piper, Eva"
e913,2010/07/28,during lunch hours,30,Kinsley
e919,2010/07/29,in the morning,51,"Piper, Avery, Piper, Nora"
e924,2010/07/30,late in the evening,7,Nevaeh
e928,2010/07/31,during lunch hours,8,"Kinsley, Piper"
e937,2010/08/02,in the early afternoon,29,Piper
e942,2010/08/03,late in the evening,52,Eva
e947,2010/08/04,in the late afternoon,23,"Nora, Eva, Rylee"
e953,2010/08/05,late in the evening,36,"Olivia, Kinsley, Avery"
e955,2010/08/06,in the early afternoon,28,"Avery, Layla, Eva"
e960,2010/08/07,during lunch hours,50,"Hazel, Kinsley, Piper, Avery"
e965,2010/08/08,during lunch hours,23,"Lydia, Kinsley, Piper, Rylee"
e966,2010/08/08,in the late afternoon,40,"Piper, Rylee, Piper, Lydia"
e970,2010/08/09,in the late afternoon,42,"Rylee, Lydia, Claire"
e974,2010/08/10,in the early afternoon,31,"Piper, Olivia"
e979,2010/08/12,during lunch hours,21,"Eva, Piper, Olivia"
e980,2010/08/12,in the late afternoon,26,"Nora, Claire"
e988,2010/08/16,in the early evening,38,"Avery, Claire"
e992,2010/08/17,in the morning,32,"Olivia, Piper, Rylee"
e995,2010/08/18,in the morning,44,Layla
e1001,2010/08/20,during lunch hours,23,"Eva, Claire"
e1006,2010/08/21,in the early evening,20,Piper
e1010,2010/08/22,in the morning,29,Nora
e1016,2010/08/24,in the late afternoon,21,"Kinsley, Olivia, Layla, Claire"
e1017,2010/08/24,in the early afternoon,32,"Eva, Hazel, Nora, Nevaeh"
e1020,2010/08/25,during lunch hours,17,"Kinsley, Hazel, Layla"
e1030,2010/08/28,in the early evening,30,Piper
e1036,2010/08/30,in the late afternoon,33,"Nevaeh, Lydia, Olivia"
e1037,2010/08/31,late in the evening,41,Olivia
e1038,2010/08/31,late in the evening,36,Nora
e1049,2010/09/03,during lunch hours,36,"Avery, Hazel"
e1054,2010/09/04,in the morning,6,"Layla, Olivia, Hazel, Eva"
e1055,2010/09/04,during lunch hours,15,"Nora, Avery, Kinsley"
e1059,2010/09/05,in the early evening,44,"Layla, Piper, Nevaeh, Kinsley"
e1060,2010/09/05,in the early evening,14,"Eva, Nevaeh, Piper, Claire"
e1063,2010/09/06,in the early evening,44,Rylee
e1064,2010/09/06,in the morning,50,Lydia
e1068,2010/09/07,in the early evening,12,Hazel
e1079,2010/09/10,late in the evening,21,Eva
e1080,2010/09/10,in the early afternoon,21,"Avery, Layla"
e1086,2010/09/11,in the early afternoon,7,"Piper, Eva"
e1090,2010/09/12,in the morning,24,"Piper, Layla, Claire"
e1091,2010/09/12,during lunch hours,34,"Avery, Lydia, Kinsley, Nora"
e1097,2010/09/14,in the late afternoon,34,Nevaeh
e1098,2010/09/14,late in the evening,6,"Nora, Olivia, Piper, Eva"
e1102,2010/09/15,in the early evening,45,Nora
e1107,2010/09/16,during lunch hours,37,"Claire, Nora, Olivia"
e1108,2010/09/16,in the late afternoon,48,"Kinsley, Piper, Olivia, Eva"
e1113,2010/09/17,in the morning,37,Eva
e1115,2010/09/18,late in the evening,19,"Olivia, Avery, Rylee, Nevaeh"
e1116,2010/09/18,in the late afternoon,19,"Nevaeh, Kinsley, Rylee, Piper"
e1120,2010/09/19,in the early evening,48,"Piper, Claire, Nora, Layla"
e1121,2010/09/19,late in the evening,27,"Piper, Nevaeh, Eva, Claire"
e1127,2010/09/21,during lunch hours,48,"Piper, Claire, Lydia, Layla"
e1132,2010/09/22,in the early afternoon,51,"Layla, Rylee, Piper"
e1138,2010/09/24,in the early evening,27,"Piper, Rylee"
e1139,2010/09/24,during lunch hours,23,"Piper, Rylee, Olivia"
e1142,2010/09/25,during lunch hours,28,"Lydia, Rylee, Piper, Kinsley"
e1147,2010/09/26,late in the evening,20,"Lydia, Piper, Hazel, Eva"
e1162,2010/09/30,in the early evening,38,"Nora, Kinsley, Nevaeh"
e1169,2010/10/02,late in the evening,5,"Rylee, Kinsley"
e1173,2010/10/03,in the early evening,16,"Nora, Lydia"
e1174,2010/10/03,in the morning,47,"Layla, Hazel, Olivia"
e1182,2010/10/06,in the morning,35,Hazel
e1187,2010/10/07,late in the evening,20,"Nora, Kinsley, Hazel, Avery"
e1193,2010/10/09,in the early afternoon,45,"Rylee, Nora"
e1194,2010/10/09,during lunch hours,11,"Eva, Avery"
e1196,2010/10/10,during lunch hours,39,"Nevaeh, Olivia"
e1200,2010/10/12,in the morning,37,"Kinsley, Nevaeh"
e1206,2010/10/14,in the late afternoon,15,"Claire, Nora, Kinsley, Rylee"
e1210,2010/10/15,in the early evening,15,Nevaeh
e1211,2010/10/15,in the late afternoon,13,"Claire, Nora"
e1216,2010/10/16,during lunch hours,43,Layla
e1219,2010/10/17,in the early evening,16,"Olivia, Claire"
e1228,2010/10/20,in the late afternoon,9,"Avery, Claire"
e1237,2010/10/22,in the early afternoon,48,"Olivia, Piper, Eva"
e1238,2010/10/22,in the late afternoon,42,"Eva, Rylee, Nevaeh"
e1242,2010/10/23,in the morning,20,"Eva, Kinsley, Piper, Piper"
e1243,2010/10/23,in the late afternoon,44,"Hazel, Piper, Layla, Eva"
e1246,2010/10/24,in the late afternoon,9,Piper
e1250,2010/10/25,in the early afternoon,37,Nora
e1254,2010/10/27,late in the evening,37,"Eva, Kinsley"
e1255,2010/10/27,late in the evening,46,"Kinsley, Claire"
e1258,2010/10/28,during lunch hours,48,"Kinsley, Nora, Hazel"
e1266,2010/10/30,in the morning,33,"Piper, Hazel, Lydia, Avery"
e1274,2010/11/01,in the early afternoon,47,Kinsley
e1275,2010/11/01,late in the evening,47,"Piper, Lydia, Layla"
e1279,2010/11/02,in the morning,24,"Lydia, Piper, Hazel, Kinsley"
e1283,2010/11/03,in the early evening,47,"Olivia, Nevaeh"
e1290,2010/11/04,in the morning,48,"Eva, Piper, Olivia"
e1293,2010/11/05,late in the evening,38,"Piper, Olivia, Hazel, Avery"
e1298,2010/11/06,in the morning,10,"Claire, Hazel"
e1299,2010/11/06,in the late afternoon,37,"Rylee, Hazel, Kinsley, Layla"
e1304,2010/11/07,in the morning,45,"Hazel, Layla, Nevaeh"
e1305,2010/11/08,during lunch hours,48,"Hazel, Lydia, Rylee, Avery"
e1306,2010/11/08,in the morning,55,"Hazel, Kinsley, Lydia"
e1309,2010/11/09,in the early afternoon,54,"Nevaeh, Kinsley, Rylee, Nora"
e1310,2010/11/09,late in the evening,52,"Rylee, Kinsley, Lydia"
e1331,2010/11/16,during lunch hours,20,"Piper, Nevaeh, Eva"
e1341,2010/11/19,in the late afternoon,20,"Avery, Kinsley, Lydia"
e1342,2010/11/19,in the early afternoon,40,"Layla, Piper"
e1346,2010/11/20,late in the evening,46,"Kinsley, Lydia"
e1352,2010/11/21,in the early afternoon,31,"Claire, Hazel, Rylee"
e1358,2010/11/22,in the early afternoon,34,"Piper, Kinsley, Olivia"
e1362,2010/11/23,in the morning,17,"Nevaeh, Avery, Claire, Kinsley"
e1371,2010/11/26,during lunch hours,40,Claire
e1372,2010/11/26,in the early afternoon,19,Piper
e1385,2010/11/29,late in the evening,33,Nevaeh
e1390,2010/11/30,late in the evening,15,"Olivia, Hazel"
e1393,2010/12/01,in the late afternoon,19,"Nora, Layla"
e1396,2010/12/02,late in the evening,52,Lydia
e1398,2010/12/03,during lunch hours,15,Claire
e1399,2010/12/03,in the early evening,32,"Piper, Piper, Lydia"
e1401,2010/12/04,late in the evening,33,"Nora, Hazel"
e1405,2010/12/05,in the morning,5,"Kinsley, Lydia, Nora"
e1410,2010/12/06,during lunch hours,47,"Piper, Eva, Lydia"
e1416,2010/12/07,in the early evening,48,Piper
e1426,2010/12/10,in the early evening,5,"Kinsley, Layla"
e1438,2010/12/13,in the morning,30,"Piper, Nevaeh, Avery"
e1448,2010/12/15,during lunch hours,33,"Claire, Layla"
e1449,2010/12/15,during lunch hours,47,"Layla, Lydia"
e1456,2010/12/17,in the late afternoon,40,Lydia
e1461,2010/12/18,in the morning,49,"Claire, Eva, Lydia, Olivia"
e1464,2010/12/19,in the morning,21,"Hazel, Claire, Nevaeh, Rylee"
e1465,2010/12/19,during lunch hours,23,"Olivia, Eva"
e1471,2010/12/20,in the late afternoon,13,"Avery, Layla, Nora, Claire"
e1476,2010/12/21,in the early evening,21,Rylee
e1477,2010/12/21,in the early afternoon,47,"Claire, Rylee, Piper, Layla"
e1480,2010/12/22,late in the evening,5,"Lydia, Olivia, Nora"
e1481,2010/12/22,during lunch hours,54,"Claire, Nevaeh, Hazel, Lydia"
e1485,2010/12/23,late in the evening,37,"Claire, Kinsley, Olivia"
e1488,2010/12/24,during lunch hours,7,Rylee
e1492,2010/12/25,in the early afternoon,27,"Nevaeh, Kinsley"
e1505,2010/12/29,in the morning,45,"Avery, Hazel"
e1651,2011/01/01,in the early evening,27,Kinsley
e1654,2011/01/02,during lunch hours,20,"Claire, Avery, Piper, Olivia"
e1657,2011/01/03,late in the evening,46,"Claire, Piper, Piper"
e1661,2011/01/04,in the early evening,6,Olivia
e1662,2011/01/04,late in the evening,40,"Hazel, Eva, Rylee"
e1666,2011/01/05,in the late afternoon,35,Rylee
e1671,2011/01/06,in the morning,7,"Nora, Piper, Claire, Nevaeh"
e1677,2011/01/07,during lunch hours,15,"Lydia, Olivia"
e1686,2011/01/09,in the early afternoon,42,"Piper, Avery"
e1687,2011/01/09,during lunch hours,22,Hazel
e1690,2011/01/10,late in the evening,55,"Nora, Hazel"
e1694,2011/01/11,in the late afternoon,32,"Eva, Avery, Lydia, Hazel"
e1699,2011/01/13,during lunch hours,42,"Claire, Eva"
e1700,2011/01/13,in the late afternoon,23,"Rylee, Eva, Piper, Kinsley"
e1704,2011/01/14,in the early evening,30,"Eva, Lydia"
e1706,2011/01/15,in the late afternoon,34,"Hazel, Nora, Kinsley, Rylee"
e1709,2011/01/16,in the morning,33,"Olivia, Hazel, Piper, Eva"
e1710,2011/01/16,in the late afternoon,19,"Nevaeh, Eva"
e1716,2011/01/17,in the late afternoon,12,"Nevaeh, Eva, Avery"
e1717,2011/01/17,in the morning,29,"Piper, Nora"
e1719,2011/01/18,during lunch hours,18,"Nevaeh, Piper, Eva, Claire"
e1726,2011/01/21,during lunch hours,45,"Piper, Eva, Kinsley, Avery"
e1728,2011/01/22,during lunch hours,16,"Hazel, Avery"
e1732,2011/01/23,in the late afternoon,37,"Nevaeh, Piper, Layla, Rylee"
e1736,2011/01/24,in the early afternoon,41,"Layla, Avery, Nevaeh"
e1739,2011/01/25,in the morning,8,"Rylee, Nora, Hazel"
e1740,2011/01/25,during lunch hours,42,"Kinsley, Layla, Claire"
e1745,2011/01/26,in the early afternoon,26,"Nora, Olivia, Piper, Avery"
e1753,2011/01/28,in the late afternoon,27,"Nevaeh, Piper, Avery"
e1754,2011/01/28,late in the evening,15,Hazel
e1760,2011/01/29,in the late afternoon,13,"Nevaeh, Layla, Kinsley"
e1762,2011/01/30,during lunch hours,50,Avery
e1766,2011/01/31,during lunch hours,29,Piper
e1767,2011/01/31,in the early evening,52,"Hazel, Olivia"
e1771,2011/02/01,during lunch hours,38,Avery
e1776,2011/02/02,in the late afternoon,29,"Claire, Nora, Nevaeh, Hazel"
e1782,2011/02/04,late in the evening,6,"Nora, Piper, Rylee"
e1785,2011/02/05,during lunch hours,39,"Nora, Lydia, Eva, Kinsley"
e1793,2011/02/07,in the morning,30,"Eva, Claire, Avery, Piper"
e1796,2011/02/08,in the early afternoon,23,"Piper, Lydia"
e1799,2011/02/09,in the late afternoon,38,"Claire, Piper, Avery, Kinsley"
e1800,2011/02/09,late in the evening,29,"Olivia, Avery, Nevaeh, Rylee"
e1804,2011/02/10,in the morning,47,"Piper, Lydia"
e1805,2011/02/10,in the early evening,32,"Piper, Claire"
e1813,2011/02/12,in the early evening,5,"Rylee, Hazel"
e1817,2011/02/13,late in the evening,54,"Olivia, Nora, Claire"
e1820,2011/02/14,in the early afternoon,38,"Hazel, Lydia"
e1825,2011/02/15,during lunch hours,25,"Layla, Rylee"
e1832,2011/02/18,in the early afternoon,45,Hazel
e1836,2011/02/19,in the early evening,13,"Piper, Hazel, Nora"
e1838,2011/02/20,in the early evening,5,Lydia
e1842,2011/02/21,in the late afternoon,55,Nevaeh
e1852,2011/02/26,in the early evening,37,"Rylee, Nevaeh, Nora, Hazel"
e1853,2011/02/26,in the early afternoon,7,"Eva, Lydia"
e1857,2011/02/27,in the early afternoon,42,"Nevaeh, Avery"
e1861,2011/02/28,during lunch hours,55,"Rylee, Lydia, Hazel"
e1864,2011/03/01,in the early afternoon,6,"Piper, Kinsley"
e1869,2011/03/02,in the early evening,34,"Hazel, Nora"
e1872,2011/03/03,during lunch hours,10,"Kinsley, Hazel"
e1882,2011/03/05,in the early evening,48,"Piper, Nevaeh, Rylee, Hazel"
e1886,2011/03/06,in the morning,10,"Hazel, Olivia"
e1893,2011/03/08,during lunch hours,35,"Lydia, Rylee, Piper, Avery"
e1897,2011/03/09,in the early afternoon,29,"Layla, Nevaeh"
e1901,2011/03/10,during lunch hours,33,"Rylee, Eva, Kinsley"
e1902,2011/03/10,in the early evening,35,"Avery, Hazel, Kinsley, Nora"
e1909,2011/03/12,late in the evening,37,"Claire, Piper, Kinsley, Olivia"
e1910,2011/03/12,late in the evening,30,"Kinsley, Nora, Nevaeh"
e1916,2011/03/13,in the late afternoon,47,"Layla, Rylee"
e1921,2011/03/14,in the early afternoon,39,Piper
e1926,2011/03/15,in the early afternoon,41,"Lydia, Rylee, Avery"
e1934,2011/03/17,during lunch hours,13,"Eva, Nevaeh"
e1935,2011/03/17,in the early afternoon,16,"Eva, Nevaeh, Piper, Layla"
e1945,2011/03/19,late in the evening,19,Nevaeh
e1946,2011/03/19,in the late afternoon,42,"Lydia, Claire, Nevaeh"
e1951,2011/03/20,in the early evening,16,"Nora, Rylee, Layla, Claire"
e1960,2011/03/22,in the late afternoon,47,"Layla, Nevaeh, Hazel, Claire"
e1968,2011/03/24,late in the evening,20,Rylee
e1972,2011/03/25,in the early afternoon,48,"Claire, Lydia, Olivia, Layla"
e1973,2011/03/25,in the early evening,17,Nora
e1978,2011/03/26,in the morning,11,Piper
e1981,2011/03/27,in the early afternoon,19,"Nevaeh, Layla, Eva, Avery"
e1982,2011/03/27,in the morning,14,"Hazel, Piper, Kinsley, Avery"
e1985,2011/03/28,in the morning,26,"Piper, Lydia, Olivia, Hazel"
e1986,2011/03/28,during lunch hours,41,Olivia
e1989,2011/03/29,in the early afternoon,32,"Rylee, Nora, Hazel"
e1994,2011/03/30,in the morning,27,"Kinsley, Layla, Piper, Olivia"
e2008,2011/04/03,in the early evening,43,"Kinsley, Piper"
e2012,2011/04/04,late in the evening,26,"Piper, Lydia"
e2013,2011/04/04,during lunch hours,18,"Piper, Rylee"
e2017,2011/04/05,during lunch hours,28,"Olivia, Piper, Nevaeh"
e2025,2011/04/09,in the early afternoon,47,Rylee
e2035,2011/04/13,in the morning,22,"Eva, Piper"
e2036,2011/04/13,in the morning,35,"Layla, Avery"
e2044,2011/04/15,late in the evening,6,"Rylee, Kinsley, Claire"
e2050,2011/04/16,in the early afternoon,7,"Olivia, Lydia"
e2057,2011/04/19,late in the evening,5,"Hazel, Nora, Avery"
e2058,2011/04/19,in the early afternoon,36,"Lydia, Nevaeh, Rylee, Hazel"
e2068,2011/04/21,during lunch hours,21,"Lydia, Eva"
e2071,2011/04/22,in the morning,16,Rylee
e2072,2011/04/22,in the late afternoon,9,"Nora, Hazel"
e2076,2011/04/23,late in the evening,19,"Layla, Piper, Eva, Nora"
e2077,2011/04/23,in the late afternoon,40,"Hazel, Piper"
e2080,2011/04/24,in the early afternoon,13,"Eva, Kinsley, Layla, Piper"
e2090,2011/04/26,in the early evening,21,"Claire, Lydia, Olivia"
e2095,2011/04/27,during lunch hours,34,"Eva, Hazel, Kinsley, Layla"
e2096,2011/04/27,in the late afternoon,38,Piper
e2110,2011/04/30,in the morning,10,"Piper, Claire, Piper"
e2115,2011/05/01,late in the evening,20,"Olivia, Piper"
e2116,2011/05/01,in the morning,41,"Nora, Nevaeh, Olivia"
