eid,date,fruits,drinks,toiletries,people_string
e4617,2013/03/14,"clementines, pineapples, cherres","chocolate milk, orange juice, apple juice, sports drinks",toilet paper,
e4618,2013/03/15,"guava, watermelons, apricots","mango juice, chocolate milk, sports drinks, milk","mouthwash, shaving cream, conditioner, shampoo",
e4621,2013/03/21,"mangos, raspberries, guava","soda, orange juice",shampoo,"Emily, Kayden, Carter, Andrew"
e4622,2013/03/24,mandarins,tea,"toothbrush, mouth wash","Rylee, Lydia, Claire, Layla, Nevaeh, Olivia, Avery, Piper"
e4625,2013/03/30,watermelons,"milk, guava juice, chocolate milk",shaving cream,"Emily, Kayden, Carter, Andrew"
e4627,2013/04/08,"clementines, peaches, pineapples, guava","apple juice, pineapple juice, tea","conditioner, shampoo, mouthwash",
e4628,2013/04/10,"blueberries, nectarines, raspberries","pineapple juice, soda, milk","toilet paper, shampoo",
e4629,2013/04/13,"guava, pineapples",apple juice,"toothbrush, paper towel","Avery, Benjamin"
e4631,2013/04/24,"apples, raspberries, oranges, mandarins","coffee, sports drinks",mouthwash,"Andrew, Emily, Kayden"
e4632,2013/04/28,"guava, apples, pineapples, raspberries","milk, soda, pineapple juice","toothpaste, body lotion",
e4635,2013/05/06,"strawberries, watermelons, cherres, guava","pineapple juice, apple juice, tea","toilet paper, toothpaste, conditioner","Piper, Layla, Piper, Claire, Rylee, Eva, Nora"
e4636,2013/05/12,peaches,"mineral water, orange juice, guava juice, chocolate milk","body lotion, mouthwash, mouth wash, toothbrush",
e4641,2013/05/30,apples,"soda, milk, mango juice","paper towel, toothbrush","Emily, Kayden, Andrew, Carter"
e4643,2013/06/08,"blackberries, clementines, guava","guava juice, apple juice",toothpaste,Carter
e4644,2013/06/17,peaches,"milk, guava juice",facial wash,
e4646,2013/06/30,"mangos, pears, nectarines","pineapple juice, apple juice","paper towel, toothbrush",
e4647,2013/07/04,cherres,"mango juice, sports drinks, orange juice",body lotion,
e4648,2013/07/05,apples,"soda, sports drinks, apple juice, orange juice",toothpaste,"Emily, Kayden, Andrew, Carter"
e4651,2013/07/19,"nectarines, blackberries",chocolate milk,"toothpaste, facial wash",
e4652,2013/07/25,"blackberries, pears, watermelons, peaches","chocolate milk, mineral water, milk, tea",paper towel,
e4653,2013/07/29,"peaches, watermelons","guava juice, apple juice","mouthwash, toilet paper, paper towel, toothpaste",
e4657,2013/07/30,oranges,"orange juice, tea","shampoo, body lotion","Kinsley, Olivia, Hazel, Piper, Avery, Lydia, Layla, Rylee, Nora, Piper, Eva"
e4658,2013/08/03,"apricots, apples, pineapples, watermelons","tea, milk","mouthwash, body lotion",
e4661,2013/08/10,apples,"guava juice, mango juice","body lotion, shampoo, shaving cream, toothpaste",
e4663,2013/08/17,"raspberries, mangos, bananas, guava",soda,"toothpaste, body lotion",
e4664,2013/08/23,"bananas, guava, nectarines","sports drinks, soda, apple juice, chocolate milk",toilet paper,
e4669,2013/09/22,"oranges, peaches","pineapple juice, guava juice, orange juice","body lotion, shampoo",
e4671,2013/10/01,"oranges, guava",guava juice,"facial wash, shampoo, mouth wash, toothbrush",
e4672,2013/10/09,"cherres, apricots, oranges","apple juice, orange juice","conditioner, mouthwash, toilet paper",
e4676,2013/10/22,"mandarins, strawberries, pineapples","guava juice, milk, tea","paper towel, mouth wash","Carter, Emily, Kayden, Andrew"
e4677,2013/10/27,"cherres, mangos, apples, watermelons","apple juice, pineapple juice, mineral water, coffee",toothpaste,"Kinsley, Hazel, Avery, Nora, Rylee, Layla"
e4680,2013/11/04,"mangos, pears, cherres",guava juice,"toothpaste, facial wash, shaving cream, shampoo","Benjamin, Jackson, Willow, Avery"
e4683,2013/11/13,"nectarines, bananas, blueberries","chocolate milk, mineral water, mango juice","body lotion, mouth wash, shampoo",
e4684,2013/11/18,"mangos, oranges","guava juice, mineral water, tea","body lotion, paper towel, toothpaste, mouthwash",
e4687,2013/11/19,"pineapples, apples, peaches","tea, apple juice, milk",shaving cream,"Willow, Benjamin, Jackson, Avery"
e4688,2013/11/25,blackberries,"pineapple juice, coffee, tea",mouth wash,
e4690,2013/11/28,"cherres, guava",mineral water,shampoo,"Willow, Benjamin, Jackson, Avery"
e4691,2013/12/01,"nectarines, bananas","mango juice, mineral water",shampoo,
e4694,2013/12/13,"pears, apples",pineapple juice,"toothbrush, toilet paper, conditioner",
e4695,2013/12/20,"mandarins, raspberries","pineapple juice, coffee","facial wash, body lotion, toothbrush",Emily
e4698,2013/12/26,"apples, oranges","sports drinks, apple juice, mango juice, tea",toothbrush,Andrew
e4699,2013/12/28,"blackberries, pineapples, mandarins, apricots",guava juice,"toothpaste, facial wash, shampoo","Rylee, Kinsley, Avery, Claire, Eva, Nevaeh, Nora"
e6061,2014/01/07,mangos,"mango juice, sports drinks, chocolate milk","conditioner, shampoo, paper towel, body lotion","Emily, Andrew, Carter, Kayden"
e6065,2014/01/16,"blackberries, bananas","pineapple juice, tea, mango juice","shampoo, toothbrush","Andrew, Emily, Kayden"
e6066,2014/01/18,"oranges, bananas, apricots, strawberries",guava juice,"toothpaste, conditioner, paper towel, facial wash","Jackson, Willow, Benjamin"
e6069,2014/01/29,"watermelons, strawberries","mango juice, guava juice, pineapple juice, sports drinks","body lotion, toothpaste","Eva, Nevaeh, Lydia, Nora, Hazel, Piper, Olivia"
e6071,2014/02/09,"raspberries, apricots, pineapples",mango juice,"toilet paper, mouthwash",
e6074,2014/02/12,"blueberries, blackberries, mandarins",chocolate milk,"paper towel, mouth wash, toilet paper","Kayden, Emily, Carter"
e6075,2014/02/17,guava,"pineapple juice, orange juice, guava juice, tea",facial wash,
e6080,2014/02/26,bananas,"guava juice, pineapple juice",toothbrush,"Carter, Kayden, Emily"
e6083,2014/03/12,"oranges, apricots, peaches, blackberries","coffee, tea, pineapple juice, milk","facial wash, mouthwash, shaving cream, mouth wash",
e6084,2014/03/16,"mandarins, blackberries, oranges, raspberries","soda, milk, chocolate milk, sports drinks","toothpaste, conditioner, mouth wash, toothbrush",
e6087,2014/03/20,"cherres, strawberries",coffee,"body lotion, mouth wash, toothpaste, shampoo",
e6088,2014/03/23,mangos,"soda, guava juice, sports drinks","shaving cream, toothpaste, mouthwash, facial wash",
e6092,2014/04/04,"oranges, blueberries, strawberries, cherres","chocolate milk, milk, apple juice",mouth wash,"Kayden, Carter, Emily"
e6094,2014/04/10,bananas,"coffee, chocolate milk, tea, apple juice","toothbrush, paper towel",Emily
e6096,2014/04/16,"apricots, guava, peaches, watermelons",apple juice,"toothpaste, paper towel, shaving cream, toilet paper",Willow
e6098,2014/04/27,"bananas, guava","sports drinks, chocolate milk, pineapple juice, mineral water","shampoo, facial wash, mouthwash, toilet paper","Emily, Andrew, Kayden"
e6101,2014/05/08,"watermelons, mandarins, guava","soda, orange juice, mango juice","paper towel, toilet paper, shampoo, shaving cream",
e6102,2014/05/10,oranges,"mineral water, orange juice, soda","shaving cream, toothpaste, paper towel, conditioner",
e6105,2014/05/18,"pineapples, peaches, clementines",apple juice,"mouth wash, mouthwash, conditioner, toilet paper","Piper, Nora, Kinsley, Piper, Hazel, Lydia, Avery"
e6107,2014/05/26,"apples, strawberries","guava juice, tea, pineapple juice","toothbrush, mouth wash",Jackson
e6108,2014/06/03,"raspberries, oranges",guava juice,conditioner,
e6110,2014/06/04,"mandarins, nectarines","milk, tea","paper towel, mouthwash, toothpaste",
e6113,2014/06/12,oranges,"tea, chocolate milk, pineapple juice, mineral water","toothpaste, mouth wash, facial wash","Emily, Carter, Andrew"
e6117,2014/06/22,bananas,"pineapple juice, chocolate milk, sports drinks, mango juice","shaving cream, mouthwash, shampoo, paper towel","Kayden, Carter, Andrew"
e6119,2014/06/28,"mandarins, nectarines","sports drinks, soda","toothpaste, conditioner",
e6122,2014/07/05,oranges,"tea, orange juice, apple juice","body lotion, conditioner, shampoo, facial wash","Kayden, Emily, Carter"
e6124,2014/07/11,"nectarines, blackberries","mango juice, milk, guava juice, chocolate milk","shaving cream, conditioner","Andrew, Carter, Emily, Kayden"
e6125,2014/07/21,"mandarins, raspberries","pineapple juice, sports drinks","shaving cream, mouth wash, shampoo",
e6126,2014/07/24,strawberries,"apple juice, tea, soda","toothbrush, toothpaste, mouth wash, mouthwash",
e6127,2014/07/26,"guava, pears, blueberries","mango juice, mineral water, coffee",shampoo,
e6130,2014/08/09,"watermelons, pineapples, bananas","chocolate milk, pineapple juice, guava juice",conditioner,"Carter, Kayden"
e6135,2014/08/20,"nectarines, peaches, guava, bananas","tea, milk, mango juice",shampoo,Avery
e6136,2014/08/24,"apples, watermelons","milk, orange juice",body lotion,"Layla, Eva, Piper, Rylee, Hazel, Avery, Nora, Piper, Olivia, Nevaeh"
e6141,2014/09/15,mandarins,"chocolate milk, orange juice, mineral water","facial wash, shampoo, mouthwash",
e6144,2014/09/18,cherres,"orange juice, coffee, mineral water","facial wash, conditioner, toothbrush, toilet paper","Benjamin, Jackson, Avery, Willow"
e6145,2014/09/21,"mandarins, blackberries","soda, mango juice","mouth wash, facial wash",
e6147,2014/10/03,"mangos, pears, watermelons","mango juice, sports drinks, apple juice, mineral water","mouth wash, conditioner","Avery, Benjamin, Jackson, Willow"
e6148,2014/10/07,"raspberries, blackberries","orange juice, sports drinks, mineral water, soda","toothpaste, body lotion",
e6150,2014/10/09,mandarins,"apple juice, mango juice, chocolate milk","toothpaste, paper towel, toilet paper, shaving cream","Emily, Kayden, Carter"
e6151,2014/10/12,"cherres, watermelons",pineapple juice,"shampoo, toothbrush, toothpaste",
e6153,2014/10/21,"strawberries, blueberries, pineapples, mandarins","mango juice, pineapple juice","toilet paper, mouth wash, paper towel",
