eid,date,hobbies,people_string
e16717,2021/11/21,working out,Kayden
e16719,2021/12/09,working out,"Jackson, Benjamin, Avery"
e16721,2021/12/11,meditation,Jackson
e18137,2022/01/25,working out,
e18140,2022/01/31,meditation,
e18141,2022/02/15,gardening,"Layla, Avery, Piper"
e18142,2022/02/19,working out,"Benjamin, Jackson"
e18143,2022/02/25,meditation,"Benjamin, Jackson"
e18145,2022/03/03,meditation,
e18154,2022/04/02,learning a language,
e18157,2022/04/12,gardening,
e18167,2022/05/10,meditation,
e18171,2022/05/16,yoga,
e18179,2022/06/06,yoga,Olivia
e18184,2022/06/21,working out,
e18187,2022/06/25,gardening,
e18188,2022/06/29,yoga,
e18199,2022/08/05,meditation,"Andrew, Emily"
e18201,2022/08/08,working out,
e18206,2022/08/22,learning a language,
e18207,2022/08/24,yoga,
e18211,2022/09/02,gardening,
e18214,2022/09/08,yoga,Layla
e18218,2022/09/12,gardening,
e18219,2022/09/23,meditation,
e18222,2022/09/29,working out,Carter
e18243,2022/11/27,gardening,
e18245,2022/12/08,learning a language,"Emily, Andrew"
e18251,2022/12/28,meditation,
